Ticker,Date,Open,High,Low,Close,Volume,Dividend,Split
SPY,07/01/2005,119.45,119.8,119.21,119.53,49737500.0,0.0,1.0
SPY,07/05/2005,119.25,120.65,119.19,120.49,51549000.0,0.0,1.0
SPY,07/06/2005,120.39,120.65,119.41,119.48,52363600.0,0.0,1.0
SPY,07/07/2005,118.29,119.95,118.26,119.95,103268800.0,0.0,1.0
SPY,07/08/2005,119.97,121.32,119.72,121.32,64491200.0,0.0,1.0
SPY,07/11/2005,121.33,122.1,121.31,121.94,49688300.0,0.0,1.0
SPY,07/12/2005,121.89,122.63,121.64,122.26,51871100.0,0.0,1.0
SPY,07/13/2005,122.27,122.52,121.99,122.43,41182300.0,0.0,1.0
SPY,07/14/2005,122.98,123.44,122.49,122.91,63638800.0,0.0,1.0
SPY,07/15/2005,122.79,123.04,122.36,122.84,56075900.0,0.0,1.0
SPY,07/18/2005,122.5,122.63,122.05,122.35,56598400.0,0.0,1.0
SPY,07/19/2005,122.71,123.11,122.41,123.02,59165700.0,0.0,1.0
SPY,07/20/2005,122.59,123.73,122.3,123.44,69477000.0,0.0,1.0
SPY,07/21/2005,123.55,123.61,122.47,122.72,101110900.0,0.0,1.0
SPY,07/22/2005,122.88,123.56,122.63,123.54,52607100.0,0.0,1.0
SPY,07/25/2005,123.41,123.95,122.85,123.19,57301600.0,0.0,1.0
SPY,07/26/2005,123.23,123.53,122.37,123.34,42758800.0,0.0,1.0
SPY,07/27/2005,123.5,123.89,123.05,123.79,43181600.0,0.0,1.0
SPY,07/28/2005,123.99,124.64,123.64,124.57,47880700.0,0.0,1.0
SPY,07/29/2005,124.41,124.63,123.5,123.74,62358100.0,0.0,1.0
SPY,08/01/2005,123.83,124.04,123.45,123.65,40418200.0,0.0,1.0
SPY,08/02/2005,123.87,124.6,123.74,124.39,45147400.0,0.0,1.0
SPY,08/03/2005,124.25,124.74,124.12,124.72,36837200.0,0.0,1.0
SPY,08/04/2005,124.23,124.31,123.57,123.72,50855600.0,0.0,1.0
SPY,08/05/2005,123.45,123.98,122.67,122.88,53595500.0,0.0,1.0
SPY,08/08/2005,123.17,123.41,122.38,122.65,47616000.0,0.0,1.0
SPY,08/09/2005,123.06,123.59,122.87,123.39,47170000.0,0.0,1.0
SPY,08/10/2005,123.82,124.5,122.82,123.33,72863700.0,0.0,1.0
SPY,08/11/2005,123.27,124.03,123.01,123.82,58570200.0,0.0,1.0
SPY,08/12/2005,123.57,123.69,122.75,123.06,54776900.0,0.0,1.0
SPY,08/15/2005,123.22,123.87,122.83,123.82,36208500.0,0.0,1.0
SPY,08/16/2005,123.44,123.52,122.09,122.21,71942100.0,0.0,1.0
SPY,08/17/2005,122.19,122.87,122.03,122.2,62275100.0,0.0,1.0
SPY,08/18/2005,122.05,122.56,121.84,122.19,53388600.0,0.0,1.0
SPY,08/19/2005,122.63,122.82,122.2,122.47,39842100.0,0.0,1.0
SPY,08/22/2005,122.58,123.23,121.88,122.47,69912000.0,0.0,1.0
SPY,08/23/2005,122.5,122.61,121.15,122.24,55168600.0,0.0,1.0
SPY,08/24/2005,121.94,122.73,121.09,121.15,79104600.0,0.0,1.0
SPY,08/25/2005,121.35,121.67,121.21,121.59,35631100.0,0.0,1.0
SPY,08/26/2005,121.48,121.49,120.68,120.76,61956800.0,0.0,1.0
SPY,08/29/2005,120.41,121.78,120.38,121.69,56179200.0,0.0,1.0
SPY,08/30/2005,121.25,121.3,120.39,121.05,74160200.0,0.0,1.0
SPY,08/31/2005,121.19,122.66,120.74,122.58,102945200.0,0.0,1.0
SPY,09/01/2005,122.51,123.15,121.14,122.49,74578700.0,0.0,1.0
SPY,09/02/2005,122.85,122.88,122.04,122.27,47653400.0,0.0,1.0
SPY,09/06/2005,122.66,123.8,122.65,123.7,57251300.0,0.0,1.0
