Ticker,Date,Open,High,Low,Close,Volume,AdjClose,Dividend,Split
UNH,07/01/2005,53.0,53.0,52.19,52.81,3879900.0,48.63,0.0,1.0
UNH,07/05/2005,53.05,53.67,52.75,53.23,4410600.0,49.02,0.0,1.0
UNH,07/06/2005,53.45,54.5,51.79,53.5,13158300.0,49.27,0.0,1.0
UNH,07/07/2005,53.51,54.5,53.25,53.49,10788600.0,49.26,0.0,1.0
UNH,07/08/2005,53.76,53.76,53.05,53.05,7231200.0,48.85,0.0,1.0
UNH,07/11/2005,53.06,53.35,52.43,52.43,6785600.0,48.28,0.0,1.0
UNH,07/12/2005,52.53,52.9,51.66,51.78,6813700.0,47.68,0.0,1.0
UNH,07/13/2005,51.8,51.9,50.9,51.4,7432600.0,47.33,0.0,1.0
UNH,07/14/2005,51.7,52.05,50.25,50.25,11669800.0,46.27,0.0,1.0
UNH,07/15/2005,50.55,51.5,50.36,50.82,8325200.0,46.8,0.0,1.0
UNH,07/18/2005,51.04,51.2,50.81,50.81,5178800.0,46.79,0.0,1.0
UNH,07/19/2005,51.06,51.09,49.95,50.58,6622100.0,46.58,0.0,1.0
UNH,07/20/2005,50.35,50.54,49.45,49.75,7005900.0,45.81,0.0,1.0
UNH,07/21/2005,49.0,49.75,47.75,49.16,13331400.0,45.27,0.0,1.0
UNH,07/22/2005,49.54,51.04,49.51,50.8,8936700.0,46.78,0.0,1.0
UNH,07/25/2005,51.0,51.3,50.61,50.8,6013500.0,46.78,0.0,1.0
UNH,07/26/2005,51.11,52.39,51.11,52.0,8586200.0,47.89,0.0,1.0
UNH,07/27/2005,52.15,52.5,51.11,51.42,6974900.0,47.35,0.0,1.0
UNH,07/28/2005,51.89,53.24,51.76,52.92,7996600.0,48.73,0.0,1.0
UNH,07/29/2005,52.92,52.94,52.2,52.3,6310200.0,48.16,0.0,1.0
UNH,08/01/2005,52.34,52.99,52.03,52.62,5474800.0,48.46,0.0,1.0
UNH,08/02/2005,52.62,53.05,52.52,53.03,5143300.0,48.83,0.0,1.0
UNH,08/03/2005,53.09,53.25,52.9,53.16,4557000.0,48.95,0.0,1.0
UNH,08/04/2005,53.17,53.3,52.82,52.96,4969400.0,48.77,0.0,1.0
UNH,08/05/2005,52.98,52.98,51.75,52.06,6605800.0,47.94,0.0,1.0
UNH,08/08/2005,52.29,52.29,51.05,51.18,4793400.0,47.13,0.0,1.0
UNH,08/09/2005,51.23,51.82,51.02,51.78,5291600.0,47.68,0.0,1.0
UNH,08/10/2005,52.02,52.4,51.61,51.61,3871700.0,47.53,0.0,1.0
UNH,08/11/2005,51.79,52.59,51.77,52.37,3648300.0,48.23,0.0,1.0
UNH,08/12/2005,53.0,53.38,51.73,52.09,2854800.0,47.97,0.0,1.0
UNH,08/15/2005,52.23,52.25,51.62,51.98,2574500.0,47.87,0.0,1.0
UNH,08/16/2005,52.0,52.23,51.1,51.1,3179200.0,47.06,0.0,1.0
UNH,08/17/2005,51.36,51.65,51.07,51.26,3490000.0,47.2,0.0,1.0
UNH,08/18/2005,51.4,51.71,51.25,51.3,2489300.0,47.24,0.0,1.0
UNH,08/19/2005,51.3,51.7,51.18,51.18,3139900.0,47.13,0.0,1.0
UNH,08/22/2005,51.56,51.7,51.2,51.36,2955400.0,47.3,0.0,1.0
UNH,08/23/2005,51.26,51.6,51.05,51.06,3124400.0,47.02,0.0,1.0
UNH,08/24/2005,51.34,51.44,50.46,50.63,3521900.0,46.62,0.0,1.0
UNH,08/25/2005,50.79,50.82,50.3,50.64,3349100.0,46.63,0.0,1.0
UNH,08/26/2005,50.69,50.9,50.23,50.45,3848200.0,46.46,0.0,1.0
UNH,08/29/2005,50.25,50.86,50.09,50.8,2925600.0,46.78,0.0,1.0
UNH,08/30/2005,50.8,50.88,50.38,50.48,4216600.0,46.49,0.0,1.0
UNH,08/31/2005,50.75,51.52,50.4,51.5,4497100.0,47.43,0.0,1.0
UNH,09/01/2005,51.5,52.35,50.58,52.05,5597500.0,47.93,0.0,1.0
UNH,09/02/2005,52.3,52.8,52.19,52.53,3555500.0,48.37,0.0,1.0
UNH,09/06/2005,52.65,53.24,52.6,53.19,4053500.0,48.98,0.0,1.0
UNH,09/07/2005,53.3,53.5,53.11,53.45,3663900.0,49.22,0.0,1.0
UNH,09/08/2005,53.79,54.03,53.15,53.83,5456300.0,49.57,0.0,1.0
UNH,09/09/2005,53.9,54.87,53.9,54.51,5095100.0,50.2,0.0,1.0
UNH,09/12/2005,54.76,54.78,54.1,54.27,4839700.0,49.98,0.0,1.0
UNH,09/13/2005,53.87,54.16,53.0,53.03,5865000.0,48.83,0.0,1.0
UNH,09/14/2005,53.05,53.28,52.82,52.94,4075700.0,48.75,0.0,1.0
UNH,09/15/2005,53.03,53.82,53.03,53.4,4587700.0,49.17,0.0,1.0
UNH,09/16/2005,53.52,54.06,53.19,54.05,6548500.0,49.77,0.0,1.0
UNH,09/19/2005,54.06,54.1,53.15,53.5,2731200.0,49.27,0.0,1.0
UNH,09/20/2005,53.8,53.89,52.41,52.62,4785000.0,48.46,0.0,1.0
UNH,09/21/2005,53.06,53.35,52.32,52.59,5282900.0,48.43,0.0,1.0
UNH,09/22/2005,52.6,53.86,52.59,53.63,5339400.0,49.39,0.0,1.0
UNH,09/23/2005,53.88,55.48,53.64,55.0,12424900.0,50.65,0.0,1.0
UNH,09/26/2005,55.49,55.81,55.1,55.4,5999200.0,51.02,0.0,1.0
UNH,09/27/2005,55.3,55.9,55.26,55.26,5005300.0,50.89,0.0,1.0
UNH,09/28/2005,55.9,55.9,54.86,55.34,5539800.0,50.96,0.0,1.0
