Ticker,Date,Open,High,Low,Close,Volume,Dividend,Split
WHR,07/01/2005,70.3,70.47,69.28,69.6,468500.0,0.0,1.0
WHR,07/05/2005,69.61,71.06,69.28,70.87,472800.0,0.0,1.0
WHR,07/06/2005,71.0,71.01,69.9,70.01,521100.0,0.0,1.0
WHR,07/07/2005,69.57,69.75,69.01,69.6,529000.0,0.0,1.0
WHR,07/08/2005,69.65,70.06,69.34,70.0,842500.0,0.0,1.0
WHR,07/11/2005,69.96,71.2,69.96,71.15,935200.0,0.0,1.0
WHR,07/12/2005,70.9,70.95,70.0,70.37,494700.0,0.0,1.0
WHR,07/13/2005,70.41,70.81,70.15,70.5,428500.0,0.0,1.0
WHR,07/14/2005,70.75,71.5,70.74,70.85,413800.0,0.0,1.0
WHR,07/15/2005,71.03,71.03,69.75,69.99,662100.0,0.0,1.0
WHR,07/18/2005,71.44,73.93,71.44,73.31,2596400.0,0.0,1.0
WHR,07/19/2005,73.31,75.56,72.8,75.43,1738000.0,0.0,1.0
WHR,07/20/2005,75.43,77.09,74.52,77.02,1710600.0,0.0,1.0
WHR,07/21/2005,77.0,78.0,76.75,77.9,1293700.0,0.0,1.0
WHR,07/22/2005,77.85,78.45,76.93,77.18,1503500.0,0.0,1.0
WHR,07/25/2005,77.95,82.7,77.95,82.68,3110000.0,0.0,1.0
WHR,07/26/2005,82.8,82.8,79.5,80.28,2052400.0,0.0,1.0
WHR,07/27/2005,81.0,81.02,78.86,79.69,1485500.0,0.0,1.0
WHR,07/28/2005,79.95,80.08,78.86,79.94,1307100.0,0.0,1.0
WHR,07/29/2005,80.04,80.2,79.83,79.98,1013300.0,0.0,1.0
WHR,08/01/2005,80.0,80.07,79.5,79.74,903700.0,0.0,1.0
WHR,08/02/2005,79.8,79.8,78.5,78.7,1062300.0,0.0,1.0
WHR,08/03/2005,78.7,78.95,77.69,78.89,672700.0,0.0,1.0
WHR,08/04/2005,78.89,79.22,78.56,78.99,756500.0,0.0,1.0
WHR,08/05/2005,79.05,80.55,78.98,79.71,1674300.0,0.0,1.0
