Period,# of trades,winning trades,Simulated PorL,PorL,winning percent,# of long trades,long winning trades,long winning percent,# of short trades,short winning trades,short winning percent
06/30/2005--03/27/2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07/30/2005--04/26/2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08/29/2005--05/26/2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09/28/2005--06/25/2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/28/2005--07/25/2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11/27/2005--08/24/2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12/27/2005--09/23/2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01/26/2006--10/23/2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02/25/2006--11/22/2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/27/2006--12/22/2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04/26/2006--01/21/2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05/26/2006--02/20/2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06/25/2006--03/22/2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07/25/2006--04/21/2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08/24/2006--05/21/2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09/23/2006--06/20/2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/23/2006--07/20/2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11/22/2006--08/19/2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12/22/2006--09/18/2007,1.0,1.0,188.15,215.64,100.0,1.0,1.0,100.0,0.0,0.0
01/21/2007--10/18/2007,1.0,1.0,188.15,4135.68,100.0,1.0,1.0,100.0,0.0,0.0
02/20/2007--11/17/2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/22/2007--12/17/2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04/21/2007--01/16/2008,3.0,3.0,560.47,-2829.0699999999997,100.0,3.0,3.0,100.0,0.0,0.0
05/21/2007--02/15/2008,3.0,3.0,560.47,-9222.11,100.0,3.0,3.0,100.0,0.0,0.0
06/20/2007--03/16/2008,3.0,2.0,-77.65,-507.37,66.66666666666666,2.0,1.0,50.0,1.0,1.0,100.0
07/20/2007--04/15/2008,9.0,8.0,548.53,-4392.66,88.88888888888889,8.0,7.0,87.5,1.0,1.0,100.0
08/19/2007--05/15/2008,10.0,9.0,550.9399999999999,14867.410000000002,90.0,9.0,8.0,88.88888888888889,1.0,1.0,100.0
09/18/2007--06/14/2008,5.0,4.0,-114.27,-792.8700000000001,80.0,4.0,3.0,75.0,1.0,1.0,100.0
10/18/2007--07/14/2008,7.0,6.0,-135.92999999999998,-1103.3000000000002,85.71428571428571,6.0,5.0,83.33333333333334,1.0,1.0,100.0
11/17/2007--08/13/2008,11.0,10.0,826.1400000000001,1995.4899999999998,90.9090909090909,10.0,9.0,90.0,1.0,1.0,100.0
12/17/2007--09/12/2008,9.0,7.0,-43.23000000000002,10354.580000000002,77.77777777777779,8.0,6.0,75.0,1.0,1.0,100.0
01/16/2008--10/12/2008,7.0,5.0,-968.6200000000001,-1135.09,71.42857142857143,6.0,4.0,66.66666666666666,1.0,1.0,100.0
02/15/2008--11/11/2008,7.0,6.0,676.52,-20738.079999999998,85.71428571428571,7.0,6.0,85.71428571428571,0.0,0.0
03/16/2008--12/11/2008,8.0,7.0,843.25,-19640.63,87.5,8.0,7.0,87.5,0.0,0.0
04/15/2008--01/10/2009,4.0,3.0,-556.26,-1652.4,75.0,4.0,3.0,75.0,0.0,0.0
05/15/2008--02/09/2009,3.0,1.0,-798.7099999999999,-829.7199999999999,33.33333333333333,2.0,1.0,50.0,1.0,0.0,0.0
06/14/2008--03/11/2009,8.0,5.0,87.48000000000013,-7145.91,62.5,5.0,4.0,80.0,3.0,1.0,33.33333333333333
07/14/2008--04/10/2009,6.0,3.0,-804.6499999999999,-667.6599999999999,50.0,3.0,2.0,66.66666666666666,3.0,1.0,33.33333333333333
08/13/2008--05/10/2009,5.0,3.0,-9.399999999999999,128.29999999999998,60.0,2.0,2.0,100.0,3.0,1.0,33.33333333333333
09/12/2008--06/09/2009,10.0,8.0,982.1299999999999,46165.36,80.0,6.0,6.0,100.0,4.0,2.0,50.0
10/12/2008--07/09/2009,10.0,8.0,982.1299999999999,40165.950000000004,80.0,6.0,6.0,100.0,4.0,2.0,50.0
11/11/2008--08/08/2009,9.0,7.0,23.680000000000003,320.64,77.77777777777779,5.0,5.0,100.0,4.0,2.0,50.0
12/11/2008--09/07/2009,9.0,7.0,76.20999999999998,1049.11,77.77777777777779,5.0,5.0,100.0,4.0,2.0,50.0
01/10/2009--10/07/2009,12.0,10.0,911.34,89654.5,83.33333333333334,8.0,8.0,100.0,4.0,2.0,50.0
02/09/2009--11/06/2009,8.0,7.0,650.43,66564.77,87.5,6.0,6.0,100.0,2.0,1.0,50.0
03/11/2009--12/06/2009,5.0,5.0,317.79,1550.82,100.0,4.0,4.0,100.0,1.0,1.0,100.0
04/10/2009--01/05/2010,7.0,7.0,1827.94,6806.65,100.0,6.0,6.0,100.0,1.0,1.0,100.0
05/10/2009--02/04/2010,8.0,7.0,1747.97,757.0699999999979,87.5,7.0,7.0,100.0,1.0,0.0,0.0
06/09/2009--03/06/2010,5.0,4.0,892.1999999999999,5723.159999999999,80.0,4.0,4.0,100.0,1.0,0.0,0.0
07/09/2009--04/05/2010,5.0,4.0,892.53,5747.449999999999,80.0,4.0,4.0,100.0,1.0,0.0,0.0
08/08/2009--05/05/2010,8.0,7.0,1053.69,18018.66,87.5,7.0,7.0,100.0,1.0,0.0,0.0
09/07/2009--06/04/2010,10.0,8.0,1053.05,20018.34,80.0,8.0,8.0,100.0,2.0,0.0,0.0
10/07/2009--07/04/2010,9.0,7.0,77.22999999999999,-25.689999999999998,77.77777777777779,6.0,6.0,100.0,3.0,1.0,33.33333333333333
11/06/2009--08/03/2010,11.0,9.0,974.27,21447.92,81.81818181818183,8.0,8.0,100.0,3.0,1.0,33.33333333333333
12/06/2009--09/02/2010,13.0,11.0,992.04,17281.06,84.61538461538461,10.0,10.0,100.0,3.0,1.0,33.33333333333333
01/05/2010--10/02/2010,12.0,10.0,370.67,261.17,83.33333333333334,9.0,9.0,100.0,3.0,1.0,33.33333333333333
02/04/2010--11/01/2010,10.0,9.0,342.13,298.46999999999997,90.0,8.0,8.0,100.0,2.0,1.0,50.0
03/06/2010--12/01/2010,14.0,12.0,1630.9199999999998,11082.979999999998,85.71428571428571,11.0,11.0,100.0,3.0,1.0,33.33333333333333
04/05/2010--12/31/2010,17.0,14.0,1620.55,3861.8300000000004,82.35294117647058,14.0,13.0,92.85714285714286,3.0,1.0,33.33333333333333
