Period,# of trades,winning trades,Simulated PorL,PorL,Best_of_PorL,winning percent,# of long trades,long winning trades,long winning percent,# of short trades,short winning trades,short winning percent
01/01/2007--12/27/2007,14.0,9.0,-399.4200000000003,749.9899999999999,3571.3899999999994,64.28571428571429,10.0,7.0,70.0,4.0,2.0,50.0
01/31/2007--01/26/2008,18.0,10.0,-1099.8700000000003,-493.2500000000002,3344.9399999999996,55.55555555555556,12.0,8.0,66.66666666666666,6.0,2.0,33.33333333333333
03/02/2007--02/25/2008,21.0,12.0,-1237.2500000000002,-459.5700000000002,4233.55,57.14285714285714,12.0,8.0,66.66666666666666,9.0,4.0,44.44444444444444
04/01/2007--03/26/2008,33.0,22.0,-1085.8100000000002,-499.35000000000036,6360.600000000001,66.66666666666666,16.0,11.0,68.75,17.0,11.0,64.70588235294117
05/01/2007--04/25/2008,35.0,24.0,-933.0100000000001,-4653.02,4652.76,68.57142857142857,18.0,13.0,72.22222222222221,17.0,11.0,64.70588235294117
05/31/2007--05/25/2008,38.0,25.0,-1294.75,-5551.889999999999,4196.050000000001,65.78947368421053,21.0,14.0,66.66666666666666,17.0,11.0,64.70588235294117
06/30/2007--06/24/2008,45.0,32.0,-783.4399999999998,-3187.0499999999993,7323.780000000002,71.11111111111111,23.0,16.0,69.56521739130434,22.0,16.0,72.72727272727273
07/30/2007--07/24/2008,46.0,33.0,-699.5999999999998,-2793.18,7990.770000000001,71.73913043478261,23.0,16.0,69.56521739130434,23.0,17.0,73.91304347826086
08/29/2007--08/23/2008,42.0,29.0,-1050.6699999999992,-11660.19,1145.0300000000002,69.04761904761905,22.0,15.0,68.18181818181817,20.0,14.0,70.0
09/28/2007--09/22/2008,48.0,37.0,19.810000000000315,-9498.330000000002,5181.34,77.08333333333334,23.0,18.0,78.26086956521739,25.0,19.0,76.0
10/28/2007--10/22/2008,49.0,36.0,-762.5599999999998,-1158.7900000000009,13180.669999999998,73.46938775510205,21.0,17.0,80.95238095238095,28.0,19.0,67.85714285714286
11/27/2007--11/21/2008,51.0,37.0,-1103.8999999999996,-456.7799999999979,12548.46,72.54901960784314,23.0,18.0,78.26086956521739,28.0,19.0,67.85714285714286
12/27/2007--12/21/2008,48.0,34.0,-2045.1899999999996,-14048.289999999995,1873.4399999999991,70.83333333333334,22.0,16.0,72.72727272727273,26.0,18.0,69.23076923076923
01/26/2008--01/20/2009,50.0,38.0,-1096.38,-1115.3799999999974,15284.61,76.0,24.0,19.0,79.16666666666666,26.0,19.0,73.07692307692307
02/25/2008--02/19/2009,45.0,33.0,-1670.4699999999993,-3025.8699999999994,15005.3,73.33333333333333,22.0,17.0,77.27272727272727,23.0,16.0,69.56521739130434
03/26/2008--03/21/2009,44.0,33.0,-1530.5199999999995,-3030.9899999999984,14670.619999999999,75.0,20.0,16.0,80.0,24.0,17.0,70.83333333333334
04/25/2008--04/20/2009,45.0,34.0,-1485.2199999999998,-3215.2099999999996,14434.529999999999,75.55555555555556,21.0,17.0,80.95238095238095,24.0,17.0,70.83333333333334
05/25/2008--05/20/2009,43.0,34.0,-846.2699999999999,20096.67,37493.5,79.06976744186046,22.0,20.0,90.9090909090909,21.0,14.0,66.66666666666666
06/24/2008--06/19/2009,43.0,34.0,-877.1199999999988,16196.949999999997,33294.58,79.06976744186046,22.0,20.0,90.9090909090909,21.0,14.0,66.66666666666666
07/24/2008--07/19/2009,39.0,31.0,-829.2699999999995,14638.130000000001,31499.050000000003,79.48717948717949,22.0,20.0,90.9090909090909,17.0,11.0,64.70588235294117
08/23/2008--08/18/2009,35.0,26.0,-1761.4500000000005,14462.41,31024.03,74.28571428571429,19.0,16.0,84.21052631578947,16.0,10.0,62.5
09/22/2008--09/17/2009,31.0,25.0,-463.9199999999999,16114.96,33011.17,80.64516129032258,21.0,17.0,80.95238095238095,10.0,8.0,80.0
10/22/2008--10/17/2009,30.0,24.0,-810.5700000000002,4715.580000000001,19233.43,80.0,20.0,16.0,80.0,10.0,8.0,80.0
11/21/2008--11/16/2009,27.0,22.0,-527.14,6352.660000000002,19857.410000000003,81.48148148148148,20.0,16.0,80.0,7.0,6.0,85.71428571428571
12/21/2008--12/16/2009,35.0,31.0,856.5300000000002,8739.409999999996,24565.400000000005,88.57142857142857,24.0,21.0,87.5,11.0,10.0,90.9090909090909
01/20/2009--01/15/2010,36.0,32.0,950.1499999999997,9897.500000000002,26324.550000000003,88.88888888888889,29.0,25.0,86.20689655172413,7.0,7.0,100.0
