Period,# of trades,winning trades,Simulated PorL,PorL,Best_of_PorL,winning percent,# of long trades,long winning trades,long winning percent,# of short trades,short winning trades,short winning percent
01/01/2007--12/27/2007,17.0,11.0,-719.3699999999998,414.9999999999999,2860.9700000000003,64.70588235294117,6.0,4.0,66.66666666666666,11.0,7.0,63.63636363636363
01/31/2007--01/26/2008,13.0,7.0,-1170.4199999999998,-981.8500000000001,1251.01,53.84615384615385,6.0,4.0,66.66666666666666,7.0,3.0,42.857142857142854
03/02/2007--02/25/2008,15.0,8.0,-1436.6499999999999,-2020.3,2508.7800000000007,53.333333333333336,7.0,4.0,57.14285714285714,8.0,4.0,50.0
04/01/2007--03/26/2008,28.0,17.0,-1736.8599999999997,15851.93,21816.859999999997,60.71428571428571,11.0,6.0,54.54545454545454,17.0,11.0,64.70588235294117
05/01/2007--04/25/2008,32.0,20.0,-1776.54,11287.509999999998,17779.090000000004,62.5,15.0,9.0,60.0,17.0,11.0,64.70588235294117
05/31/2007--05/25/2008,30.0,18.0,-1951.7099999999998,8134.569999999998,15308.830000000002,60.0,13.0,7.0,53.84615384615385,17.0,11.0,64.70588235294117
06/30/2007--06/24/2008,36.0,24.0,-1455.9599999999998,8991.779999999997,18602.370000000003,66.66666666666666,16.0,10.0,62.5,20.0,14.0,70.0
07/30/2007--07/24/2008,37.0,25.0,-1353.59,8485.829999999998,19180.49,67.56756756756756,16.0,10.0,62.5,21.0,15.0,71.42857142857143
08/29/2007--08/23/2008,35.0,23.0,-1614.6100000000001,7575.529999999999,18177.03,65.71428571428571,15.0,9.0,60.0,20.0,14.0,70.0
09/28/2007--09/22/2008,36.0,23.0,-1941.2099999999991,8391.86,18885.230000000003,63.888888888888886,14.0,8.0,57.14285714285714,22.0,15.0,68.18181818181817
10/28/2007--10/22/2008,33.0,23.0,-718.2900000000005,9293.47,21457.83,69.6969696969697,11.0,7.0,63.63636363636363,22.0,16.0,72.72727272727273
11/27/2007--11/21/2008,26.0,17.0,-1634.62,8395.46,22174.770000000004,65.38461538461539,10.0,6.0,60.0,16.0,11.0,68.75
12/27/2007--12/21/2008,25.0,16.0,-1675.35,-1005.909999999999,10680.46,64.0,10.0,6.0,60.0,15.0,10.0,66.66666666666666
01/26/2008--01/20/2009,33.0,20.0,-2924.57,-4581.32,6414.010000000001,60.60606060606061,15.0,9.0,60.0,18.0,11.0,61.111111111111114
02/25/2008--02/19/2009,27.0,17.0,-2485.4799999999996,-4026.1400000000003,5674.57,62.96296296296296,10.0,6.0,60.0,17.0,11.0,64.70588235294117
03/26/2008--03/21/2009,24.0,16.0,-1977.3100000000004,-3474.3799999999997,5480.440000000001,66.66666666666666,6.0,4.0,66.66666666666666,18.0,12.0,66.66666666666666
04/25/2008--04/20/2009,22.0,14.0,-2465.9100000000003,-2600.7799999999993,6207.910000000002,63.63636363636363,5.0,3.0,60.0,17.0,11.0,64.70588235294117
05/25/2008--05/20/2009,23.0,15.0,-2010.8200000000006,-3490.4400000000005,4593.250000000001,65.21739130434783,7.0,5.0,71.42857142857143,16.0,10.0,62.5
06/24/2008--06/19/2009,22.0,14.0,-2024.7900000000002,-7585.25,601.5899999999999,63.63636363636363,7.0,5.0,71.42857142857143,15.0,9.0,60.0
