Period,# of trades,winning trades,Simulated PorL,PorL,Best_of_PorL,winning percent,# of long trades,long winning trades,long winning percent,# of short trades,short winning trades,short winning percent
01/01/2007--12/27/2007,11.0,11.0,769.0800000000002,3105.3199999999997,7540.4800000000005,100.0,7.0,7.0,100.0,4.0,4.0,100.0
01/31/2007--01/26/2008,10.0,10.0,748.83,700.0699999999997,6678.91,100.0,7.0,7.0,100.0,3.0,3.0,100.0
03/02/2007--02/25/2008,13.0,13.0,962.5200000000001,2966.2799999999997,10969.12,100.0,7.0,7.0,100.0,6.0,6.0,100.0
04/01/2007--03/26/2008,15.0,15.0,1143.17,7749.41,15752.25,100.0,7.0,7.0,100.0,8.0,8.0,100.0
05/01/2007--04/25/2008,17.0,17.0,1330.75,5414.0,14086.710000000001,100.0,9.0,9.0,100.0,8.0,8.0,100.0
05/31/2007--05/25/2008,17.0,17.0,1315.77,3656.5499999999997,13540.490000000002,100.0,9.0,9.0,100.0,8.0,8.0,100.0
06/30/2007--06/24/2008,21.0,21.0,1687.13,3711.33,15234.150000000001,100.0,11.0,11.0,100.0,10.0,10.0,100.0
07/30/2007--07/24/2008,20.0,20.0,1595.6000000000001,4333.53,15764.82,100.0,11.0,11.0,100.0,9.0,9.0,100.0
08/29/2007--08/23/2008,17.0,17.0,1415.69,-165.89999999999986,11952.999999999998,100.0,10.0,10.0,100.0,7.0,7.0,100.0
09/28/2007--09/22/2008,17.0,17.0,1543.2,1992.22,16274.48,100.0,6.0,6.0,100.0,11.0,11.0,100.0
10/28/2007--10/22/2008,14.0,14.0,1280.11,1992.22,16188.19,100.0,6.0,6.0,100.0,8.0,8.0,100.0
11/27/2007--11/21/2008,13.0,13.0,1156.3200000000002,-1747.3899999999987,9398.560000000001,100.0,5.0,5.0,100.0,8.0,8.0,100.0
12/27/2007--12/21/2008,10.0,10.0,889.5100000000001,-1747.3899999999987,9307.3,100.0,5.0,5.0,100.0,5.0,5.0,100.0
01/26/2008--01/20/2009,11.0,11.0,971.7600000000001,-4128.34,6979.18,100.0,7.0,7.0,100.0,4.0,4.0,100.0
02/25/2008--02/19/2009,11.0,11.0,990.85,-2295.34,7131.159999999999,100.0,7.0,7.0,100.0,4.0,4.0,100.0
03/26/2008--03/21/2009,12.0,12.0,1083.91,-2709.88,7224.219999999999,100.0,7.0,7.0,100.0,5.0,5.0,100.0
04/25/2008--04/20/2009,10.0,10.0,928.3600000000001,-1551.9500000000003,7124.280000000001,100.0,5.0,5.0,100.0,5.0,5.0,100.0
05/25/2008--05/20/2009,9.0,9.0,847.5500000000001,6571.84,13351.689999999999,100.0,6.0,6.0,100.0,3.0,3.0,100.0
06/24/2008--06/19/2009,10.0,10.0,865.38,45.739999999999895,6579.34,100.0,7.0,7.0,100.0,3.0,3.0,100.0
07/24/2008--07/19/2009,9.0,9.0,798.29,-105.78999999999996,6274.8,100.0,6.0,6.0,100.0,3.0,3.0,100.0
08/23/2008--08/18/2009,11.0,11.0,890.8100000000002,461.01,7221.02,100.0,10.0,10.0,100.0,1.0,1.0,100.0
09/22/2008--09/17/2009,14.0,13.0,984.5600000000002,8133.950000000001,12554.64,92.85714285714286,12.0,11.0,91.66666666666666,2.0,2.0,100.0
10/22/2008--10/17/2009,11.0,11.0,904.1400000000001,2245.7499999999995,6666.44,100.0,9.0,9.0,100.0,2.0,2.0,100.0
11/21/2008--11/16/2009,13.0,13.0,1062.5600000000002,13575.55,17996.239999999998,100.0,11.0,11.0,100.0,2.0,2.0,100.0
12/21/2008--12/16/2009,15.0,15.0,1225.9599999999998,21791.190000000002,26007.46,100.0,12.0,12.0,100.0,3.0,3.0,100.0
01/20/2009--01/15/2010,16.0,16.0,1341.9499999999998,20574.98,25206.72,100.0,13.0,13.0,100.0,3.0,3.0,100.0
02/19/2009--02/14/2010,15.0,15.0,1246.91,19952.5,25111.68,100.0,13.0,13.0,100.0,2.0,2.0,100.0
03/21/2009--03/16/2010,19.0,19.0,1713.4200000000003,15449.52,24456.159999999996,100.0,14.0,14.0,100.0,5.0,5.0,100.0
04/20/2009--04/15/2010,19.0,17.0,766.6300000000001,10542.859999999997,18692.67,89.47368421052632,14.0,12.0,85.71428571428571,5.0,5.0,100.0
