Period,# of trades,winning trades,Simulated PorL,PorL,Best_of_PorL,winning percent,# of long trades,long winning trades,long winning percent,# of short trades,short winning trades,short winning percent
01/01/2007--12/27/2007,51.0,32.0,-1221.8999999999996,-5195.510000000001,1238.54,62.745098039215684,36.0,25.0,69.44444444444444,15.0,7.0,46.666666666666664
01/31/2007--01/26/2008,60.0,38.0,-1482.5799999999997,-6176.530000000002,2058.32,63.33333333333333,36.0,25.0,69.44444444444444,24.0,13.0,54.166666666666664
03/02/2007--02/25/2008,68.0,43.0,-1875.7499999999998,-6263.210000000001,3737.1099999999997,63.23529411764706,39.0,27.0,69.23076923076923,29.0,16.0,55.172413793103445
04/01/2007--03/26/2008,83.0,51.0,-1896.74,-8457.03,3726.5199999999995,61.44578313253012,44.0,30.0,68.18181818181817,39.0,21.0,53.84615384615385
05/01/2007--04/25/2008,100.0,61.0,-2196.0200000000004,-9752.449999999999,4251.6399999999985,61.0,60.0,39.0,65.0,40.0,22.0,55.00000000000001
05/31/2007--05/25/2008,110.0,68.0,-1922.1700000000003,-10295.32,4548.92,61.81818181818181,70.0,46.0,65.71428571428571,40.0,22.0,55.00000000000001
06/30/2007--06/24/2008,122.0,73.0,-2332.2999999999997,-11115.81,4353.42,59.83606557377049,71.0,47.0,66.19718309859155,51.0,26.0,50.98039215686274
07/30/2007--07/24/2008,124.0,75.0,-2219.2299999999996,-11352.130000000001,4462.079999999999,60.483870967741936,71.0,47.0,66.19718309859155,53.0,28.0,52.83018867924528
08/29/2007--08/23/2008,122.0,77.0,-1046.2599999999993,-11628.429999999997,5647.029999999999,63.114754098360656,73.0,50.0,68.4931506849315,49.0,27.0,55.10204081632652
09/28/2007--09/22/2008,115.0,72.0,-995.3,-11558.74,5382.709999999997,62.60869565217392,62.0,42.0,67.74193548387096,53.0,30.0,56.60377358490566
10/28/2007--10/22/2008,105.0,67.0,-897.7099999999999,-9577.390000000001,7606.059999999998,63.8095238095238,52.0,36.0,69.23076923076923,53.0,31.0,58.490566037735846
11/27/2007--11/21/2008,110.0,71.0,-989.0199999999999,-9887.940000000006,7223.42,64.54545454545455,57.0,40.0,70.17543859649122,53.0,31.0,58.490566037735846
12/27/2007--12/21/2008,99.0,59.0,-1940.3199999999997,-10220.51,5933.320000000001,59.59595959595959,53.0,33.0,62.264150943396224,46.0,26.0,56.52173913043478
01/26/2008--01/20/2009,107.0,62.0,-3404.7400000000007,-10463.029999999995,4718.900000000001,57.943925233644855,57.0,34.0,59.64912280701754,50.0,28.0,56.00000000000001
02/25/2008--02/19/2009,102.0,58.0,-4306.79,-10502.359999999997,5272.500000000001,56.86274509803921,54.0,31.0,57.407407407407405,48.0,27.0,56.25
03/26/2008--03/21/2009,109.0,64.0,-3813.3300000000004,-6911.369999999997,8040.010000000001,58.71559633027523,53.0,32.0,60.37735849056604,56.0,32.0,57.14285714285714
04/25/2008--04/20/2009,95.0,56.0,-4139.430000000001,-7238.739999999999,6841.16,58.94736842105262,40.0,24.0,60.0,55.0,32.0,58.18181818181818
05/25/2008--05/20/2009,80.0,47.0,-4418.389999999999,-6424.4299999999985,7506.900000000001,58.75,35.0,19.0,54.285714285714285,45.0,28.0,62.22222222222222
06/24/2008--06/19/2009,82.0,47.0,-5183.68,-3015.070000000002,10034.050000000001,57.3170731707317,38.0,20.0,52.63157894736842,44.0,27.0,61.36363636363637
07/24/2008--07/19/2009,81.0,46.0,-4947.29,-1832.350000000001,10443.11,56.79012345679012,35.0,18.0,51.42857142857142,46.0,28.0,60.86956521739131
08/23/2008--08/18/2009,80.0,46.0,-4778.7199999999975,1118.0399999999981,12989.640000000001,57.49999999999999,40.0,22.0,55.00000000000001,40.0,24.0,60.0
09/22/2008--09/17/2009,79.0,45.0,-4512.839999999997,1891.8799999999985,13787.569999999998,56.9620253164557,46.0,26.0,56.52173913043478,33.0,19.0,57.57575757575758
10/22/2008--10/17/2009,83.0,46.0,-5072.009999999999,-31.850000000003433,11022.219999999998,55.42168674698795,49.0,28.0,57.14285714285714,34.0,18.0,52.94117647058824
11/21/2008--11/16/2009,85.0,42.0,-6949.079999999996,-505.2099999999999,8923.039999999999,49.411764705882355,49.0,25.0,51.02040816326531,36.0,17.0,47.22222222222222
12/21/2008--12/16/2009,81.0,44.0,-4541.759999999998,23.75000000000051,10915.72,54.32098765432099,49.0,28.0,57.14285714285714,32.0,16.0,50.0
01/20/2009--01/15/2010,91.0,50.0,-4931.03,1218.5000000000005,9354.880000000005,54.94505494505495,62.0,37.0,59.67741935483871,29.0,13.0,44.827586206896555
02/19/2009--02/14/2010,87.0,51.0,-3733.7199999999993,2177.5100000000016,9288.010000000006,58.620689655172406,55.0,34.0,61.81818181818181,32.0,17.0,53.125
03/21/2009--03/16/2010,96.0,57.0,-3169.7099999999996,3225.0400000000022,9647.070000000003,59.375,64.0,40.0,62.5,32.0,17.0,53.125
04/20/2009--04/15/2010,95.0,58.0,-2785.8,3627.0900000000024,10071.39,61.05263157894737,63.0,41.0,65.07936507936508,32.0,17.0,53.125
05/20/2009--05/15/2010,97.0,57.0,-3392.3700000000003,2527.5300000000025,9441.629999999997,58.76288659793815,59.0,37.0,62.71186440677966,38.0,20.0,52.63157894736842
06/19/2009--06/14/2010,92.0,55.0,-2697.35,799.4699999999992,6923.310000000001,59.78260869565217,55.0,36.0,65.45454545454545,37.0,19.0,51.35135135135135
07/19/2009--07/14/2010,104.0,64.0,-2358.6499999999996,-232.4399999999993,7064.12,61.53846153846154,61.0,39.0,63.934426229508205,43.0,25.0,58.139534883720934
08/18/2009--08/13/2010,115.0,72.0,-2276.989999999999,-1620.0499999999997,6068.770000000002,62.60869565217392,72.0,47.0,65.27777777777779,43.0,25.0,58.139534883720934
09/17/2009--09/12/2010,111.0,72.0,-1321.5100000000002,-2343.279999999998,6187.380000000002,64.86486486486487,64.0,41.0,64.0625,47.0,31.0,65.95744680851064
10/17/2009--10/12/2010,106.0,72.0,-129.56999999999965,-2062.9399999999982,7016.780000000003,67.9245283018868,65.0,43.0,66.15384615384615,41.0,29.0,70.73170731707317
11/16/2009--11/11/2010,96.0,69.0,994.8200000000003,696.2500000000006,8315.32,71.875,60.0,42.0,70.0,36.0,27.0,75.0
12/16/2009--12/11/2010,100.0,72.0,1158.4799999999996,1560.7000000000014,9093.580000000005,72.0,59.0,41.0,69.49152542372882,41.0,31.0,75.60975609756098
01/15/2010--01/10/2011,91.0,62.0,711.9799999999998,756.1099999999999,8127.2300000000005,68.13186813186813,62.0,41.0,66.12903225806451,29.0,21.0,72.41379310344827
02/14/2010--02/09/2011,100.0,68.0,870.6899999999998,1904.7000000000005,8460.9,68.0,66.0,44.0,66.66666666666666,34.0,24.0,70.58823529411765
03/16/2010--03/11/2011,100.0,65.0,456.36,-342.58000000000027,6241.700000000001,65.0,59.0,39.0,66.10169491525424,41.0,26.0,63.41463414634146
04/15/2010--04/10/2011,97.0,62.0,57.52999999999999,-270.8399999999996,6795.150000000001,63.91752577319587,60.0,38.0,63.33333333333333,37.0,24.0,64.86486486486487
05/15/2010--05/10/2011,107.0,70.0,481.6599999999999,433.27000000000004,6875.829999999998,65.42056074766354,68.0,45.0,66.17647058823529,39.0,25.0,64.1025641025641
06/14/2010--06/09/2011,106.0,68.0,289.53000000000003,818.4800000000001,7218.08,64.15094339622641,69.0,46.0,66.66666666666666,37.0,22.0,59.45945945945946
07/14/2010--07/09/2011,105.0,67.0,349.2899999999998,1557.54,7191.740000000001,63.8095238095238,62.0,42.0,67.74193548387096,43.0,25.0,58.139534883720934
08/13/2010--08/08/2011,106.0,62.0,-710.6299999999999,110.22999999999996,6433.840000000001,58.490566037735846,59.0,40.0,67.79661016949152,47.0,22.0,46.808510638297875
09/12/2010--09/07/2011,105.0,60.0,-1334.5900000000001,1284.56,6604.4000000000015,57.14285714285714,53.0,34.0,64.15094339622641,52.0,26.0,50.0
10/12/2010--10/07/2011,112.0,64.0,-1495.1200000000001,308.51999999999936,6734.130000000002,57.14285714285714,54.0,35.0,64.81481481481481,58.0,29.0,50.0
11/11/2010--11/06/2011,108.0,61.0,-1987.5900000000001,-1581.02,6274.470000000003,56.481481481481474,57.0,36.0,63.1578947368421,51.0,25.0,49.01960784313725
12/11/2010--12/06/2011,112.0,63.0,-2625.26,-2217.039999999999,4805.7699999999995,56.25,53.0,31.0,58.490566037735846,59.0,32.0,54.23728813559322
01/10/2011--01/05/2012,98.0,55.0,-3041.83,-3357.06,3789.4900000000002,56.12244897959183,44.0,26.0,59.09090909090909,54.0,29.0,53.70370370370371
02/09/2011--02/04/2012,111.0,65.0,-2474.4300000000003,-2676.71,6200.309999999999,58.55855855855856,64.0,38.0,59.375,47.0,27.0,57.446808510638306
03/11/2011--03/05/2012,112.0,65.0,-2444.2000000000003,-3047.0099999999993,5478.570000000001,58.03571428571429,67.0,40.0,59.70149253731343,45.0,25.0,55.55555555555556
04/10/2011--04/04/2012,114.0,63.0,-3047.19,-4048.3,4374.329999999998,55.26315789473685,64.0,38.0,59.375,50.0,25.0,50.0
05/10/2011--05/04/2012,119.0,63.0,-3449.9100000000008,-4904.200000000001,4119.869999999998,52.94117647058824,64.0,37.0,57.8125,55.0,26.0,47.27272727272727
06/09/2011--06/03/2012,122.0,67.0,-3308.99,-5033.080000000001,4514.950000000001,54.91803278688525,63.0,36.0,57.14285714285714,59.0,31.0,52.54237288135594
07/09/2011--07/03/2012,110.0,60.0,-3129.7900000000004,-6193.170000000003,4244.180000000001,54.54545454545454,65.0,35.0,53.84615384615385,45.0,25.0,55.55555555555556
08/08/2011--08/02/2012,115.0,62.0,-3373.8399999999997,-7611.960000000001,1767.3899999999999,53.91304347826087,69.0,37.0,53.62318840579711,46.0,25.0,54.347826086956516
09/07/2011--09/01/2012,119.0,65.0,-3306.7599999999998,-6790.470000000003,2672.970000000001,54.621848739495796,76.0,43.0,56.57894736842105,43.0,22.0,51.162790697674424
10/07/2011--10/01/2012,124.0,68.0,-3551.759999999999,-6521.849999999999,2446.900000000002,54.83870967741935,77.0,42.0,54.54545454545454,47.0,26.0,55.319148936170215
11/06/2011--10/31/2012,125.0,65.0,-3333.01,-5187.359999999998,3560.870000000001,52.0,81.0,43.0,53.086419753086425,44.0,22.0,50.0
12/06/2011--11/30/2012,131.0,68.0,-3170.7200000000003,-5399.369999999998,2469.4100000000003,51.908396946564885,77.0,42.0,54.54545454545454,54.0,26.0,48.148148148148145
01/05/2012--12/30/2012,136.0,70.0,-3180.910000000001,-5075.909999999998,2478.5999999999995,51.470588235294116,82.0,44.0,53.65853658536586,54.0,26.0,48.148148148148145
02/04/2012--01/29/2013,122.0,61.0,-3390.9200000000014,-5253.339999999999,1429.9400000000007,50.0,70.0,35.0,50.0,52.0,26.0,50.0
03/05/2012--02/28/2013,114.0,60.0,-2713.990000000001,-5137.789999999998,2112.9099999999994,52.63157894736842,69.0,35.0,50.72463768115942,45.0,25.0,55.55555555555556
04/04/2012--03/30/2013,101.0,53.0,-2414.160000000001,-3620.4900000000007,2378.06,52.475247524752476,65.0,32.0,49.23076923076923,36.0,21.0,58.333333333333336
