Period,# of trades,winning trades,Simulated PorL,PorL,Best_of_PorL,winning percent,# of long trades,long winning trades,long winning percent,# of short trades,short winning trades,short winning percent
01/01/2007--12/27/2007,10.0,8.0,475.52000000000004,2211.77,4298.25,80.0,5.0,4.0,80.0,5.0,4.0,80.0
01/31/2007--01/26/2008,12.0,9.0,-8.399999999999977,3557.0499999999997,5643.530000000001,75.0,5.0,4.0,80.0,7.0,5.0,71.42857142857143
03/02/2007--02/25/2008,13.0,10.0,74.44000000000003,3640.47,5726.950000000001,76.92307692307693,5.0,4.0,80.0,8.0,6.0,75.0
04/01/2007--03/26/2008,17.0,13.0,164.48000000000005,5627.37,8246.470000000001,76.47058823529412,6.0,5.0,83.33333333333334,11.0,8.0,72.72727272727273
05/01/2007--04/25/2008,18.0,13.0,-264.52,5109.09,7728.190000000001,72.22222222222221,7.0,5.0,71.42857142857143,11.0,8.0,72.72727272727273
05/31/2007--05/25/2008,18.0,13.0,-264.52,5109.09,7728.190000000001,72.22222222222221,7.0,5.0,71.42857142857143,11.0,8.0,72.72727272727273
06/30/2007--06/24/2008,20.0,15.0,-68.43999999999998,4669.47,7924.270000000001,75.0,7.0,5.0,71.42857142857143,13.0,10.0,76.92307692307693
07/30/2007--07/24/2008,18.0,14.0,6.84999999999998,4669.47,7999.5599999999995,77.77777777777779,7.0,5.0,71.42857142857143,11.0,9.0,81.81818181818183
08/29/2007--08/23/2008,16.0,13.0,13.589999999999947,3754.64,6339.7300000000005,81.25,5.0,4.0,80.0,11.0,9.0,81.81818181818183
09/28/2007--09/22/2008,17.0,13.0,-648.51,540.4300000000001,3626.0399999999995,76.47058823529412,4.0,3.0,75.0,13.0,10.0,76.92307692307693
10/28/2007--10/22/2008,14.0,10.0,-905.8499999999998,5866.490000000001,8721.7,71.42857142857143,3.0,2.0,66.66666666666666,11.0,8.0,72.72727272727273
11/27/2007--11/21/2008,13.0,9.0,-1009.91,6726.209999999999,8424.05,69.23076923076923,2.0,1.0,50.0,11.0,8.0,72.72727272727273
12/27/2007--12/21/2008,10.0,7.0,-616.42,6726.209999999999,8424.05,70.0,2.0,1.0,50.0,8.0,6.0,75.0
01/26/2008--01/20/2009,11.0,8.0,-509.02000000000004,5598.99,7274.16,72.72727272727273,2.0,1.0,50.0,9.0,7.0,77.77777777777779
02/25/2008--02/19/2009,8.0,6.0,-502.43,5598.99,7274.16,75.0,2.0,1.0,50.0,6.0,5.0,83.33333333333334
03/26/2008--03/21/2009,8.0,6.0,-485.69999999999993,3242.8500000000004,4931.77,75.0,1.0,0.0,0.0,7.0,6.0,85.71428571428571
04/25/2008--04/20/2009,7.0,5.0,-649.6699999999998,3192.040000000001,4794.410000000001,71.42857142857143,1.0,0.0,0.0,6.0,5.0,83.33333333333334
05/25/2008--05/20/2009,6.0,4.0,-744.04,3611.55,4726.64,66.66666666666666,1.0,0.0,0.0,5.0,4.0,80.0
06/24/2008--06/19/2009,6.0,4.0,-744.04,3626.9700000000003,4726.64,66.66666666666666,1.0,0.0,0.0,5.0,4.0,80.0
07/24/2008--07/19/2009,6.0,4.0,-744.04,3626.9700000000003,4726.64,66.66666666666666,1.0,0.0,0.0,5.0,4.0,80.0
08/23/2008--08/18/2009,5.0,4.0,-71.78999999999999,3450.32,5433.92,80.0,3.0,2.0,66.66666666666666,2.0,2.0,100.0
09/22/2008--09/17/2009,5.0,4.0,-71.42999999999996,-727.9399999999999,167.92,80.0,3.0,2.0,66.66666666666666,2.0,2.0,100.0
10/22/2008--10/17/2009,8.0,4.0,-908.55,-2541.94,-669.2,50.0,5.0,2.0,40.0,3.0,2.0,66.66666666666666
11/21/2008--11/16/2009,8.0,4.0,-908.55,-2541.94,-669.2,50.0,5.0,2.0,40.0,3.0,2.0,66.66666666666666
12/21/2008--12/16/2009,7.0,3.0,-1004.16,-2541.94,-669.2,42.857142857142854,5.0,2.0,40.0,2.0,1.0,50.0
01/20/2009--01/15/2010,7.0,3.0,-998.8700000000001,-2864.2,-998.8700000000001,42.857142857142854,5.0,2.0,40.0,2.0,1.0,50.0
02/19/2009--02/14/2010,11.0,6.0,-974.7400000000001,-322.78999999999974,1527.2099999999998,54.54545454545454,5.0,2.0,40.0,6.0,4.0,66.66666666666666
03/21/2009--03/16/2010,13.0,7.0,-925.9699999999999,-125.92000000000003,1580.6399999999999,53.84615384615385,7.0,3.0,42.857142857142854,6.0,4.0,66.66666666666666
04/20/2009--04/15/2010,13.0,8.0,-370.6999999999999,318.69999999999993,2149.9500000000003,61.53846153846154,7.0,4.0,57.14285714285714,6.0,4.0,66.66666666666666
05/20/2009--05/15/2010,16.0,9.0,-1035.8,497.23999999999995,2476.4900000000002,56.25,7.0,4.0,57.14285714285714,9.0,5.0,55.55555555555556
06/19/2009--06/14/2010,16.0,9.0,-1035.8,497.23999999999995,2476.4900000000002,56.25,7.0,4.0,57.14285714285714,9.0,5.0,55.55555555555556
07/19/2009--07/14/2010,17.0,9.0,-1321.8300000000002,652.0699999999997,2438.69,52.94117647058824,8.0,4.0,50.0,9.0,5.0,55.55555555555556
08/18/2009--08/13/2010,18.0,8.0,-1751.3500000000001,395.9099999999999,2009.1699999999998,44.44444444444444,7.0,3.0,42.857142857142854,11.0,5.0,45.45454545454545
09/17/2009--09/12/2010,18.0,9.0,-1400.92,610.31,2480.07,50.0,7.0,3.0,42.857142857142854,11.0,6.0,54.54545454545454
