Period,# of trades,winning trades,Simulated PorL,PorL,Best_of_PorL,winning percent,# of long trades,long winning trades,long winning percent,# of short trades,short winning trades,short winning percent
11/16/2009--11/11/2010,46,34,41064.32,42921.22,46521.62,73.9130434783,33,26,78.7878787879,13,8,61.5384615385
10/17/2009--10/12/2010,44,34,34797.61,36180.14,40013.71,77.2727272727,33,26,78.7878787879,11,8,72.7272727273
01/29/2013--01/24/2014,46,25,23156.44,22368.87,25036.15,54.347826087,33,18,54.5454545455,13,7,53.8461538462
03/30/2013--03/25/2014,39,22,21484.48,21419.55,22974.39,56.4102564103,30,17,56.6666666667,9,5,55.5555555556
04/20/2009--04/15/2010,36,27,17945.69,27452.63,33381.51,75,25,19,76,11,8,72.7272727273
04/29/2013--04/24/2014,39,20,17523.98,17236.99,18440.68,51.2820512821,29,14,48.275862069,10,6,60
08/18/2009--08/13/2010,40,30,15642.01,16031.27,20479.69,75,30,22,73.3333333333,10,8,80
07/19/2009--07/14/2010,38,27,14018.6,13232.35,17206.32,71.0526315789,25,18,72,13,9,69.2307692308
03/21/2009--03/16/2010,35,25,11428.18,18851.21,25128.5,71.4285714286,24,17,70.8333333333,11,8,72.7272727273
01/20/2009--01/15/2010,27,20,9399.48,24064.35,30430.36,74.0740740741,20,15,75,7,5,71.4285714286
02/14/2010--02/09/2011,43,30,7593.85,10331.35,19636.02,69.7674418605,31,24,77.4193548387,12,6,50
12/16/2009--12/11/2010,44,32,6749.75,9832.97,22004.23,72.7272727273,30,24,80,14,8,57.1428571429
08/23/2008--08/18/2009,24,18,6488.1,7846.12,17748.65,75,13,10,76.9230769231,11,8,72.7272727273
01/15/2010--01/10/2011,42,30,6483.75,9017.2,21719.06,71.4285714286,30,23,76.6666666667,12,7,58.3333333333
11/21/2008--11/16/2009,28,20,6460.9,8641.02,19253.06,71.4285714286,18,13,72.2222222222,10,7,70
10/22/2008--10/17/2009,28,20,6412.06,7844.23,19075.07,71.4285714286,16,12,75,12,8,66.6666666667
01/10/2011--01/05/2012,34,19,5953.1,8295.92,10538.34,55.8823529412,26,16,61.5384615385,8,3,37.5
09/22/2008--09/17/2009,30,21,5934.33,10967.09,20949.82,70,17,13,76.4705882353,13,8,61.5384615385
12/21/2008--12/16/2009,29,20,5606.7,15213.39,24252.86,68.9655172414,20,14,70,9,6,66.6666666667
