Period,# of trades,winning trades,Simulated PorL,PorL,Best_of_PorL,winning percent,# of long trades,long winning trades,long winning percent,# of short trades,short winning trades,short winning percent
12/06/2011--11/30/2012,296,219,25925.84,27688.64,29312.64,73.9864864865,198,153,77.2727272727,98,66,67.3469387755
02/14/2010--02/09/2011,314,233,16187.55,36673.57,42792.37,74.2038216561,239,185,77.4058577406,75,48,64
12/21/2008--12/16/2009,275,190,11425.42,33268.32,47239.72,69.0909090909,201,149,74.1293532338,74,41,55.4054054054
10/01/2012--09/26/2013,321,220,10532.15,11895.5,30051.09,68.5358255452,212,158,74.5283018868,109,62,56.880733945
04/10/2011--04/04/2012,280,209,10300.74,704.52,25214.45,74.6428571429,162,123,75.9259259259,118,86,72.8813559322
11/16/2009--11/11/2010,298,221,9740.18,20338.52,29559.36,74.1610738255,210,164,78.0952380952,88,57,64.7727272727
03/16/2010--03/11/2011,321,232,9697.01,23945.9,35492.17,72.2741433022,242,181,74.7933884298,79,51,64.5569620253
05/10/2011--05/04/2012,273,202,8759.03,1596,23819.14,73.9926739927,152,114,75,121,88,72.7272727273
04/20/2009--04/15/2010,303,219,8548.67,34332.78,46025.34,72.2772277228,242,189,78.0991735537,61,30,49.1803278689
03/21/2009--03/16/2010,312,216,8448.77,51676.85,57940.85,69.2307692308,251,186,74.1035856574,61,30,49.1803278689
01/20/2009--01/15/2010,293,210,7235.49,39537.44,53749.57,71.6723549488,228,174,76.3157894737,65,36,55.3846153846
05/15/2010--05/10/2011,317,216,7137.01,23824.21,34944.9,68.1388012618,260,192,73.8461538462,57,24,42.1052631579
10/17/2009--10/12/2010,287,202,6679.98,9619.83,16222.13,70.3832752613,196,145,73.9795918367,91,57,62.6373626374
09/01/2012--08/27/2013,337,234,6236.31,6796.46,23976.56,69.4362017804,216,161,74.537037037,121,73,60.3305785124
09/22/2008--09/17/2009,218,155,5994.04,25533.99,60073.24,71.1009174312,141,105,74.4680851064,77,50,64.9350649351
04/29/2013--04/24/2014,412,292,5634.46,-1834.28,21411.56,70.8737864078,285,202,70.8771929825,127,90,70.8661417323
07/03/2012--06/28/2013,309,215,5324.2,10485.08,25421.35,69.5792880259,208,159,76.4423076923,101,56,55.4455445545
08/23/2008--08/18/2009,238,182,5165.46,19242.17,58300.04,76.4705882353,124,94,75.8064516129,114,88,77.1929824561
07/19/2009--07/14/2010,299,209,5094.05,11377.99,19439.94,69.8996655518,215,159,73.9534883721,84,50,59.5238095238
03/30/2013--03/25/2014,383,276,4792.47,-5611.05,20210.05,72.0626631854,283,202,71.3780918728,100,74,74
06/03/2012--05/29/2013,303,205,4605.58,7418.86,23325.93,67.6567656766,225,171,76,78,34,43.5897435897
06/14/2010--06/09/2011,324,226,4407.53,30274.49,37694.45,69.7530864198,265,195,73.5849056604,59,31,52.5423728814
01/29/2013--01/24/2014,392,270,3705.34,3737.91,22414.21,68.8775510204,298,215,72.1476510067,94,55,58.5106382979
06/19/2009--06/14/2010,241,167,3660.73,346.08,17017.31,69.2946058091,189,140,74.0740740741,52,27,51.9230769231
12/30/2012--12/25/2013,323,226,3482.72,9854.06,22896.22,69.9690402477,232,173,74.5689655172,91,53,58.2417582418
02/28/2013--02/23/2014,377,261,3329.74,-470.28,19433.66,69.2307692308,270,196,72.5925925926,107,65,60.7476635514
08/08/2011--08/02/2012,249,176,3316.23,10110.41,16715.79,70.6827309237,155,114,73.5483870968,94,62,65.9574468085
12/27/2007--12/21/2008,295,233,3140.93,-3845.58,46267.84,78.9830508475,106,76,71.6981132075,189,157,83.0687830688
11/30/2012--11/25/2013,309,212,2760.33,11106.24,21930.58,68.6084142395,218,160,73.3944954128,91,52,57.1428571429
01/26/2008--01/20/2009,319,253,2688.16,-8557.04,40978.29,79.3103448276,131,92,70.2290076336,188,161,85.6382978723
07/09/2011--07/03/2012,247,177,2567.73,22043.1,29038.13,71.6599190283,143,105,73.4265734266,104,72,69.2307692308
02/19/2009--02/14/2010,245,168,2189.22,12545.72,24141.47,68.5714285714,198,146,73.7373737374,47,22,46.8085106383
02/04/2012--01/29/2013,289,202,2091.85,13880.2,25575.34,69.8961937716,193,141,73.0569948187,96,61,63.5416666667
10/31/2012--10/26/2013,288,196,2073.92,2529.47,18784.68,68.0555555556,199,146,73.3668341709,89,50,56.1797752809
09/12/2010--09/07/2011,314,233,2009.61,1180.37,22307.68,74.2038216561,219,165,75.3424657534,95,68,71.5789473684
10/12/2010--10/07/2011,310,227,2003.35,8906.45,23795.9,73.2258064516,199,145,72.864321608,111,82,73.8738738739
09/17/2009--09/12/2010,275,181,1912.55,-369.65,8623.56,65.8181818182,181,124,68.5082872928,94,57,60.6382978723
05/29/2013--05/24/2014,340,234,1735.84,-8583.97,14963.19,68.8235294118,242,166,68.5950413223,98,68,69.387755102
01/15/2010--01/10/2011,224,153,1695.57,-125.63,11873.77,68.3035714286,152,106,69.7368421053,72,47,65.2777777778
06/30/2007--06/24/2008,341,254,1479.83,5150.03,32258.09,74.4868035191,181,132,72.9281767956,160,122,76.25
04/25/2008--04/20/2009,259,197,1383.59,-10213.13,21680.24,76.0617760618,74,45,60.8108108108,185,152,82.1621621622
03/26/2008--03/21/2009,291,223,1293.27,-5304.6,27502.81,76.6323024055,111,77,69.3693693694,180,146,81.1111111111
07/30/2007--07/24/2008,374,287,1238.32,106.91,33037.1,76.7379679144,181,131,72.3756906077,193,156,80.829015544
08/18/2009--08/13/2010,314,213,1214.32,-1185.69,8972.24,67.8343949045,233,162,69.5278969957,81,51,62.962962963
