Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,Strategy,Current-Pos
PCLN,SHORT,2008-04-29,121.70,780,No-Exit,0.0,0.0,2008-05-01,129.66,-6208.80,-6208.80,BB 20 SMA Xover Mtm,[]
VLO,LONG,2008-05-20,50.19,1775,No-Exit,0.0,0.0,2008-05-27,47.07,-5538.00,-5538.00,BB 20 SMA Xover Mtm,['AAPL']
AAPL,SHORT,2008-05-22,25.20,177,No-Exit,0.0,0.0,2008-05-28,26.82,-286.74,-286.74,BB 20 SMA Xover Mtm,[]
VLO,SHORT,2008-06-09,45.87,1821,No-Exit,0.0,0.0,2008-06-12,45.13,1347.54,1347.54,BB 20 SMA Xover Mtm,['AAPL']
AAPL,SHORT,2008-06-10,25.68,2934,No-Exit,0.0,0.0,2008-06-16,24.87,2376.54,2376.54,BB 20 SMA Xover Mtm,[]
CME,LONG,2008-07-23,73.99,1177,No-Exit,0.0,0.0,2008-08-04,64.45,-11228.58,-11228.58,BB 20 SMA Xover Mtm,[]
AAPL,LONG,2008-08-07,23.69,3226,No-Exit,0.0,0.0,2008-08-15,25.22,4935.78,4935.78,BB 20 SMA Xover Mtm,[]
AAPL,SHORT,2008-09-02,23.98,3383,No-Exit,0.0,0.0,2008-09-08,23.51,1590.01,1590.01,BB 20 SMA Xover Mtm,[]
AAPL,LONG,2008-10-29,14.42,5730,No-Exit,0.0,0.0,2008-10-31,15.30,5042.40,5042.40,BB 20 SMA Xover Mtm,['RIG']
RIG,LONG-SPY-NULL,2008-10-31,80.43,51,No-Exit,0.0,0.0,2008-11-06,78.90,-78.03,0.0,BB 20 SMA Xover Mtm,['TAP']
HUM,LONG,2008-11-06,36.37,1148,No-Exit,0.0,0.0,2008-11-12,33.22,-3616.20,-3616.20,BB 20 SMA Xover Mtm,['AAPL', 'TAP']
AAPL,SHORT,2008-11-07,14.02,483,No-Exit,0.0,0.0,2008-11-13,13.33,333.27,333.27,BB 20 SMA Xover Mtm,['TAP']
TAP,LONG,2008-11-06,43.55,989,No-Exit,0.0,0.0,2008-11-25,43.77,217.58,217.58,BB 20 SMA Xover Mtm,[]
AMZN,LONG-SPY-NULL,2008-12-04,45.94,1849,No-Exit,0.0,0.0,2008-12-10,49.30,6212.64,0.0,BB 20 SMA Xover Mtm,[]
RIG,LONG,2009-01-05,52.53,1719,No-Exit,0.0,0.0,2009-01-07,55.69,5432.04,5432.04,BB 20 SMA Xover Mtm,['AAPL']
AAPL,LONG,2009-01-06,13.71,334,No-Exit,0.0,0.0,2009-01-14,12.14,-523.43,-523.43,BB 20 SMA Xover Mtm,['FSLR']
FSLR,SHORT,2009-01-14,137.01,326,No-Exit,0.0,0.0,2009-01-15,138.34,-433.58,-433.58,BB 20 SMA Xover Mtm,['GD']
GD,SHORT,2009-01-14,54.48,835,No-Exit,0.0,0.0,2009-01-26,53.85,526.05,526.05,BB 20 SMA Xover Mtm,['AAPL']
AAPL,LONG,2009-01-23,12.75,7129,No-Exit,0.0,0.0,2009-01-30,13.15,2851.60,2851.60,BB 20 SMA Xover Mtm,[]
AAPL,SHORT,2009-02-20,12.77,7629,No-Exit,0.0,0.0,2009-02-25,13.21,-3345.86,-3345.86,BB 20 SMA Xover Mtm,[]
AMZN,SHORT,2009-03-09,61.07,1549,No-Exit,0.0,0.0,2009-03-10,65.42,-6738.15,-6738.15,BB 20 SMA Xover Mtm,[]
AAPL,LONG,2009-03-12,13.37,6598,No-Exit,0.0,0.0,2009-03-16,13.57,1319.60,1319.60,BB 20 SMA Xover Mtm,[]
