Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Profit-Exit-Date,Profit-Exit-Price,Profit-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,,Strategy,Current-Pos,,,
GS,LONG,2007-09-11,170.22,560,No-Exit,0,0,2007-09-13,171.91,944.24,2007-09-17,171.09,487.15,944.24,944.24,BB Spread,[],,,
AAPL,LONG,2007-12-07,25.81,3798,No-Exit,0,0,2007-12-07,26.07,998.28,2007-12-11,26.12,1177.38,998.28,1177.38,BB Spread,[],,,
XOM,LONG,2008-04-03,75.26,55,No-Exit,0,0,No-Exit,0,0,2008-04-08,74.8,-25.32,-25.32,-25.32,BB Spread,[],,,
GOOGL,LONG,2008-04-02,234.95,391,No-Exit,0,0,2008-04-02,237.28,910.44,2008-04-09,233.59,-531.76,910.44,910.44,BB Spread,[],,,
AAPL,LONG,2008-08-13,24.11,3566,No-Exit,0,0,2008-08-14,24.35,860.26,2008-08-19,23.34,-2745.82,860.26,860.26,BB Spread,['AAPL'],,,
ADSK,LONG,2008-08-18,38.89,111,No-Exit,0,0,No-Exit,0,0,2008-08-19,37.41,-164.28,-164.28,-164.28,BB Spread,[],,,
AAPL,LONG,2008-12-09,13.63,5473,No-Exit,0,0,2008-12-09,13.77,740.82,2008-12-10,13.08,-3010.15,740.82,740.82,BB Spread,[],,,
WAT,LONG,2009-04-29,44.79,1682,No-Exit,0,0,2009-04-30,45.23,746.98,2009-05-07,44.36,-723.26,746.98,746.98,BB Spread,[],,,
GMCR,LONG,2009-05-01,16.71,226,No-Exit,0,0,2009-05-01,16.87,35.82,2009-05-13,17.52,183.42,35.82,183.42,BB Spread,['GOOGL'],,,
MOS,LONG,2009-07-17,47.86,750,No-Exit,0,0,2009-07-17,48.33,352.12,2009-07-20,45.52,-1755,352.12,352.12,BB Spread,[],,,
FSLR,LONG,2009-07-27,172.55,210,No-Exit,0,0,2009-07-27,174.27,360.15,2009-07-29,163.69,-1860.6,360.15,360.15,BB Spread,[],,,
FCX,LONG,2009-07-17,22.38,1604,No-Exit,0,0,2009-07-17,22.61,367.7,2009-07-29,23.45,1720.76,367.7,1720.76,BB Spread,[],,,
FSLR,LONG,2009-12-04,131.69,541,No-Exit,0,0,2009-12-04,132.99,701.24,2009-12-17,136.24,2461.55,701.24,2461.55,BB Spread,[],,,
AAPL,LONG,2009-12-28,28.64,2554,No-Exit,0,0,2009-12-28,28.93,731.11,2010-01-06,28.92,712.83,731.11,731.11,BB Spread,[],,,
NFLX,LONG,2010-01-29,63.65,404,No-Exit,0,0,2010-01-29,64.27,251.49,2010-02-01,61.09,-1034.24,251.49,251.49,BB Spread,[],,,
AAPL,LONG,2010-03-01,27.89,2715,No-Exit,0,0,2010-03-01,28.17,767.57,2010-03-03,28.17,760.2,767.57,767.57,BB Spread,[],,,
MOS,LONG,2010-03-15,60.17,1297,2010-03-15,59.46,-925.1,No-Exit,0,0,2010-03-17,58.82,-1755.18,-925.1,-925.1,BB Spread,['ADSK'],,,
MMM,LONG,2010-03-31,74.75,1024,No-Exit,0,0,No-Exit,0,0,2010-04-06,74.31,-452.42,-452.42,-452.42,BB Spread,[],,,
AAPL,LONG,2010-04-22,35.16,2115,2010-04-22,34.84,-676.8,2010-04-22,35.52,762.4,2010-04-27,36.16,2105.58,-676.8,2105.58,BB Spread,[],,,
WDC,LONG,2010-04-26,42.62,88,No-Exit,0,0,2010-04-26,43.05,37.1,2010-04-27,41.56,-93.67,37.1,37.1,BB Spread,[],,,
NEM,LONG,2010-06-17,53.92,1395,No-Exit,0,0,2010-06-17,54.46,755.96,2010-06-23,53.58,-468.67,755.96,755.96,BB Spread,[],,,
APA,LONG,2010-07-26,91.23,800,No-Exit,0,0,2010-07-26,92.16,737.91,2010-07-30,90.86,-301.35,737.91,737.91,BB Spread,[],,,
GOOGL,LONG,2010-09-20,246.25,294,No-Exit,0,0,2010-09-20,248.79,747.17,2010-09-28,264.11,5250.84,747.17,5250.84,BB Spread,['GMCR'],,,
GOOGL,LONG,2010-10-18,300.92,256,No-Exit,0,0,2010-10-18,304.01,790.67,2010-10-22,305.44,1157.12,790.67,1157.12,BB Spread,[],,,
CMG,LONG,2010-10-25,208.14,376,No-Exit,0,0,2010-10-26,210.19,770.8,2010-10-29,209.79,620.4,770.8,770.8,BB Spread,[],,,
NOV,LONG,2010-10-27,50.32,79,No-Exit,0,0,2010-10-27,50.83,40.64,2010-10-29,50.46,10.81,40.64,40.64,BB Spread,[],,,
AMZN,LONG,2010-11-26,178.09,22,No-Exit,0,0,2010-11-29,179.89,39.6,2010-12-02,176.05,-44.88,39.6,39.6,BB Spread,[],,,
APC,LONG,2010-12-31,74.28,1094,No-Exit,0,0,2010-12-31,75.02,811.31,2011-01-04,72.32,-2140.88,811.31,811.31,BB Spread,['FCX'],,,
AAPL,LONG,2011-01-04,44.97,92,No-Exit,0,0,2011-01-07,45.42,41.57,2011-01-14,46.61,150.74,41.57,150.74,BB Spread,['FCX'],,,
HAL,LONG,2011-03-29,46.32,1758,No-Exit,0,0,2011-03-29,46.79,827.16,2011-04-07,46.32,0,827.16,827.16,BB Spread,[],,,
CMI,LONG,2011-04-27,109.87,368,No-Exit,0,0,2011-04-27,110.98,410.09,2011-05-04,106.3,-1312.47,410.09,410.09,BB Spread,['FSLR'],,,
VRTX,LONG,2011-04-27,54.16,732,No-Exit,0,0,2011-04-27,54.72,406.55,2011-05-04,53.51,-475.8,406.55,406.55,BB Spread,[],,,
NKE,LONG,2011-06-29,42.74,2027,No-Exit,0,0,2011-07-01,43.17,866.28,2011-07-08,44.08,2712.78,866.28,2712.78,BB Spread,[],,,
AMZN,LONG,2011-09-01,216.34,429,No-Exit,0,0,No-Exit,0,0,2011-09-02,208.94,-3174.6,-3174.6,-3174.6,BB Spread,['JPM', 'FCX', 'QCOM', 'GS']
APC,LONG,2011-10-18,73.99,1262,No-Exit,0,0,2011-10-18,74.76,973.2,2011-10-31,79.76,7281.74,973.2,7281.74,BB Spread,['JPM', 'FCX', 'QCOM'],
GOOGL,LONG,2011-11-14,306.3,327,No-Exit,0,0,No-Exit,0,0,2011-11-17,305.02,-416.93,-416.93,-416.93,BB Spread,['FCX', 'QCOM'],,
NFLX,LONG,2012-01-05,81.17,1189,No-Exit,0,0,2012-01-06,81.96,940.74,2012-01-18,93.18,14279.89,940.74,14279.89,BB Spread,['QCOM', 'PNC'],,
MA,LONG,2012-02-03,38.02,145,No-Exit,0,0,2012-02-03,38.41,55.95,2012-02-10,38.95,135.23,55.95,135.23,BB Spread,['PNC'],,,
WHR,LONG,2012-02-02,59.72,1844,No-Exit,0,0,2012-02-02,60.32,1113.57,2012-02-10,64.61,9019.79,1113.57,9019.79,BB Spread,[],,,
NFLX,LONG,2012-03-22,121.09,981,No-Exit,0,0,2012-03-22,122.28,1164.74,2012-03-23,117.37,-3649.32,1164.74,1164.74,BB Spread,[],,,
PXD,LONG,2012-04-02,111.81,1031,No-Exit,0,0,2012-04-02,112.93,1154.2,2012-04-04,110.33,-1524.05,1154.2,1154.2,BB Spread,[],,,
JNJ,LONG,2012-06-14,60.1,1914,No-Exit,0,0,2012-06-14,60.71,1162.32,2012-06-25,61.48,2638.86,1162.32,2638.86,BB Spread,[],,,
GOOGL,LONG,2012-07-20,304.38,394,No-Exit,0,0,2012-07-23,307.38,1182.95,2012-07-25,303.47,-358.54,1182.95,1182.95,BB Spread,['WDC'],,,
AMZN,LONG,2012-08-27,247.07,503,No-Exit,0,0,No-Exit,0,0,2012-08-30,246.16,-457.73,-457.73,-457.73,BB Spread,[],,,
SBUX,LONG,2012-12-07,51.95,6,No-Exit,0,0,2012-12-07,52.47,3.13,2012-12-13,51.7,-1.5,3.13,3.13,BB Spread,[],,,
LYB,LONG,2012-12-06,49.16,127,No-Exit,0,0,2012-12-07,49.66,62.95,2012-12-13,50.74,200.66,62.95,200.66,BB Spread,[],,,
GOOGL,LONG,2012-11-29,346.63,360,No-Exit,0,0,2012-12-03,350.14,1264.03,2012-12-14,349.58,1063.8,1264.03,1264.03,BB Spread,[],,,
COG,LONG,2013-02-25,30.02,4163,No-Exit,0,0,2013-02-25,30.31,1213.23,2013-03-05,31.29,5286.78,1213.23,5286.78,BB Spread,[],,,
EBAY,LONG,2013-04-02,56.26,118,No-Exit,0,0,No-Exit,0,0,2013-04-05,54.73,-180.54,-180.54,-180.54,BB Spread,['AAPL'],,,
NFLX,LONG,2013-03-27,191.54,676,No-Exit,0,0,2013-03-27,193.44,1286.02,2013-05-02,212.28,14020.24,1286.02,14020.24,BB Spread,[],,,
EOG,LONG,2013-05-08,67.99,2099,No-Exit,0,0,2013-05-08,68.67,1436.17,2013-05-10,65.89,-4407.9,1436.17,1436.17,BB Spread,[],,,
AMT,LONG,2013-07-11,76.18,1864,No-Exit,0,0,No-Exit,0,0,2013-07-16,74.14,-3802.56,-3802.56,-3802.56,BB Spread,[],,,
PXD,LONG,2013-08-02,177.97,777,No-Exit,0,0,2013-08-02,179.78,1407.11,2013-08-08,175.06,-2261.07,1407.11,1407.11,BB Spread,[],,,
NFLX,LONG,2013-08-21,273.74,497,No-Exit,0,0,No-Exit,0,0,2013-08-22,269.75,-1983.03,-1983.03,-1983.03,BB Spread,['NOV'],,,
GOOGL,LONG,2013-10-21,507.83,265,No-Exit,0,0,2013-10-23,512.84,1326.33,2013-10-28,507.29,-143.1,1326.33,1326.33,BB Spread,[],,,
EXPE,LONG,2013-11-01,59,2279,No-Exit,0,0,2013-11-04,59.59,1354.78,2013-11-14,60.73,3942.67,1354.78,3942.67,BB Spread,['CRM'],,,
AAPL,LONG,2013-11-27,75.04,1865,No-Exit,0,0,2013-11-27,75.8,1424.66,2013-12-11,78.77,6957.77,1424.66,6957.77,BB Spread,[],,,
STZ,LONG,2014-01-09,77.7,1814,No-Exit,0,0,2014-01-10,78.48,1407.66,2014-01-22,79.06,2467.04,1407.66,2467.04,BB Spread,['AAPL'],,,
V,LONG,2014-01-21,232.64,55,No-Exit,0,0,No-Exit,0,0,2014-01-24,224.71,-436.17,-436.17,-436.17,BB Spread,[],,,
TRIP,LONG,2014-02-13,91.9,1674,No-Exit,0,0,2014-02-18,92.81,1526.52,2014-02-27,99.68,13023.72,1526.52,13023.72,BB Spread,[],,,
ISRG,LONG,2014-04-02,504.37,333,No-Exit,0,0,2014-04-02,509.56,1726.61,2014-04-08,484.8,-6516.81,1726.61,1726.61,BB Spread,[],,,
