Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Profit-Exit-Date,Profit-Exit-Price,Profit-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,Current-Pos
AAPL,LONG,2007-11-29,24.41,3892,No-Exit,0.0,0.0,2007-11-29,24.68,1053.00,2007-12-03,24.60,758.16,1053.00,[]
AAPL,LONG,2008-07-09,24.38,3936,2008-07-09,23.64,-2913.84,No-Exit,0.0,0.0,2008-07-10,23.64,-2913.84,-2913.84,[]
AAPL,LONG,2010-02-17,27.62,3374,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2010-02-19,27.31,-1063.47,-1063.47,[]
AAPL,LONG,2011-03-28,47.77,1932,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2011-03-29,46.94,-1607.86,-1607.86,[]
AAPL,SHORT,2011-06-07,45.70,1978,No-Exit,0.0,0.0,2011-06-07,45.43,-535.16,2011-07-01,46.13,-847.05,-535.16,[]
AAPL,LONG,2011-08-29,52.51,1726,No-Exit,0.0,0.0,2011-08-29,52.78,466.98,2011-08-31,52.84,558.04,466.98,[]
AAPL,SHORT,2011-09-30,52.37,1706,No-Exit,0.0,0.0,2011-09-30,52.10,-461.57,2011-10-11,53.22,-1449.78,-461.57,[]
AAPL,SHORT,2013-01-07,71.25,1234,2013-01-07,72.11,-1056.15,2013-01-07,70.98,-336.88,2013-01-08,72.24,-1214.46,-1056.15,[]
AAPL,LONG,2013-05-31,62.53,1403,No-Exit,0.0,0.0,2013-05-31,62.81,387.76,2013-06-03,61.55,-1378.54,387.76,[]
AAPL,LONG,2013-07-10,58.39,1477,No-Exit,0.0,0.0,2013-07-10,58.67,408.21,2013-07-12,59.10,1040.94,408.21,[]
AAPL,LONG,2014-01-23,77.19,1130,2014-01-23,76.93,-299.88,2014-01-23,77.47,316.21,2014-01-24,76.93,-299.88,-299.88,[]
AAPL,SHORT,2014-02-27,72.79,1195,2014-02-27,73.46,-803.31,No-Exit,0.0,0.0,2014-02-28,74.47,-2008.27,-803.31,[]
