Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Profit-Exit-Date,Profit-Exit-Price,Profit-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,Strategy,Current-Pos
EOG,LONG,2007-09-06,35.04,2711,No-Exit,0.0,0.0,2007-09-06,35.05,27.11,2007-09-10,34.48,-1522.09,27.11,BB 20 SMA Xover Mtm,[]
EOG,SHORT,2007-10-24,38.33,2440,No-Exit,0.0,0.0,2007-10-24,38.32,24.40,2007-10-25,40.02,-4135.56,24.40,BB 20 SMA Xover Mtm,[]
EOG,SHORT,2007-11-20,41.57,2156,No-Exit,0.0,0.0,2007-11-20,41.56,21.56,2007-11-26,42.08,-1088.56,21.56,BB 20 SMA Xover Mtm,[]
EOG,LONG,2007-12-06,43.05,2058,No-Exit,0.0,0.0,2007-12-06,43.06,20.58,2007-12-14,44.51,3018.37,20.58,BB 20 SMA Xover Mtm,[]
EOG,SHORT,2008-01-07,44.04,2076,No-Exit,0.0,0.0,2008-01-07,44.03,20.76,2008-01-14,44.95,-1898.50,20.76,BB 20 SMA Xover Mtm,[]
EOG,SHORT,2008-01-17,43.86,2044,No-Exit,0.0,0.0,2008-01-17,43.85,20.44,2008-01-24,42.14,3512.92,20.44,BB 20 SMA Xover Mtm,[]
EOG,LONG,2008-02-04,45.17,2058,No-Exit,0.0,0.0,2008-02-04,45.18,20.58,2008-02-06,44.29,-1820.82,20.58,BB 20 SMA Xover Mtm,[]
EOG,SHORT,2008-03-20,55.01,1629,No-Exit,0.0,0.0,2008-03-20,55.00,16.29,2008-03-25,57.39,-3885.16,16.29,BB 20 SMA Xover Mtm,[]
EOG,LONG,2008-03-27,60.81,1440,No-Exit,0.0,0.0,2008-03-27,60.82,14.40,2008-04-11,63.20,3439.94,14.40,BB 20 SMA Xover Mtm,[]
EOG,LONG,2008-05-06,66.93,1357,No-Exit,0.0,0.0,2008-05-06,66.94,13.57,2008-05-13,68.56,2208.25,13.57,BB 20 SMA Xover Mtm,[]
EOG,SHORT,2008-05-27,66.81,1391,No-Exit,0.0,0.0,2008-05-27,66.80,13.91,2008-06-05,63.98,3936.11,13.91,BB 20 SMA Xover Mtm,[]
EOG,LONG-SPY-NULL,2008-06-18,66.67,1450,No-Exit,0.0,0.0,2008-06-18,66.68,14.50,2008-06-20,64.81,-2682.57,0.0,BB 20 SMA Xover Mtm,[]
EOG,SHORT,2008-06-26,63.28,1487,No-Exit,0.0,0.0,2008-06-26,63.27,14.87,2008-06-30,66.92,-5411.49,14.87,BB 20 SMA Xover Mtm,[]
EOG,SHORT,2008-07-03,61.66,1443,No-Exit,0.0,0.0,2008-07-03,61.65,14.43,2008-07-14,58.84,4075.54,14.43,BB 20 SMA Xover Mtm,[]
EOG,LONG-SPY-NULL,2008-08-20,51.12,1841,No-Exit,0.0,0.0,2008-08-20,51.13,18.41,2008-08-25,51.70,1058.57,0.0,BB 20 SMA Xover Mtm,[]
EOG,SHORT,2008-09-03,47.48,1977,No-Exit,0.0,0.0,2008-09-03,47.47,19.77,2008-09-08,48.98,-2984.38,19.77,BB 20 SMA Xover Mtm,[]
EOG,LONG-SPY-NULL,2008-10-30,36.98,2483,No-Exit,0.0,0.0,2008-10-30,36.99,24.83,2008-11-06,38.97,4943.53,0.0,BB 20 SMA Xover Mtm,[]
EOG,LONG-SPY-NULL,2008-11-25,42.24,2266,No-Exit,0.0,0.0,2008-11-25,42.25,22.66,2008-11-28,41.57,-1519.47,0.0,BB 20 SMA Xover Mtm,[]
EOG,LONG,2009-01-05,35.55,2652,No-Exit,0.0,0.0,2009-01-05,35.56,26.52,2009-01-07,34.73,-2154.88,26.52,BB 20 SMA Xover Mtm,[]
EOG,SHORT,2009-01-12,32.73,2800,No-Exit,0.0,0.0,2009-01-12,32.72,28.00,2009-01-14,32.80,-196.00,28.00,BB 20 SMA Xover Mtm,[]
EOG,LONG-SPY-NULL,2009-01-26,33.85,2738,No-Exit,0.0,0.0,2009-01-26,33.86,27.38,2009-01-28,33.52,-912.58,0.0,BB 20 SMA Xover Mtm,[]
EOG,SHORT,2009-02-11,32.87,2774,No-Exit,0.0,0.0,2009-02-11,32.86,27.74,2009-03-04,24.73,22574.81,27.74,BB 20 SMA Xover Mtm,[]
EOG,LONG-SPY-NULL,2009-03-12,27.27,4130,No-Exit,0.0,0.0,2009-03-12,27.28,41.30,2009-03-20,30.69,14119.64,0.0,BB 20 SMA Xover Mtm,[]
EOG,SHORT-SPY-NULL,2009-03-31,28.05,4493,No-Exit,0.0,0.0,2009-03-31,28.04,44.93,2009-04-02,29.34,-5788.33,0.0,BB 20 SMA Xover Mtm,[]
EOG,LONG,2009-04-03,30.47,3956,No-Exit,0.0,0.0,2009-04-03,30.48,39.56,2009-04-07,29.67,-3151.55,39.56,BB 20 SMA Xover Mtm,[]
EOG,SHORT-SPY-NULL,2009-04-08,28.64,4096,No-Exit,0.0,0.0,2009-04-08,28.63,40.96,2009-04-09,30.51,-7639.04,0.0,BB 20 SMA Xover Mtm,[]
EOG,LONG,2009-04-13,30.98,3559,No-Exit,0.0,0.0,2009-04-13,30.99,35.59,2009-04-15,30.00,-3494.05,35.59,BB 20 SMA Xover Mtm,[]
EOG,LONG,2009-04-24,31.30,3523,No-Exit,0.0,0.0,2009-04-24,31.31,35.23,2009-04-28,30.77,-1867.19,35.23,BB 20 SMA Xover Mtm,[]
EOG,SHORT,2009-05-22,34.53,3046,No-Exit,0.0,0.0,2009-05-22,34.52,30.46,2009-05-28,34.98,-1371.00,30.46,BB 20 SMA Xover Mtm,[]
EOG,LONG,2009-05-29,36.73,2833,No-Exit,0.0,0.0,2009-05-29,36.74,28.33,2009-06-03,36.99,719.44,28.33,BB 20 SMA Xover Mtm,[]
EOG,SHORT,2009-06-18,36.26,2884,No-Exit,0.0,0.0,2009-06-18,36.25,28.84,2009-06-25,34.21,5903.98,28.84,BB 20 SMA Xover Mtm,[]
EOG,LONG,2009-07-16,33.57,3282,No-Exit,0.0,0.0,2009-07-16,33.58,32.82,2009-07-23,35.70,6982.78,32.82,BB 20 SMA Xover Mtm,[]
EOG,LONG,2009-08-24,38.28,3052,No-Exit,0.0,0.0,2009-08-24,38.29,30.52,2009-08-26,36.88,-4288.06,30.52,BB 20 SMA Xover Mtm,[]
EOG,LONG,2009-09-09,37.19,3031,No-Exit,0.0,0.0,2009-09-09,37.20,30.31,2009-09-21,40.16,8992.37,30.31,BB 20 SMA Xover Mtm,[]
EOG,SHORT-SPY-NULL,2009-11-20,43.03,2819,No-Exit,0.0,0.0,2009-11-20,43.02,28.19,2009-11-23,44.42,-3938.00,0.0,BB 20 SMA Xover Mtm,[]
EOG,LONG,2009-12-15,45.65,2575,No-Exit,0.0,0.0,2009-12-15,45.66,25.75,2009-12-29,49.49,9896.76,25.75,BB 20 SMA Xover Mtm,[]
EOG,SHORT-SPY-NULL,2010-01-13,47.23,2687,No-Exit,0.0,0.0,2010-01-13,47.22,26.87,2010-01-14,48.84,-4311.56,0.0,BB 20 SMA Xover Mtm,[]
EOG,LONG-SPY-NULL,2010-02-03,49.00,2507,No-Exit,0.0,0.0,2010-02-03,49.01,25.07,2010-02-05,46.45,-6393.23,0.0,BB 20 SMA Xover Mtm,[]
EOG,SHORT-SPY-NULL,2010-02-23,45.59,2561,No-Exit,0.0,0.0,2010-02-23,45.58,25.61,2010-02-25,46.16,-1457.08,0.0,BB 20 SMA Xover Mtm,[]
EOG,LONG,2010-02-26,47.08,2451,No-Exit,0.0,0.0,2010-02-26,47.09,24.51,2010-03-15,48.40,3250.03,24.51,BB 20 SMA Xover Mtm,[]
EOG,SHORT-SPY-NULL,2010-03-19,46.17,2566,No-Exit,0.0,0.0,2010-03-19,46.16,25.66,2010-03-24,46.58,-1029.99,0.0,BB 20 SMA Xover Mtm,[]
