Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Profit-Exit-Date,Profit-Exit-Price,Profit-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,Strategy,Current-Pos
GOOGL,SHORT,2007-11-12,328.67,289,No-Exit,0.0,0.0,2007-11-12,325.38,950.43,2007-11-14,336.64,-2304.73,950.43,BB 20 SMA Xover Mtm,[]
GOOGL,LONG-SPY-NULL,2007-11-29,349.59,265,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2007-12-03,341.89,-2040.84,0.0,BB 20 SMA Xover Mtm,[]
GOOGL,SHORT,2007-12-18,331.27,274,No-Exit,0.0,0.0,2007-12-18,327.90,923.60,2007-12-20,342.92,-3191.05,923.60,BB 20 SMA Xover Mtm,[]
GOOGL,SHORT,2008-01-02,342.28,256,No-Exit,0.0,0.0,2008-01-03,338.86,877.13,2008-01-14,326.60,4015.09,877.13,BB 20 SMA Xover Mtm,[]
GOOGL,SHORT,2008-03-31,216.85,422,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2008-04-01,225.92,-3827.88,-3827.88,BB 20 SMA Xover Mtm,[]
GOOGL,SHORT,2008-04-15,223.57,393,No-Exit,0.0,0.0,2008-04-16,221.35,873.05,2008-04-17,228.06,-1765.55,873.05,BB 20 SMA Xover Mtm,[]
GOOGL,SHORT,2008-05-22,272.25,317,No-Exit,0.0,0.0,2008-05-23,269.51,866.85,2008-05-27,278.58,-2008.91,866.85,BB 20 SMA Xover Mtm,[]
GOOGL,SHORT,2008-06-19,277.44,303,No-Exit,0.0,0.0,2008-06-20,274.70,829.98,2008-06-25,275.41,614.77,829.98,BB 20 SMA Xover Mtm,[]
GOOGL,LONG,2008-08-11,249.98,340,No-Exit,0.0,0.0,2008-08-11,252.48,851.43,2008-08-14,248.49,-507.65,851.43,BB 20 SMA Xover Mtm,[]
GOOGL,SHORT,2008-08-21,240.07,352,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2008-08-25,243.06,-1048.96,-1048.96,BB 20 SMA Xover Mtm,[]
GOOGL,LONG,2008-12-09,152.57,547,No-Exit,0.0,0.0,2008-12-09,154.10,836.83,2008-12-12,147.85,-2576.67,836.83,BB 20 SMA Xover Mtm,[]
GOOGL,SHORT,2009-01-15,148.78,544,No-Exit,0.0,0.0,2009-01-15,147.30,809.39,2009-01-22,150.98,-1196.12,809.39,BB 20 SMA Xover Mtm,[]
GOOGL,SHORT,2009-02-20,169.03,471,No-Exit,0.0,0.0,2009-02-23,167.29,817.19,2009-02-25,175.15,-2885.02,817.19,BB 20 SMA Xover Mtm,[]
GOOGL,LONG,2009-03-18,169.35,455,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2009-03-20,164.88,-2030.30,-2030.30,BB 20 SMA Xover Mtm,[]
GOOGL,LONG,2009-05-19,200.40,375,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2009-05-22,196.60,-1425.04,-1425.04,BB 20 SMA Xover Mtm,[]
GOOGL,LONG,2009-08-21,232.77,317,No-Exit,0.0,0.0,2009-08-25,235.12,743.57,2009-08-27,232.21,-178.11,743.57,BB 20 SMA Xover Mtm,[]
GOOGL,LONG,2009-09-08,232.96,316,No-Exit,0.0,0.0,2009-09-10,235.29,737.31,2009-09-24,247.03,4448.71,737.31,BB 20 SMA Xover Mtm,[]
GOOGL,SHORT,2009-11-03,264.33,295,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2009-11-04,271.21,-2031.05,-2031.05,BB 20 SMA Xover Mtm,[]
GOOGL,LONG,2010-03-03,273.24,278,No-Exit,0.0,0.0,2010-03-05,276.04,780.28,2010-03-15,283.34,2809.11,780.28,BB 20 SMA Xover Mtm,[]
GOOGL,SHORT,2010-06-08,240.33,327,No-Exit,0.0,0.0,2010-06-09,237.90,796.60,2010-06-14,247.24,-2258.79,796.60,BB 20 SMA Xover Mtm,[]
GOOGL,SHORT,2010-08-16,240.74,318,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2010-08-17,246.93,-1967.94,-1967.94,BB 20 SMA Xover Mtm,[]
GOOGL,LONG,2010-09-09,238.91,314,No-Exit,0.0,0.0,2010-09-13,241.32,755.01,2010-09-30,260.95,6918.72,755.01,BB 20 SMA Xover Mtm,[]
GOOGL,LONG,2011-07-01,255.72,317,No-Exit,0.0,0.0,2011-07-01,258.33,825.83,2011-07-08,264.07,2647.36,825.83,BB 20 SMA Xover Mtm,[]
GOOGL,SHORT,2011-08-05,285.87,293,No-Exit,0.0,0.0,2011-08-05,282.96,853.43,2011-08-12,284.75,328.86,853.43,BB 20 SMA Xover Mtm,[]
GOOGL,SHORT,2011-09-12,259.80,323,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2011-09-14,267.71,-2554.88,-2554.88,BB 20 SMA Xover Mtm,[]
GOOGL,SHORT,2011-09-23,257.73,316,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2011-09-26,265.73,-2528.51,-2528.51,BB 20 SMA Xover Mtm,[]
GOOGL,SHORT,2011-11-21,293.88,269,No-Exit,0.0,0.0,2011-11-21,290.94,790.54,2011-11-28,290.53,902.35,790.54,BB 20 SMA Xover Mtm,[]
