Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Profit-Exit-Date,Profit-Exit-Price,Profit-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,Strategy,Current-Pos,
PCLN,LONG,2010-08-05,284.28,302,No-Exit,0,0,2010-08-05,287.21,883.86,2014-12-31,1150.93,261728.3,883.86,BB Spread,['AMZN'],
QCOM,SHORT,2010-01-29,39.81,2199,No-Exit,0,0,2010-01-29,39.4,897.85,2010-02-12,38.58,2704.77,897.85,BB Spread,[],
GOOGL,SHORT,2008-07-21,239,374,2008-07-21,240.22,-456.28,2008-07-21,236.6,898.42,2008-07-22,233.5,2057,-456.28,BB Spread,[],
AAPL,SHORT,2007-11-12,23.42,4056,2007-11-12,23.61,-776.43,2007-11-12,23.18,957.68,2007-11-13,22.98,1790.43,-776.43,BB Spread,[],
GOOGL,SHORT,2008-03-04,225.47,459,2008-03-04,225.47,0,2008-03-04,223.22,1034.93,2008-03-05,222.62,1308.15,1034.93,BB Spread,['AAPL'],
GOOGL,SHORT,2010-08-20,233.53,18,No-Exit,0,0,2010-08-20,231.19,42.12,2010-09-01,229.89,65.52,42.12,BB Spread,['PCLN'],
NFLX,LONG,2012-01-05,81.17,2,No-Exit,0,0,2012-01-09,82.07,1.79,2012-04-24,86.52,10.7,1.79,BB Spread,['AAPL', 'PCLN']
JNJ,LONG,2012-06-14,64.78,3,No-Exit,0,0,2012-06-14,65.43,1.96,2012-07-06,67.51,8.19,1.96,BB Spread,['PCLN', 'AAPL']
AAPL,LONG,2013-11-27,76.62,2,No-Exit,0,0,2013-11-27,77.4,1.56,2013-12-11,80.04,6.84,1.56,BB Spread,['PCLN', 'AAPL']
CRM,LONG-SPY-NULL,2010-11-22,34.38,5,No-Exit,0,0,2010-11-22,34.73,1.75,2010-12-06,35.39,5.05,0,BB Spread,['AAPL', 'PCLN']
AAPL,SHORT,2013-01-15,71.19,2,No-Exit,0,0,2013-01-15,70.47,1.42,2013-01-16,71.99,-1.61,1.42,BB Spread,['PCLN', 'AAPL']
AAPL,SHORT,2014-01-29,71.99,2,No-Exit,0,0,2014-01-29,71.27,1.44,2014-02-05,72.86,-1.73,1.44,BB Spread,['PCLN', 'AAPL']
FFIV,SHORT,2013-04-08,72.38,2,No-Exit,0,0,No-Exit,0,0,2013-04-11,73.93,-3.1,-3.1,BB Spread,['PCLN', 'AAPL']
EOG,LONG,2013-05-08,68.51,2,No-Exit,0,0,2013-05-08,69.2,1.38,2013-05-10,66.39,-4.24,1.38,BB Spread,['PCLN', 'AAPL']
AAPL,SHORT,2014-12-15,109.38,2,2014-12-15,111.46,-4.16,2014-12-15,108.27,2.21,2014-12-18,111.87,-4.98,-4.16,BB Spread,['PCLN', 'AMZN']
AGN,LONG,2014-11-19,269.86,1,No-Exit,0,0,No-Exit,0,0,2014-11-20,264.58,-5.28,-5.28,BB Spread,['PCLN', 'AMZN']
AAPL,SHORT,2012-10-02,93.07,2,No-Exit,0,0,No-Exit,0,0,2012-10-04,96.11,-6.08,-6.08,BB Spread,['PCLN', 'AAPL']
CMI,SHORT,2012-07-11,84.88,2,No-Exit,0,0,2012-07-11,84.02,1.72,2012-07-18,88.3,-6.84,1.72,BB Spread,['PCLN', 'AAPL']
FSLR,SHORT,2013-06-13,45.43,3,No-Exit,0,0,2013-06-14,44.96,1.4,2013-07-12,48.11,-8.04,1.4,BB Spread,['PCLN', 'AAPL']
NFLX,SHORT,2012-09-05,54.33,3,No-Exit,0,0,No-Exit,0,0,2012-09-07,57.31,-8.94,-8.94,BB Spread,['PCLN', 'AAPL']
NFLX,SHORT-SPY-NULL,2012-07-26,59,3,No-Exit,0,0,2012-07-26,58.41,1.78,2012-08-14,62.24,-9.72,0,BB Spread,['PCLN', 'AAPL']
VRTX,LONG,2011-04-27,54.16,3,No-Exit,0,0,2011-04-27,54.72,1.67,2011-06-09,50.25,-11.73,1.67,BB Spread,['AAPL', 'PCLN']
AAPL,SHORT,2010-08-16,35.3,125,No-Exit,0,0,No-Exit,0,0,2010-08-17,36.13,-103.75,-103.75,BB Spread,['PCLN'],
AMZN,LONG,2014-07-14,347.2,4,No-Exit,0,0,2014-07-14,350.75,14.21,2014-12-31,311.55,-142.6,14.21,BB Spread,[],
AAPL,LONG,2010-04-22,37.13,2427,2010-04-22,36.79,-825.18,2010-04-22,37.51,923.89,2010-04-28,36.79,-825.18,-825.18,BB Spread,[],
PCLN,LONG,2008-02-19,124.73,846,No-Exit,0,0,No-Exit,0,0,2008-02-20,121.99,-2318.04,-2318.04,BB Spread,['AAPL'],
AAPL,SHORT,2008-06-23,24.63,3739,No-Exit,0,0,No-Exit,0,0,2008-06-25,25.36,-2729.47,-2729.47,BB Spread,[],
AAPL,LONG,2010-09-09,37.86,116,No-Exit,0,0,2010-09-13,38.24,44.05,2014-06-09,13.24,-2855.92,44.05,BB Spread,['PCLN'],
AAPL,SHORT,2010-05-20,34.45,2593,No-Exit,0,0,2010-05-20,34.1,895.99,2010-05-24,35.82,-3552.41,895.99,BB Spread,[],
AAPL,SHORT,2008-01-07,25.53,3787,No-Exit,0,0,2008-01-07,25.27,980.56,2008-05-06,26.54,-3824.87,980.56,BB Spread,[],
AAPL,LONG,2009-12-28,30.25,3055,No-Exit,0,0,2009-12-28,30.55,923.53,2010-01-22,28.9,-4111.16,923.53,BB Spread,[],
