Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Profit-Exit-Date,Profit-Exit-Price,Profit-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,Strategy,Current-Pos
AAPL,SHORT,2007-11-09,23.15,404,No-Exit,0.0,0.0,2007-11-09,22.92,93.54,2007-11-30,25.34,-884.82,93.54,EMA 10 Xover Mtm,[]
AAPL,SHORT,2007-12-18,24.70,381,No-Exit,0.0,0.0,2007-12-18,24.44,96.13,2007-12-21,25.72,-389.85,96.13,EMA 10 Xover Mtm,['AAPL']
AAPL,LONG,2007-12-21,25.72,359,No-Exit,0.0,0.0,2007-12-21,25.98,94.17,2008-01-04,24.94,-279.76,94.17,EMA 10 Xover Mtm,[]
AAPL,LONG,2008-02-28,17.21,561,No-Exit,0.0,0.0,2008-02-28,17.38,98.59,2008-03-03,16.45,-422.83,98.59,EMA 10 Xover Mtm,['AAPL']
AAPL,SHORT,2008-01-07,24.11,387,No-Exit,0.0,0.0,2008-01-07,23.87,94.89,2008-04-08,20.77,1293.08,94.89,EMA 10 Xover Mtm,['AAPL']
AAPL,LONG,2008-03-12,17.40,538,No-Exit,0.0,0.0,2008-03-14,17.58,94.53,2008-06-11,24.94,4054.99,94.53,EMA 10 Xover Mtm,[]
AAPL,LONG,2008-07-02,23.87,411,2008-07-02,23.24,-256.37,No-Exit,0.0,0.0,2008-07-03,22.94,-380.12,-256.37,EMA 10 Xover Mtm,[]
AAPL,LONG,2008-07-08,23.93,408,No-Exit,0.0,0.0,2008-07-08,24.18,99.10,2008-07-15,23.12,-329.91,99.10,EMA 10 Xover Mtm,[]
AAPL,LONG,2008-08-06,21.95,444,No-Exit,0.0,0.0,2008-08-06,22.17,98.62,2008-09-05,21.37,-258.64,98.62,EMA 10 Xover Mtm,[]
AAPL,LONG,2008-10-14,15.73,645,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2008-10-15,13.72,-1293.40,-1293.40,EMA 10 Xover Mtm,[]
AAPL,SHORT,2008-10-16,13.12,732,2008-10-16,13.92,-588.49,2008-10-16,12.98,98.80,2008-10-29,13.92,-588.49,-588.49,EMA 10 Xover Mtm,['AAPL']
AAPL,LONG,2008-10-29,13.65,674,No-Exit,0.0,0.0,2008-10-29,13.79,95.33,2008-11-07,13.06,-397.06,95.33,EMA 10 Xover Mtm,['AAPL']
AAPL,LONG,2008-11-25,12.80,729,2008-11-25,12.01,-574.65,No-Exit,0.0,0.0,2008-12-02,12.01,-574.65,-574.65,EMA 10 Xover Mtm,['AAPL']
AAPL,LONG,2009-01-05,12.60,744,No-Exit,0.0,0.0,2009-01-05,12.73,95.19,2009-01-13,11.81,-593.92,95.19,EMA 10 Xover Mtm,['AAPL']
AAPL,SHORT,2008-11-06,13.67,627,No-Exit,0.0,0.0,2008-11-06,13.53,85.71,2009-02-05,12.55,702.30,85.71,EMA 10 Xover Mtm,['AAPL']
AAPL,LONG,2009-01-23,12.07,761,No-Exit,0.0,0.0,2009-01-27,12.19,92.85,2009-03-06,11.45,-473.53,92.85,EMA 10 Xover Mtm,['AAPL']
AAPL,SHORT,2009-02-18,12.66,678,No-Exit,0.0,0.0,2009-02-19,12.53,85.64,2009-03-17,13.18,-353.42,85.64,EMA 10 Xover Mtm,['AAPL']
AAPL,SHORT,2009-05-13,16.66,511,No-Exit,0.0,0.0,2009-05-13,16.50,85.17,2009-05-19,17.45,-402.59,85.17,EMA 10 Xover Mtm,['AAPL']
AAPL,SHORT,2009-05-22,16.63,509,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2009-05-26,17.14,-259.96,-259.96,EMA 10 Xover Mtm,['AAPL']
AAPL,LONG,2009-03-11,12.16,753,No-Exit,0.0,0.0,2009-03-11,12.29,94.41,2009-06-10,19.25,5335.62,94.41,EMA 10 Xover Mtm,[]
AAPL,SHORT,2009-06-15,18.34,536,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2009-06-22,19.03,-367.60,-367.60,EMA 10 Xover Mtm,[]
AAPL,LONG,2009-06-22,19.06,500,2009-06-22,18.45,-302.97,No-Exit,0.0,0.0,2009-06-23,18.45,-302.97,-302.97,EMA 10 Xover Mtm,[]
AAPL,LONG,2009-06-26,19.11,511,No-Exit,0.0,0.0,2009-06-26,19.30,98.46,2009-07-07,18.40,-361.26,98.46,EMA 10 Xover Mtm,['AAPL']
AAPL,SHORT,2009-07-06,18.75,471,No-Exit,0.0,0.0,2009-07-06,18.56,88.37,2009-07-13,19.15,-188.21,88.37,EMA 10 Xover Mtm,['AAPL']
