Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Profit-Exit-Date,Profit-Exit-Price,Profit-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,Current-Pos
AAPL,SHORT,2007-11-12,22.18,214,2007-11-12,22.36,-39.21,2007-11-12,21.90,57.90,2007-11-13,21.76,89.03,-39.21,[]
AAPL,LONG,2007-12-07,25.81,184,No-Exit,0.0,0.0,2007-12-07,26.08,49.78,2007-12-11,26.12,57.50,49.78,[]
AAPL,SHORT,2008-01-07,24.17,196,No-Exit,0.0,0.0,2008-01-07,23.90,53.03,2008-01-10,24.34,-32.08,53.03,[]
AAPL,LONG,2008-03-18,17.58,270,No-Exit,0.0,0.0,2008-03-18,17.85,73.05,2008-04-08,20.77,862.60,73.05,[]
AAPL,SHORT,2008-06-23,23.32,205,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2008-06-25,23.61,-58.39,-58.39,[]
AAPL,LONG,2008-08-13,24.11,198,No-Exit,0.0,0.0,2008-08-14,24.38,53.57,2008-08-19,23.34,-152.41,53.57,[]
AAPL,SHORT,2008-09-05,21.45,220,No-Exit,0.0,0.0,2008-09-08,21.18,59.52,2008-09-19,19.29,475.88,59.52,[]
AAPL,LONG,2008-12-09,13.63,352,No-Exit,0.0,0.0,2008-12-09,13.90,95.24,2008-12-10,13.08,-194.33,95.24,[]
AAPL,SHORT,2009-12-07,26.12,183,2009-12-07,26.15,-5.94,2009-12-07,25.85,49.51,2009-12-08,25.62,92.09,-5.94,[]
AAPL,LONG,2009-12-28,28.64,169,No-Exit,0.0,0.0,2009-12-28,28.91,45.72,2010-01-06,28.92,46.52,45.72,[]
AAPL,LONG,2010-03-01,27.89,172,No-Exit,0.0,0.0,2010-03-01,28.16,46.54,2010-03-03,28.17,47.34,46.54,[]
AAPL,LONG,2010-04-22,35.16,136,2010-04-22,34.84,-43.79,2010-04-22,35.43,36.80,2010-04-27,36.16,134.95,-43.79,[]
AAPL,SHORT,2010-05-20,32.62,147,No-Exit,0.0,0.0,2010-05-20,32.35,39.77,2010-05-24,33.45,-122.32,39.77,[]
AAPL,SHORT,2010-08-16,33.43,143,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2010-08-17,33.83,-56.98,-56.98,[]
AAPL,LONG,2011-01-04,44.97,109,No-Exit,0.0,0.0,2011-01-06,45.24,29.49,2011-01-14,46.61,178.34,29.49,[]
AAPL,SHORT,2011-04-15,44.25,108,No-Exit,0.0,0.0,2011-04-18,43.98,29.22,2011-04-19,45.46,-130.13,29.22,[]
AAPL,SHORT,2011-05-20,45.40,105,No-Exit,0.0,0.0,2011-05-23,45.13,28.41,2011-05-24,45.39,1.76,28.41,[]
AAPL,SHORT,2011-10-05,49.73,96,2011-10-05,50.84,-106.74,2011-10-05,49.46,25.97,2011-10-06,50.84,-106.74,-106.74,[]
AAPL,SHORT,2011-11-17,51.46,93,No-Exit,0.0,0.0,2011-11-17,51.18,25.16,2011-11-28,50.37,100.89,25.16,[]
AAPL,SHORT,2012-04-20,78.82,61,No-Exit,0.0,0.0,2012-04-20,78.55,16.50,2012-04-24,76.11,165.61,16.50,[]
AAPL,SHORT,2012-10-02,88.51,54,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2012-10-04,91.30,-150.78,-150.78,[]
AAPL,SHORT,2013-01-15,68.02,70,No-Exit,0.0,0.0,2013-01-15,67.74,19.11,2013-01-16,68.79,-53.79,19.11,[]
AAPL,SHORT,2013-06-13,59.28,81,No-Exit,0.0,0.0,2013-06-19,59.01,22.39,2013-06-28,55.26,326.12,22.39,[]
AAPL,LONG,2013-11-27,75.04,65,No-Exit,0.0,0.0,2013-11-27,75.32,18.19,2013-12-11,78.77,242.33,18.19,[]
AAPL,SHORT,2014-01-29,70.51,68,No-Exit,0.0,0.0,2014-01-29,70.23,19.03,2014-02-05,71.28,-52.00,19.03,[]
AAPL,SHORT,2014-04-08,73.58,65,No-Exit,0.0,0.0,2014-04-08,73.30,18.30,2014-04-09,74.50,-59.37,18.30,[]
