Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Profit-Exit-Date,Profit-Exit-Price,Profit-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,Strategy,Current-Pos
GOOGL,SHORT,2008-01-07,326.97,290,2008-01-07,326.97,-0.00,2008-01-07,323.70,948.21,2008-01-08,326.50,136.30,948.21,BB Spread,[]
GOOGL,SHORT,2008-03-04,225.47,417,2008-03-04,225.47,-0.00,2008-03-04,223.22,940.23,2008-03-05,222.62,1188.45,940.23,BB Spread,[]
GOOGL,LONG,2008-04-02,234.95,412,No-Exit,0.0,0.0,2008-04-02,237.28,959.34,2008-04-09,233.59,-559.29,959.34,BB Spread,[]
GOOGL,SHORT,2008-07-21,239.00,400,2008-07-21,240.22,-490.00,2008-07-21,236.59,960.88,2008-07-22,233.50,2198.00,-490.00,BB Spread,[]
GOOGL,SHORT,2008-09-04,228.85,427,No-Exit,0.0,0.0,2008-09-04,226.55,982.10,2008-09-12,217.19,4978.16,982.10,BB Spread,[]
GOOGL,SHORT-SPY-NULL,2008-11-10,162.01,632,No-Exit,0.0,0.0,2008-11-10,160.37,1036.48,2008-11-18,151.81,6443.18,0.0,BB Spread,[]
GOOGL,LONG,2010-06-17,252.88,429,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2010-06-21,249.70,-1364.69,-1364.69,BB Spread,[]
GOOGL,SHORT,2010-06-25,236.12,454,No-Exit,0.0,0.0,2010-06-29,233.81,1052.01,2010-07-08,226.78,4244.04,1052.01,BB Spread,[]
GOOGL,SHORT,2010-08-20,233.53,477,No-Exit,0.0,0.0,2010-08-20,231.19,1116.11,2010-09-01,227.49,2878.69,1116.11,BB Spread,[]
GOOGL,LONG,2010-09-20,246.25,464,No-Exit,0.0,0.0,2010-09-20,248.79,1179.21,2010-09-28,264.11,8287.76,1179.21,BB Spread,[]
GOOGL,LONG,2010-10-18,300.92,405,No-Exit,0.0,0.0,2010-10-18,304.01,1250.86,2010-10-22,305.44,1831.61,1250.86,BB Spread,[]
GOOGL,SHORT,2011-05-17,257.71,479,2011-05-17,263.78,-2905.13,No-Exit,0.0,0.0,2011-05-19,266.37,-4143.35,-2905.13,BB Spread,[]
GOOGL,SHORT,2011-05-23,258.30,459,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2011-05-26,260.15,-848.00,-848.00,BB Spread,[]
GOOGL,LONG,2011-07-06,267.06,445,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2011-07-08,266.48,-260.33,-260.33,BB Spread,[]
GOOGL,SHORT,2011-09-23,258.20,459,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2011-09-26,263.62,-2490.91,-2490.91,BB Spread,[]
GOOGL,LONG,2011-11-14,306.30,379,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2011-11-17,305.02,-483.39,-483.39,BB Spread,[]
GOOGL,SHORT,2011-11-22,287.88,402,No-Exit,0.0,0.0,2011-11-25,285.05,1136.03,2011-11-29,294.41,-2625.37,1136.03,BB Spread,[]
GOOGL,LONG,2012-07-20,304.38,380,No-Exit,0.0,0.0,2012-07-24,307.45,1168.50,2012-07-25,303.47,-344.85,1168.50,BB Spread,[]
GOOGL,LONG,2012-11-29,346.63,326,No-Exit,0.0,0.0,2012-12-03,350.14,1144.65,2012-12-14,349.58,962.66,1144.65,BB Spread,[]
GOOGL,SHORT,2013-10-04,435.26,261,No-Exit,0.0,0.0,2013-10-08,430.94,1129.24,2013-10-11,434.43,216.47,1129.24,BB Spread,[]
GOOGL,LONG,2013-10-21,507.83,224,No-Exit,0.0,0.0,2013-10-23,512.84,1121.12,2013-10-28,507.29,-121.52,1121.12,BB Spread,[]
GOOGL,LONG,2014-05-22,552.20,207,No-Exit,0.0,0.0,2014-05-22,557.75,1149.78,2014-06-02,565.92,2840.76,1149.78,BB Spread,[]
GOOGL,LONG,2014-06-26,589.30,198,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2014-07-03,590.15,169.29,169.29,BB Spread,[]
GOOGL,LONG,2014-09-19,601.30,194,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2014-09-22,593.80,-1454.70,-1454.70,BB Spread,[]
GOOGL,SHORT,2014-10-08,573.90,201,No-Exit,0.0,0.0,2014-10-08,568.15,1155.33,2014-10-16,527.00,9426.90,1155.33,BB Spread,[]
