Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Profit-Exit-Date,Profit-Exit-Price,Profit-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,Strategy,Current-Pos
L_VOD,SHORT,2008-01-17,102.83,92,2008-01-17,103.79,-87.90,No-Exit,0.0,0.0,2008-01-18,103.65,-75.21,-87.90,BB Spread,[]
L_VOD,LONG,2008-04-03,91.07,104,No-Exit,0.0,0.0,2008-04-04,91.98,94.81,2008-04-09,89.95,-115.62,94.81,BB Spread,[]
L_VOD,LONG,2008-07-09,89.75,105,2008-07-09,87.09,-279.03,No-Exit,0.0,0.0,2008-07-10,87.09,-279.03,-279.03,BB Spread,[]
L_VOD,LONG,2008-11-13,70.99,133,No-Exit,0.0,0.0,2008-11-14,71.70,95.19,2008-11-20,65.97,-666.98,95.19,BB Spread,[]
L_VOD,SHORT,2009-01-23,72.12,130,No-Exit,0.0,0.0,2009-01-23,71.38,95.78,2009-01-26,74.12,-260.52,95.78,BB Spread,[]
L_VOD,LONG,2009-02-09,80.38,116,2009-02-09,77.29,-358.54,2009-02-09,81.16,90.71,2009-02-11,75.67,-546.23,-358.54,BB Spread,[]
L_VOD,LONG,2009-06-18,68.24,136,No-Exit,0.0,0.0,2009-06-18,68.94,94.21,2009-06-23,67.09,-156.46,94.21,BB Spread,[]
L_VOD,SHORT,2009-07-10,63.53,146,No-Exit,0.0,0.0,2009-07-10,62.89,93.95,2009-07-16,65.70,-317.15,93.95,BB Spread,[]
L_VOD,LONG,2009-07-31,70.01,132,No-Exit,0.0,0.0,2009-08-03,70.71,92.41,2009-08-11,70.73,95.44,92.41,BB Spread,[]
L_VOD,SHORT,2009-10-08,77.47,119,No-Exit,0.0,0.0,2009-10-08,76.69,93.36,2009-10-16,77.83,-42.62,93.36,BB Spread,[]
L_VOD,LONG,2010-02-05,79.62,116,No-Exit,0.0,0.0,2010-02-05,80.41,91.83,2010-02-09,78.45,-135.41,91.83,BB Spread,[]
L_VOD,SHORT,2010-04-28,81.07,114,No-Exit,0.0,0.0,2010-04-28,80.26,92.48,2010-04-30,82.61,-175.10,92.48,BB Spread,[]
L_VOD,LONG,2010-12-20,97.22,95,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2010-12-22,96.38,-80.01,-80.01,BB Spread,[]
L_VOD,SHORT,2011-06-02,91.99,97,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2011-06-03,93.41,-138.22,-138.22,BB Spread,[]
L_VOD,LONG,2011-06-30,94.52,97,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2011-07-01,93.71,-78.76,-78.76,BB Spread,[]
L_VOD,SHORT,2011-07-15,90.42,101,No-Exit,0.0,0.0,2011-07-18,89.52,91.19,2011-07-21,91.70,-129.28,91.19,BB Spread,[]
L_VOD,SHORT,2012-03-01,96.71,91,No-Exit,0.0,0.0,2012-03-12,95.75,87.05,2012-03-13,97.27,-50.60,87.05,BB Spread,[]
L_VOD,LONG,2012-03-23,99.19,92,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2012-03-29,98.48,-64.81,-64.81,BB Spread,[]
L_VOD,LONG,2014-04-30,223.45,41,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2014-05-01,218.00,-223.45,-223.45,BB Spread,[]
L_VOD,SHORT,2014-05-21,202.20,40,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2014-05-28,209.03,-273.00,-273.00,BB Spread,[]
L_VOD,SHORT,2014-10-10,195.05,44,No-Exit,0.0,0.0,2014-10-13,193.13,84.63,2014-10-20,190.90,182.60,84.63,BB Spread,[]
