Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Profit-Exit-Date,Profit-Exit-Price,Profit-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,Current-Pos
WHR,LONG,2009-08-07,51.73,1847,No-Exit,0,0,2009-08-07,53.49,3254.68,2009-08-11,51.44,-537.02,3254.68,[]
WHR,LONG,2009-10-13,63.55,1486,No-Exit,0,0,No-Exit,0,0,2009-10-19,64.25,1035.91,1035.91,[]
WHR,LONG,2010-09-29,72.52,1316,No-Exit,0,0,2010-09-30,74.33,2384.35,2010-10-04,72.24,-373.25,2384.35,[]
WHR,LONG,2011-01-28,83.4,1140,No-Exit,0,0,No-Exit,0,0,2011-01-31,80.47,-3334.25,-3334.25,[]
WHR,LONG,2011-03-31,77.37,1188,No-Exit,0,0,2011-03-31,79.21,2176.38,2011-04-07,77.12,-304.69,2176.38,[]
WHR,LONG,2011-08-30,58.14,1576,2011-08-30,56.35,-2816.43,No-Exit,0,0,2011-09-01,57.98,-243.55,-2816.43,[]
WHR,LONG,2011-10-07,51.88,1762,2011-10-07,49.75,-3749.87,No-Exit,0,0,2011-10-17,53.31,2521.74,-3749.87,[]
WHR,LONG,2012-12-18,99.04,947,2012-12-18,95.88,-2993.07,No-Exit,0,0,2012-12-20,97.95,-1031.15,-2993.07,[]
WHR,LONG,2013-01-03,103.5,897,No-Exit,0,0,No-Exit,0,0,2013-01-07,101.06,-2183.9,-2183.9,[]
WHR,LONG,2013-02-28,107.87,841,No-Exit,0,0,2013-02-28,109.79,1620.76,2013-03-14,113.86,5039.24,1620.76,[]
WHR,LONG,2014-08-19,149.85,637,No-Exit,0,0,2014-08-19,151.83,1262.5,2014-08-21,150.4,350.72,1262.5,[]
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,6,
