Period,Period#,# of trades,winning trades,winning percent,PorL,StrategyReturn,MarketReturn,# of long trades,long winning trades,long winning percent,# of short trades,short winning trades,short winning percent
01/01/2007--06/24/2008,1,15.0,10.0,66.66666666666666,29712.530000000002,29.712530000000005,-7.200962014571696,8.0,3.0,37.5,7.0,7.0,100.0
01/31/2007--07/24/2008,2,15.0,10.0,66.66666666666666,29712.530000000002,29.712530000000005,-12.688695652173909,8.0,3.0,37.5,7.0,7.0,100.0
03/02/2007--08/23/2008,3,15.0,10.0,66.66666666666666,29712.530000000002,29.712530000000005,-6.60561044205668,8.0,3.0,37.5,7.0,7.0,100.0
04/01/2007--09/22/2008,4,17.0,10.0,58.82352941176471,20785.49,20.78549,-14.786156443444003,8.0,3.0,37.5,9.0,7.0,77.77777777777779
05/01/2007--10/22/2008,5,17.0,10.0,58.82352941176471,20785.49,20.78549,-39.0932938723347,8.0,3.0,37.5,9.0,7.0,77.77777777777779
05/31/2007--11/21/2008,6,19.0,10.0,52.63157894736842,15866.820000000002,15.86682,-48.13462040177407,10.0,3.0,30.0,9.0,7.0,77.77777777777779
06/30/2007--12/21/2008,7,19.0,10.0,52.63157894736842,22332.36,22.33236,-41.89999341195072,10.0,3.0,30.0,9.0,7.0,77.77777777777779
07/30/2007--01/20/2009,8,21.0,11.0,52.38095238095239,24267.93,24.26793,-45.33179535893609,11.0,4.0,36.36363636363637,10.0,7.0,70.0
08/29/2007--02/19/2009,9,24.0,13.0,54.166666666666664,37003.229999999996,37.003229999999995,-46.64869660161048,11.0,4.0,36.36363636363637,13.0,9.0,69.23076923076923
09/28/2007--03/21/2009,10,22.0,11.0,50.0,37003.229999999996,37.003229999999995,-49.72473456547386,11.0,4.0,36.36363636363637,11.0,7.0,63.63636363636363
10/28/2007--04/20/2009,11,21.0,10.0,47.61904761904761,26201.11,26.20111,-45.8703691688834,10.0,3.0,30.0,11.0,7.0,63.63636363636363
11/27/2007--05/20/2009,12,21.0,10.0,47.61904761904761,26201.11,26.20111,-36.515395945851154,10.0,3.0,30.0,11.0,7.0,63.63636363636363
12/27/2007--06/19/2009,13,18.0,7.0,38.88888888888889,26201.11,26.20111,-37.671835850206534,10.0,3.0,30.0,8.0,4.0,50.0
01/26/2008--07/19/2009,14,19.0,7.0,36.84210526315789,2740.1100000000006,2.7401100000000005,-30.397811298432426,11.0,3.0,27.27272727272727,8.0,4.0,50.0
02/25/2008--08/18/2009,15,17.0,6.0,35.294117647058826,146.4399999999987,0.14643999999999868,-27.84533605184592,10.0,3.0,30.0,7.0,3.0,42.857142857142854
03/26/2008--09/17/2009,16,16.0,5.0,31.25,4551.199999999999,4.551199999999999,-19.93243243243242,9.0,2.0,22.22222222222222,7.0,3.0,42.857142857142854
04/25/2008--10/17/2009,17,15.0,5.0,33.33333333333333,-1636.1000000000022,-1.636100000000002,-21.99856733524355,8.0,2.0,25.0,7.0,3.0,42.857142857142854
05/25/2008--11/16/2009,18,10.0,3.0,30.0,3252.84,3.25284,-19.796624837732583,4.0,1.0,25.0,6.0,2.0,33.33333333333333
