Period,Period#,# of trades,winning trades,winning percent,PorL,StrategyReturn,MarketReturn,# of long trades,long winning trades,long winning percent,# of short trades,short winning trades,short winning percent
01/01/2007--06/24/2008,1,72.0,38.0,52.77777777777778,-21146.200000000004,-21.146200000000004,-7.200962014571696,34.0,17.0,50.0,38.0,21.0,55.26315789473685
01/31/2007--07/24/2008,2,79.0,44.0,55.69620253164557,-26870.24,-26.870240000000003,-12.688695652173909,33.0,17.0,51.515151515151516,46.0,27.0,58.69565217391305
03/02/2007--08/23/2008,3,79.0,43.0,54.43037974683544,-2416.470000000002,-2.416470000000002,-6.60561044205668,34.0,17.0,50.0,45.0,26.0,57.77777777777777
04/01/2007--09/22/2008,4,87.0,45.0,51.724137931034484,-4080.270000000002,-4.080270000000001,-14.786156443444003,34.0,17.0,50.0,53.0,28.0,52.83018867924528
05/01/2007--10/22/2008,5,89.0,45.0,50.56179775280899,-49239.020000000004,-49.239020000000004,-39.0932938723347,35.0,17.0,48.57142857142857,54.0,28.0,51.85185185185185
05/31/2007--11/21/2008,6,94.0,45.0,47.87234042553192,-55447.41,-55.447410000000005,-48.13462040177407,38.0,17.0,44.73684210526316,56.0,28.0,50.0
06/30/2007--12/21/2008,7,95.0,46.0,48.421052631578945,-51838.130000000005,-51.83813000000001,-41.89999341195072,37.0,17.0,45.94594594594595,58.0,29.0,50.0
07/30/2007--01/20/2009,8,100.0,47.0,47.0,-57228.76000000001,-57.22876000000001,-45.33179535893609,40.0,18.0,45.0,60.0,29.0,48.333333333333336
08/29/2007--02/19/2009,9,108.0,51.0,47.22222222222222,-57232.51000000001,-57.23251000000001,-46.64869660161048,42.0,19.0,45.23809523809524,66.0,32.0,48.484848484848484
09/28/2007--03/21/2009,10,99.0,47.0,47.474747474747474,-53950.659999999996,-53.95065999999999,-49.72473456547386,40.0,18.0,45.0,59.0,29.0,49.152542372881356
10/28/2007--04/20/2009,11,97.0,48.0,49.48453608247423,-58498.89999999999,-58.498899999999985,-45.8703691688834,39.0,19.0,48.717948717948715,58.0,29.0,50.0
11/27/2007--05/20/2009,12,100.0,50.0,50.0,-45142.14999999997,-45.14214999999997,-36.515395945851154,43.0,21.0,48.837209302325576,57.0,29.0,50.877192982456144
12/27/2007--06/19/2009,13,94.0,44.0,46.808510638297875,11191.459999999995,11.191459999999996,-37.671835850206534,42.0,21.0,50.0,52.0,23.0,44.230769230769226
01/26/2008--07/19/2009,14,92.0,39.0,42.391304347826086,-39716.32999999997,-39.71632999999997,-30.397811298432426,41.0,18.0,43.90243902439025,51.0,21.0,41.17647058823529
02/25/2008--08/18/2009,15,85.0,37.0,43.529411764705884,-27697.530000000006,-27.697530000000004,-27.84533605184592,39.0,19.0,48.717948717948715,46.0,18.0,39.130434782608695
03/26/2008--09/17/2009,16,83.0,33.0,39.75903614457831,-9201.879999999988,-9.201879999999989,-19.93243243243242,36.0,15.0,41.66666666666667,47.0,18.0,38.297872340425535
04/25/2008--10/17/2009,17,68.0,25.0,36.76470588235294,-42586.06999999999,-42.58606999999999,-21.99856733524355,20.0,6.0,30.0,48.0,19.0,39.58333333333333
05/25/2008--11/16/2009,18,54.0,19.0,35.18518518518518,-35214.66999999998,-35.21466999999998,-19.796624837732583,16.0,5.0,31.25,38.0,14.0,36.84210526315789
06/24/2008--12/16/2009,19,54.0,23.0,42.592592592592595,1248.8200000000172,1.2488200000000171,-14.993520847625582,22.0,11.0,50.0,32.0,12.0,37.5
07/24/2008--01/15/2010,20,63.0,29.0,46.03174603174603,-5382.040000000019,-5.3820400000000195,-9.457413751892283,28.0,15.0,53.57142857142857,35.0,14.0,40.0
08/23/2008--02/14/2010,21,49.0,23.0,46.93877551020408,-41249.83,-41.24983,-14.909033629991331,21.0,11.0,52.38095238095239,28.0,12.0,42.857142857142854
09/22/2008--03/16/2010,22,57.0,26.0,45.614035087719294,39850.82,39.85082,-3.904573221066538,28.0,15.0,53.57142857142857,29.0,11.0,37.93103448275862
10/22/2008--04/15/2010,23,59.0,31.0,52.54237288135594,50250.33,50.25033,33.94809497515186,33.0,20.0,60.60606060606061,26.0,11.0,42.30769230769231
11/21/2008--05/15/2010,24,51.0,28.0,54.90196078431373,-3870.9299999999985,-3.8709299999999986,43.2218309859155,27.0,18.0,66.66666666666666,24.0,10.0,41.66666666666667
12/21/2008--06/14/2010,25,44.0,26.0,59.09090909090909,7183.490000000002,7.183490000000002,25.785665058580285,23.0,16.0,69.56521739130434,21.0,10.0,47.61904761904761
01/20/2009--07/14/2010,26,46.0,30.0,65.21739130434783,52099.56,52.09956,36.094079682263875,26.0,20.0,76.92307692307693,20.0,10.0,50.0
02/19/2009--08/13/2010,27,57.0,33.0,57.89473684210527,33041.880000000005,33.041880000000006,38.537496322635945,37.0,24.0,64.86486486486487,20.0,9.0,45.0
03/21/2009--09/12/2010,28,51.0,28.0,54.90196078431373,939.7799999999983,0.9397799999999982,35.556906614786,31.0,19.0,61.29032258064516,20.0,9.0,45.0
04/20/2009--10/12/2010,29,57.0,35.0,61.40350877192983,17095.899999999998,17.095899999999997,40.2493107994726,37.0,26.0,70.27027027027027,20.0,9.0,45.0
05/20/2009--11/11/2010,30,1.0,1.0,100.0,144845.26,144.84526000000002,34.38846536294332,1.0,1.0,100.0,0.0,0.0
06/19/2009--12/11/2010,31,53.0,34.0,64.15094339622641,5563.23,5.56323,35.245545415036936,38.0,26.0,68.42105263157895,15.0,8.0,53.333333333333336
07/19/2009--01/10/2011,32,54.0,33.0,61.111111111111114,-1200.1200000000013,-1.2001200000000012,33.47909724485184,37.0,24.0,64.86486486486487,17.0,9.0,52.94117647058824
08/18/2009--02/09/2011,33,63.0,40.0,63.49206349206349,20300.4,20.300400000000003,33.48370168533656,46.0,30.0,65.21739130434783,17.0,10.0,58.82352941176471
09/17/2009--03/11/2011,34,61.0,44.0,72.1311475409836,29923.6,29.9236,22.681669010782933,45.0,33.0,73.33333333333333,16.0,11.0,68.75
10/17/2009--04/10/2011,35,62.0,42.0,67.74193548387096,33791.59,33.79159,21.012842699699434,45.0,33.0,73.33333333333333,17.0,9.0,52.94117647058824
11/16/2009--05/10/2011,36,66.0,42.0,63.63636363636363,37536.21,37.53621,22.17426490423524,49.0,33.0,67.3469387755102,17.0,9.0,52.94117647058824
12/16/2009--06/09/2011,37,67.0,42.0,62.68656716417911,59801.179999999986,59.80117999999999,16.03299856527978,50.0,32.0,64.0,17.0,10.0,58.82352941176471
01/15/2010--07/09/2011,38,59.0,35.0,59.32203389830508,59749.66000000001,59.74966000000001,18.268215417106656,45.0,28.0,62.22222222222222,14.0,7.0,50.0
02/14/2010--08/08/2011,39,67.0,40.0,59.70149253731343,63331.720000000016,63.33172000000001,2.296336796063432,53.0,33.0,62.264150943396224,14.0,7.0,50.0
03/16/2010--09/07/2011,40,73.0,43.0,58.9041095890411,65087.80999999998,65.08780999999998,3.3330469890902927,54.0,32.0,59.25925925925925,19.0,11.0,57.89473684210527
04/15/2010--10/07/2011,41,77.0,40.0,51.94805194805194,51092.69000000001,51.092690000000005,-4.600544150383389,52.0,30.0,57.692307692307686,25.0,10.0,40.0
05/15/2010--11/06/2011,42,82.0,44.0,53.65853658536586,55116.14000000001,55.11614,10.119350592365064,58.0,35.0,60.3448275862069,24.0,9.0,37.5
06/14/2010--12/06/2011,43,88.0,46.0,52.27272727272727,53882.840000000026,53.88284000000002,15.296459651718127,63.0,36.0,57.14285714285714,25.0,10.0,40.0
07/14/2010--01/05/2012,44,85.0,45.0,52.94117647058824,11744.88,11.744879999999998,16.77048088936717,60.0,35.0,58.333333333333336,25.0,10.0,40.0
