Date,Open,High,Low,Close,Volume,Adj Close
2007-12-31,26.95,27.28,25.91,26.62,1487900,26.62
2007-12-28,27.45,27.71,26.29,26.93,1076700,26.93
2007-12-27,28.00,28.24,27.00,27.45,1659400,27.45
2007-12-26,27.71,29.02,27.71,28.70,901700,28.70
2007-12-24,28.10,28.62,27.71,27.91,552000,27.91
2007-12-21,27.89,29.14,27.71,28.10,3643000,28.10
2007-12-20,25.02,27.50,24.66,27.24,3200000,27.24
2007-12-19,24.08,24.91,23.86,24.87,917800,24.87
2007-12-18,23.27,24.27,22.97,24.18,705000,24.18
2007-12-17,23.31,23.63,23.01,23.10,526900,23.10
2007-12-14,22.96,23.84,22.53,23.52,1383500,23.52
2007-12-13,22.89,23.04,22.51,23.04,737200,23.04
2007-12-12,23.75,23.94,22.88,23.16,763300,23.16
2007-12-11,23.50,23.90,23.10,23.30,968500,23.30
2007-12-10,23.59,23.71,23.44,23.49,612100,23.49
2007-12-07,23.89,23.93,23.44,23.57,829100,23.57
2007-12-06,23.48,23.90,23.32,23.90,976000,23.90
2007-12-05,23.32,23.96,23.05,23.93,1486600,23.93
2007-12-04,23.78,23.92,23.05,23.75,811600,23.75
2007-12-03,24.00,24.80,23.57,23.78,1305400,23.78
2007-11-30,23.55,23.94,22.57,23.10,1257100,23.10
2007-11-29,22.82,23.53,22.82,23.12,944700,23.12
2007-11-28,22.50,23.24,22.40,23.01,1345400,23.01
2007-11-27,21.61,22.35,21.50,22.34,958200,22.34
2007-11-26,21.75,22.19,21.43,21.47,923700,21.47
2007-11-23,21.73,21.90,21.26,21.75,879000,21.75
2007-11-21,22.52,22.57,21.52,21.55,1488400,21.55
2007-11-20,22.93,23.18,22.15,22.63,1599400,22.63
2007-11-19,23.57,24.00,22.96,23.21,974000,23.21
2007-11-16,24.04,24.29,22.75,23.80,1658700,23.80
2007-11-15,24.72,24.84,23.92,24.06,997300,24.06
2007-11-14,25.59,25.60,24.72,24.84,1021000,24.84
2007-11-13,24.60,25.41,24.51,25.41,919000,25.41
2007-11-12,25.15,25.46,24.40,24.51,1311200,24.51
2007-11-09,26.83,26.87,24.63,25.25,1989300,25.25
2007-11-08,26.74,27.51,26.07,27.19,1521800,27.19
2007-11-07,26.90,27.37,26.34,26.88,1064000,26.88
2007-11-06,26.44,27.29,26.31,27.23,1110600,27.23
2007-11-05,26.05,27.00,26.02,26.51,1096700,26.51
2007-11-02,26.05,26.40,26.00,26.26,1274300,26.26
2007-11-01,26.47,26.68,25.50,26.29,1486600,26.29
2007-10-31,26.48,26.51,25.78,26.47,1541800,26.47
2007-10-30,26.14,26.60,25.73,26.44,1722400,26.44
2007-10-29,25.74,26.48,25.50,26.37,1110200,26.37
2007-10-26,25.55,25.70,24.62,25.22,1560200,25.22
2007-10-25,25.12,25.83,25.09,25.33,1381300,25.33
2007-10-24,25.29,25.38,24.26,25.25,1863300,25.25
2007-10-23,25.79,26.20,24.52,25.99,5497900,25.99
2007-10-22,22.75,23.27,22.10,23.01,3045000,23.01
2007-10-19,24.29,24.29,22.60,23.24,1599300,23.24
2007-10-18,23.91,24.30,23.66,24.03,1132800,24.03
2007-10-17,23.80,24.30,23.64,24.28,607100,24.28
2007-10-16,24.25,24.25,23.65,23.97,900000,23.97
2007-10-15,23.90,24.50,23.59,23.96,1647600,23.96
2007-10-12,22.85,23.34,22.79,23.00,604400,23.00
2007-10-11,23.41,24.02,22.63,22.91,1429700,22.91
2007-10-10,22.67,23.67,22.53,23.42,1504900,23.42
2007-10-09,22.25,23.00,22.17,22.79,1223300,22.79
2007-10-08,21.77,22.32,21.60,22.27,457900,22.27
2007-10-05,21.23,22.22,21.20,22.00,935600,22.00
2007-10-04,20.88,21.27,20.77,21.14,699700,21.14
2007-10-03,21.02,21.28,20.80,21.08,516100,21.08
2007-10-02,21.25,21.33,20.76,21.20,646100,21.20
2007-10-01,20.70,21.40,20.59,21.22,1361200,21.22
2007-09-28,21.40,21.60,20.65,20.75,1237500,20.75
2007-09-27,21.78,21.85,21.01,21.36,1699800,21.36
2007-09-26,21.00,22.10,20.97,21.94,2267900,21.94
2007-09-25,19.30,21.06,19.28,21.01,2579700,21.01
2007-09-24,19.20,19.56,19.10,19.29,909500,19.29
2007-09-21,19.75,19.75,18.74,19.19,2268500,19.19
2007-09-20,19.20,19.55,19.14,19.48,1071300,19.48
2007-09-19,19.50,19.67,19.26,19.64,1164700,19.64
2007-09-18,18.50,19.40,18.40,19.23,990500,19.23
2007-09-17,18.35,18.65,18.19,18.41,1442600,18.41
2007-09-14,17.26,17.80,17.17,17.72,683500,17.72
2007-09-13,17.30,17.49,17.07,17.34,634600,17.34
2007-09-12,17.60,17.66,17.31,17.36,386500,17.36
2007-09-11,17.34,17.84,17.27,17.67,783300,17.67
2007-09-10,18.01,18.02,17.25,17.40,907600,17.40
2007-09-07,17.69,18.06,17.51,18.04,965300,18.04
2007-09-06,17.76,17.99,17.56,17.99,1072300,17.99
2007-09-05,18.06,18.14,17.60,17.92,590400,17.92
2007-09-04,17.98,18.72,17.68,18.14,1594900,18.14
2007-08-31,17.35,17.58,17.15,17.52,677900,17.52
2007-08-30,17.27,17.49,17.05,17.20,707700,17.20
2007-08-29,17.05,17.50,16.92,17.50,550800,17.50
2007-08-28,17.16,17.56,16.95,16.98,664700,16.98
2007-08-27,17.74,17.85,17.10,17.14,499500,17.14
2007-08-24,17.19,17.82,17.10,17.80,903500,17.80
2007-08-23,17.30,17.50,17.00,17.25,434100,17.25
2007-08-22,17.49,17.52,17.13,17.43,656300,17.43
2007-08-21,17.35,17.47,17.06,17.30,478300,17.30
2007-08-20,17.49,17.49,16.79,17.17,787600,17.17
2007-08-17,17.95,17.95,17.01,17.24,1015300,17.24
2007-08-16,17.15,18.00,16.68,16.90,1977300,16.90
2007-08-15,17.53,17.90,17.39,17.44,775300,17.44
2007-08-14,17.33,17.86,17.21,17.46,759000,17.46
2007-08-13,18.00,18.10,17.17,17.36,974200,17.36
2007-08-10,17.90,17.96,16.73,17.89,1532200,17.89
2007-08-09,17.03,17.78,16.62,17.77,2614900,17.77
2007-08-08,17.43,18.47,17.35,17.97,1845200,17.97
2007-08-07,17.45,17.49,16.95,17.35,1483500,17.35
2007-08-06,17.22,17.22,16.50,16.96,1602600,16.96
2007-08-03,17.20,17.28,16.54,16.57,1237400,16.57
2007-08-02,17.15,17.34,16.95,17.11,1322700,17.11
2007-08-01,17.25,17.49,16.78,17.16,2030900,17.16
2007-07-31,17.70,17.70,17.10,17.23,1379200,17.23
2007-07-30,17.11,17.75,16.99,17.39,1947600,17.39
2007-07-27,17.86,17.90,16.89,17.10,2900700,17.10
2007-07-26,16.69,17.93,16.25,17.84,4779600,17.84
2007-07-25,16.65,16.79,15.99,16.70,5364900,16.70
2007-07-24,16.58,16.76,15.62,16.07,7726500,16.07
2007-07-23,18.04,18.09,17.17,17.27,7675400,17.27
2007-07-20,19.94,19.94,19.60,19.63,1373800,19.63
2007-07-19,20.00,20.23,19.75,19.94,741800,19.94
2007-07-18,20.24,20.24,19.75,20.12,928300,20.12
2007-07-17,20.03,20.30,20.01,20.21,646400,20.21
2007-07-16,20.24,20.31,20.00,20.06,736100,20.06
2007-07-13,20.02,20.45,20.02,20.14,663400,20.14
2007-07-12,20.01,20.38,19.89,20.11,803200,20.11
2007-07-11,20.24,20.24,19.90,20.01,785300,20.01
