Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,Portfolio-Value-Pre,Portfolio-Cash-Pre,Portfolio-Value-Post,Portfolio-Cash-Post,Entry-Day-Exit-PorL,Exit-Date,Exit-Price,Portfolio-Value-Pre,Portfolio-Cash-Pre,Portfolio-Value-Post,Portfolio-Cash-Post,PorL,Current-Pos
AAPL,LONG,2007-12-07,25.78,3690,100000.00,100000.00,101876.89,4887.58,0.0,2007-12-11,26.12,101831.96,4887.58,101272.89,101272.89,1272.89,[]
AAPL,LONG,2008-08-13,24.11,3990,101272.89,101272.89,101861.23,5082.95,0.0,2008-08-15,24.06,101872.02,5082.95,101067.78,101067.78,-205.11,[]
AAPL,SHORT,2008-09-05,21.45,4419,101067.78,101067.78,100117.30,100117.30,0.0,2008-09-08,22.26,100117.30,100117.30,97493.00,97493.00,-3574.78,[]
AAPL,LONG,2009-03-18,13.52,5218,97493.00,97493.00,98629.46,26968.87,0.0,2009-03-20,13.68,98700.05,26968.87,98347.11,98347.11,854.11,[]
AAPL,LONG,2009-09-08,23.40,3085,98347.11,98347.11,98326.24,26157.32,0.0,2009-09-09,23.33,98326.24,26157.32,98117.58,98117.58,-229.53,[]
AAPL,LONG,2009-12-28,28.64,2508,98117.58,98117.58,98080.26,26286.21,0.0,2009-12-29,28.54,98080.26,26286.21,97868.21,97868.21,-249.37,[]
AAPL,LONG,2010-09-09,35.85,1985,97868.21,97868.21,97339.22,26698.26,0.0,2010-09-10,35.50,97339.22,26698.26,97171.39,97171.39,-696.82,[]
AAPL,SHORT,2011-04-18,44.11,1589,97171.39,97171.39,95935.39,95935.39,0.0,2011-04-19,45.06,95935.39,95935.39,95666.70,95666.70,-1504.69,[]
AAPL,LONG,2011-07-05,46.49,1308,95666.70,95666.70,96680.58,34851.52,0.0,2011-07-08,47.80,98055.42,34851.52,97372.43,97372.43,1705.73,[]
AAPL,SHORT,2011-10-05,49.13,1271,97372.43,97372.43,94779.61,94779.61,0.0,2011-10-06,51.25,94779.61,94779.61,94672.15,94672.15,-2700.28,[]
AAPL,SHORT,2012-10-08,87.88,605,94672.15,94672.15,95388.04,95388.04,0.0,2012-10-10,86.91,95578.73,95578.73,95259.00,95259.00,586.85,[]
AAPL,LONG,2013-07-19,59.91,852,95259.00,95259.00,94250.70,44218.31,0.0,2013-07-23,58.87,94410.82,44218.31,94374.32,94374.32,-884.68,[]
AAPL,LONG,2013-11-27,75.04,669,94374.32,94374.32,95274.80,44170.21,0.0,2013-12-11,78.77,97108.53,44170.21,96865.62,96865.62,2491.30,[]
