Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,Strategy,Current-Pos
VLO,LONG,2007-10-09,71.48,1329,No-Exit,0.0,0.0,2007-10-16,72.52,1382.16,1382.16,BB 20 SMA Xover Mtm,[]
FFIV,SHORT,2007-10-25,36.02,2243,No-Exit,0.0,0.0,2007-10-31,34.79,2758.89,2758.89,BB 20 SMA Xover Mtm,['MMM', 'FTI', 'BEN']
BEN,SHORT-SPY-NULL,2007-10-29,43.55,1891,No-Exit,0.0,0.0,2007-11-12,40.07,6580.68,0.0,BB 20 SMA Xover Mtm,['AAPL', 'MMM', 'FTI']
MMM,SHORT,2007-10-22,85.35,1123,No-Exit,0.0,0.0,2007-11-13,80.78,5132.11,5132.11,BB 20 SMA Xover Mtm,['AAPL', 'FTI']
AAPL,SHORT,2007-11-09,24.45,3207,No-Exit,0.0,0.0,2007-11-14,25.31,-2753.44,-2753.44,BB 20 SMA Xover Mtm,['FTI']
FTI,SHORT-SPY-NULL,2007-10-31,29.75,2534,No-Exit,0.0,0.0,2007-11-15,27.75,5068.00,0.0,BB 20 SMA Xover Mtm,[]
AAPL,LONG,2007-11-29,26.00,4317,No-Exit,0.0,0.0,2007-12-11,26.94,4057.98,4057.98,BB 20 SMA Xover Mtm,[]
AMZN,SHORT,2008-01-07,87.90,523,No-Exit,0.0,0.0,2008-01-17,81.29,3457.03,3457.03,BB 20 SMA Xover Mtm,['VLO', 'AAPL']
VLO,SHORT,2008-01-04,65.55,1765,No-Exit,0.0,0.0,2008-01-24,53.85,20650.50,20650.50,BB 20 SMA Xover Mtm,['AAPL']
AAPL,SHORT,2008-01-07,25.46,2153,No-Exit,0.0,0.0,2008-01-30,18.77,14409.72,14409.72,BB 20 SMA Xover Mtm,[]
GRMN,LONG-SPY-NULL,2008-02-20,73.00,109,2008-02-20,63.60,-1024.60,2008-02-21,63.60,-1024.60,0.0,BB 20 SMA Xover Mtm,['TAP']
TAP,LONG,2008-02-13,50.16,3044,No-Exit,0.0,0.0,2008-02-22,51.86,5174.80,5174.80,BB 20 SMA Xover Mtm,[]
QCOM,SHORT,2008-03-04,40.71,3847,No-Exit,0.0,0.0,2008-03-12,40.52,730.93,730.93,BB 20 SMA Xover Mtm,['AAPL']
AAPL,LONG,2008-03-12,18.37,7736,No-Exit,0.0,0.0,2008-04-09,21.90,27319.13,27319.13,BB 20 SMA Xover Mtm,[]
VLO,LONG,2008-04-17,52.20,3511,No-Exit,0.0,0.0,2008-04-23,52.02,-631.98,-631.98,BB 20 SMA Xover Mtm,[]
PCLN,SHORT,2008-04-29,121.70,48,No-Exit,0.0,0.0,2008-05-01,129.66,-382.08,-382.08,BB 20 SMA Xover Mtm,['AET']
