Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,Portfolio-Value-Pre,Portfolio-Cash-Pre,Portfolio-Value-Post,Portfolio-Cash-Post,Intra-Day-Exit-PorL,Intra-Day-Exit-Date,Exit-Date,Exit-Price,Portfolio-Value-Pre,Portfolio-Cash-Pre,Portfolio-Value-Post,Portfolio-Cash-Post,PorL,Current-Pos
AAPL,LONG,2008-03-19,18.02,5272,100000.00,100000.00,97481.40,5003.14,-2002.7327273,2008-03-19,2008-03-27,18.99,108457.26,5003.14,105112.44,105112.44,5112.44,[]
AAPL,LONG,2008-08-13,24.11,4142,105112.44,105112.44,105723.19,5258.12,0.0,2008-08-13,2008-08-15,24.06,105734.40,5258.12,104899.52,104899.52,-212.92,[]
AAPL,LONG,2009-02-06,13.29,7495,104899.52,104899.52,106360.68,5254.29,0.0,2009-02-06,2009-02-10,13.62,109189.47,5254.29,107318.82,107318.82,2419.30,[]
AAPL,LONG,2009-03-18,13.52,7544,107318.82,107318.82,108961.87,5357.52,0.0,2009-03-18,2009-03-20,13.68,109063.93,5357.52,108553.66,108553.66,1234.84,[]
AAPL,LONG,2009-09-17,24.75,4166,108553.66,108553.66,109455.37,5449.45,0.0,2009-09-17,2009-09-21,24.93,109720.24,5449.45,109308.84,109308.84,755.18,[]
AAPL,LONG,2009-12-28,28.64,3663,109308.84,109308.84,109254.33,4397.24,0.0,2009-12-28,2009-12-29,28.54,109254.33,4397.24,108944.63,108944.63,-364.21,[]
AAPL,SHORT,2011-10-05,49.73,2081,108944.63,108944.63,105946.71,105946.71,-2313.84757206,2011-10-05,2011-10-06,51.25,105946.71,105946.71,105770.76,105770.76,-3173.87,[]
AAPL,SHORT,2012-04-17,78.20,1151,105770.76,105770.76,100842.73,100842.73,-1877.2723822,2012-04-17,2012-04-18,83.02,100842.73,100842.73,100216.80,100216.80,-5553.97,[]
AAPL,SHORT,2012-10-08,87.67,901,100216.80,100216.80,101092.42,101092.42,0.0,2012-10-08,2012-10-10,86.91,101376.40,101376.40,100900.24,100900.24,683.44,[]
AAPL,SHORT,2014-04-08,73.58,1021,100900.24,100900.24,100805.51,100805.51,0.0,2014-04-08,2014-04-09,74.01,100805.51,100805.51,100464.21,100464.21,-436.03,[]
