Period,# of trades,winning trades,Simulated PorL,PorL,Best_of_PorL,winning percent,# of long trades,long winning trades,long winning percent,# of short trades,short winning trades,short winning percent
11/16/2009--11/11/2010,6,5,34977.06,39278.57,39353.34,83.3333333333,6,5,83.3333333333,0,0,
10/17/2009--10/12/2010,5,4,28389.7,30910.86,30985.63,80,5,4,80,0,0,
08/18/2009--08/13/2010,4,3,13699.6,12695.12,13699.6,75,4,3,75,0,0,
07/19/2009--07/14/2010,3,2,12921.71,11814.94,12921.71,66.6666666667,3,2,66.6666666667,0,0,
04/20/2009--04/15/2010,2,1,11300.02,11300.02,11300.02,50,2,1,50,0,0,
03/21/2009--03/16/2010,2,1,4064.02,4064.02,4064.02,50,2,1,50,0,0,
02/14/2010--02/09/2011,5,5,1997.11,28456.95,28721.51,100,5,5,100,0,0,
03/16/2010--03/11/2011,5,5,1997.11,24665.21,25172.56,100,5,5,100,0,0,
05/15/2010--05/10/2011,4,4,1855.42,1937.37,4638.08,100,4,4,100,0,0,
06/14/2010--06/09/2011,4,4,1855.42,-1527.87,2514.13,100,4,4,100,0,0,
09/12/2010--09/07/2011,4,4,1729.11,7319.48,9412.03,100,4,4,100,0,0,
10/12/2010--10/07/2011,4,4,1699.07,5178.57,8198.47,100,3,3,100,1,1,100
12/11/2010--12/06/2011,3,3,1622.29,13197.97,13249.97,100,2,2,100,1,1,100
04/29/2013--04/24/2014,4,3,1502.03,4379.32,4593.02,75,3,2,66.6666666667,1,1,100
01/29/2013--01/24/2014,4,3,1414.52,4246.96,4262.92,75,3,2,66.6666666667,1,1,100
03/30/2013--03/25/2014,4,3,1407.76,3546.75,3829.12,75,3,2,66.6666666667,1,1,100
11/25/2013--11/20/2014,6,6,1126.27,1055.87,1472.42,100,3,3,100,3,3,100
12/25/2013--12/20/2014,5,5,921.98,571.55,985.94,100,2,2,100,3,3,100
08/27/2013--08/22/2014,6,5,814.99,859.46,1118.76,83.3333333333,3,3,100,3,2,66.6666666667
09/26/2013--09/21/2014,6,5,814.99,859.46,1118.76,83.3333333333,3,3,100,3,2,66.6666666667
02/09/2011--02/04/2012,3,3,751.78,2224.03,2406.03,100,2,2,100,1,1,100
03/11/2011--03/05/2012,3,3,751.78,2224.03,2406.03,100,2,2,100,1,1,100
04/10/2011--04/04/2012,3,3,751.78,2224.03,2406.03,100,2,2,100,1,1,100
05/10/2011--05/04/2012,3,3,751.78,2224.03,2406.03,100,2,2,100,1,1,100
06/09/2011--06/03/2012,3,3,751.78,2224.03,2406.03,100,2,2,100,1,1,100
07/28/2013--07/23/2014,7,5,680.31,675.81,935.11,71.4285714286,4,3,75,3,2,66.6666666667
10/26/2013--10/21/2014,5,4,629.25,869.18,933.02,80,2,2,100,3,2,66.6666666667
06/03/2012--05/29/2013,2,2,570.2,5692.35,5692.35,100,1,1,100,1,1,100
07/03/2012--06/28/2013,2,2,570.2,5670.48,5670.48,100,1,1,100,1,1,100
03/05/2012--02/28/2013,2,2,570.2,3677.88,3677.88,100,1,1,100,1,1,100
02/04/2012--01/29/2013,2,2,570.2,2210.43,2210.43,100,1,1,100,1,1,100
01/10/2011--01/05/2012,2,2,566.64,818.86,1000.86,100,1,1,100,1,1,100
09/07/2011--09/01/2012,3,3,566.45,2271.35,2653.25,100,1,1,100,2,2,100
