Period,# of trades,winning trades,Simulated PorL,PorL,Best_of_PorL,winning percent,# of long trades,long winning trades,long winning percent,# of short trades,short winning trades,short winning percent
12/21/2008--12/16/2009,3,3,769.78,74519.61,74519.61,100,3,3,100,0,0,
09/22/2008--09/17/2009,3,3,769.78,64810.81,64810.81,100,3,3,100,0,0,
08/23/2008--08/18/2009,3,3,769.78,49751.81,49751.81,100,3,3,100,0,0,
06/24/2008--06/19/2009,4,4,864.68,32568.33,32568.33,100,4,4,100,0,0,
06/30/2007--06/24/2008,3,3,785.97,27314.82,27403,100,3,3,100,0,0,
05/01/2007--04/25/2008,3,3,785.97,26464.6,26552.78,100,3,3,100,0,0,
02/14/2010--02/09/2011,6,5,891.6,25702.1,26314.14,83.3333333333,4,4,100,2,1,50
05/25/2008--05/20/2009,4,4,864.68,24832.29,24832.29,100,4,4,100,0,0,
03/16/2010--03/11/2011,6,5,891.6,23020.18,23632.22,83.3333333333,4,4,100,2,1,50
07/30/2007--07/24/2008,3,3,785.97,22953.7,23041.88,100,3,3,100,0,0,
01/29/2013--01/24/2014,10,8,1021.22,15294.33,18901.07,80,6,4,66.6666666667,4,4,100
10/07/2011--10/01/2012,8,8,3905.97,14896.79,18303.73,100,7,7,100,1,1,100
12/06/2011--11/30/2012,9,9,3936.68,14987.16,18300.43,100,8,8,100,1,1,100
11/16/2009--11/11/2010,7,6,879.03,15530.12,16329.55,85.7142857143,4,4,100,3,2,66.6666666667
11/06/2011--10/31/2012,7,7,3106.8,12096.44,15417.77,100,6,6,100,1,1,100
01/10/2011--01/05/2012,10,8,12333.6,12307.33,13593.37,80,8,7,87.5,2,1,50
06/03/2012--05/29/2013,12,12,3041.56,-5937.74,12279.22,100,9,9,100,3,3,100
03/05/2012--02/28/2013,9,9,3320.49,-6684.67,12239.37,100,8,8,100,1,1,100
05/04/2012--04/29/2013,9,9,2639.79,8585.68,11854.77,100,7,7,100,2,2,100
04/04/2012--03/30/2013,8,8,2628.76,8787.28,11843.74,100,7,7,100,1,1,100
02/04/2012--01/29/2013,8,8,3105.46,-5418.72,11539.76,100,7,7,100,1,1,100
09/07/2011--09/01/2012,6,6,3122.17,7941.2,11348.14,100,5,5,100,1,1,100
