Period,# of trades,winning trades,Simulated PorL,PorL,Best_of_PorL,winning percent,# of long trades,long winning trades,long winning percent,# of short trades,short winning trades,short winning percent
09/12/2010--09/07/2011,18,15,11578.21,11020.58,13398.78,83.3333333333,16,15,93.75,2,0,0
10/12/2010--10/07/2011,16,13,11453.93,8613.2,12188.03,81.25,14,13,92.8571428571,2,0,0
05/15/2010--05/10/2011,19,16,4814.55,11630.21,13502.78,84.2105263158,17,16,94.1176470588,2,0,0
02/14/2010--02/09/2011,18,15,3867.03,11743.92,14202.17,83.3333333333,17,15,88.2352941176,1,0,0
03/16/2010--03/11/2011,18,15,3226.82,9179.74,12231.77,83.3333333333,16,15,93.75,2,0,0
06/14/2010--06/09/2011,19,16,2325.62,5561.75,7847.75,84.2105263158,17,16,94.1176470588,2,0,0
01/20/2009--01/15/2010,9,9,1125.96,85313.54,85796.36,100,9,9,100,0,0,
03/21/2009--03/16/2010,7,7,1062.42,3390.98,4580.16,100,7,7,100,0,0,
05/01/2007--04/25/2008,6,6,993.3,-5333.05,3555.2,100,6,6,100,0,0,
12/21/2008--12/16/2009,7,7,989.57,73957.32,74181.27,100,7,7,100,0,0,
09/22/2008--09/17/2009,5,5,941.25,64399.66,65574.72,100,5,5,100,0,0,
08/08/2011--08/02/2012,11,10,925.78,2323.77,4079.13,90.9090909091,8,8,100,3,2,66.6666666667
05/10/2011--05/04/2012,10,9,922.99,1051.76,3059.49,90,8,8,100,2,1,50
04/20/2009--04/15/2010,10,9,896.57,9686.41,10877.15,90,10,9,90,0,0,
01/01/2007--12/27/2007,4,4,880.79,2893.93,3913.94,100,4,4,100,0,0,
04/01/2007--03/26/2008,4,4,880.14,-15779.07,1998.45,100,4,4,100,0,0,
06/30/2007--06/24/2008,7,6,852.01,-5115.26,3348.63,85.7142857143,7,6,85.7142857143,0,0,
04/29/2013--04/24/2014,19,16,761.12,22624.62,23492.71,84.2105263158,15,13,86.6666666667,4,3,75
06/09/2011--06/03/2012,9,8,732.89,996.56,2798.81,88.8888888889,7,7,100,2,1,50
07/09/2011--07/03/2012,9,8,731.66,-32.57,2784.24,88.8888888889,7,7,100,2,1,50
07/30/2007--07/24/2008,8,6,721.21,-8364.9,2426.99,75,7,6,85.7142857143,1,0,0
01/29/2013--01/24/2014,17,13,588.37,21964.02,22735.8,76.4705882353,16,12,75,1,1,100
09/07/2011--09/01/2012,9,8,565.74,497.29,2365.12,88.8888888889,6,6,100,3,2,66.6666666667
10/07/2011--10/01/2012,9,8,565.29,541.92,2377.03,88.8888888889,6,6,100,3,2,66.6666666667
11/16/2009--11/11/2010,16,14,560.63,36126.32,37148.9,87.5,16,14,87.5,0,0,
10/17/2009--10/12/2010,13,11,540.65,25637.94,26550.64,84.6153846154,13,11,84.6153846154,0,0,
07/19/2009--07/14/2010,10,8,509.32,9903.4,11306.29,80,10,8,80,0,0,
08/18/2009--08/13/2010,12,10,484.16,10883.73,12084.76,83.3333333333,12,10,83.3333333333,0,0,
10/01/2012--09/26/2013,15,12,468.68,15397.59,16998.77,80,13,10,76.9230769231,2,2,100
06/03/2012--05/29/2013,21,15,427.84,18630.41,19493.65,71.4285714286,15,12,80,6,3,50
04/15/2010--04/10/2011,9,7,422.28,-64.94,898.91,77.7777777778,7,7,100,2,0,0
07/03/2012--06/28/2013,21,15,374.1,12423.32,16866.11,71.4285714286,14,11,78.5714285714,7,4,57.1428571429
03/05/2012--02/28/2013,19,15,365.4,9764.63,11196.54,78.9473684211,12,11,91.6666666667,7,4,57.1428571429
03/30/2013--03/25/2014,19,14,320.82,20948.27,21455.79,73.6842105263,16,12,75,3,2,66.6666666667
02/04/2012--01/29/2013,18,14,319.5,6389.64,8165.25,77.7777777778,11,10,90.9090909091,7,4,57.1428571429
07/14/2010--07/09/2011,11,8,304.08,254.04,788.36,72.7272727273,9,8,88.8888888889,2,0,0
01/31/2007--01/26/2008,3,3,299.64,-974.56,1417.95,100,3,3,100,0,0,
03/02/2007--02/25/2008,3,3,299.64,-974.56,1417.95,100,3,3,100,0,0,
08/13/2010--08/08/2011,14,11,243.32,158.89,795.33,78.5714285714,12,11,91.6666666667,2,0,0
04/10/2011--04/04/2012,11,9,242.93,2730.71,3201.02,81.8181818182,10,9,90,1,0,0
09/26/2013--09/21/2014,20,16,226.26,1086.33,2443.63,80,15,13,86.6666666667,5,3,60
08/27/2013--08/22/2014,20,16,211.66,1076.07,2324.53,80,14,12,85.7142857143,6,4,66.6666666667
07/28/2013--07/23/2014,19,15,206.97,2014.04,3091.26,78.9473684211,15,13,86.6666666667,4,2,50
05/31/2007--05/25/2008,5,4,188.45,-900.67,1489.92,80,5,4,80,0,0,
06/28/2013--06/23/2014,18,14,187.97,1813.17,2571.14,77.7777777778,14,12,85.7142857143,4,2,50
12/06/2011--11/30/2012,16,12,165.14,3379,5103.27,75,9,8,88.8888888889,7,4,57.1428571429
12/11/2010--12/06/2011,11,8,155.09,200.39,1466.69,72.7272727273,9,8,88.8888888889,2,0,0
11/27/2007--11/21/2008,9,5,142.25,-38093.88,332.19,55.5555555556,7,5,71.4285714286,2,0,0
10/22/2008--10/17/2009,3,3,135.86,417.31,590.36,100,3,3,100,0,0,
