Period,# of trades,winning trades,Simulated PorL,PorL,Best_of_PorL,winning percent,# of long trades,long winning trades,long winning percent,# of short trades,short winning trades,short winning percent
11/16/2009--11/11/2010,9,5,40358.33,40256.21,40557.42,55.5555555556,5,3,60,4,2,50
10/17/2009--10/12/2010,11,7,34098.14,34424.42,35196.74,63.6363636364,7,5,71.4285714286,4,2,50
01/29/2013--01/24/2014,13,9,21338.63,23063.54,23700.46,69.2307692308,10,7,70,3,2,66.6666666667
03/30/2013--03/25/2014,10,7,20658.82,22702.22,23112.4,70,8,5,62.5,2,2,100
04/29/2013--04/24/2014,7,3,20452.17,20640.14,20788.04,42.8571428571,7,3,42.8571428571,0,0,
10/07/2011--10/01/2012,10,7,6726.19,19675.15,20292.47,70,8,7,87.5,2,0,0
08/18/2009--08/13/2010,11,8,18356.72,16404.99,19437.61,72.7272727273,8,6,75,3,2,66.6666666667
07/19/2009--07/14/2010,11,7,16653.95,15742.04,17734.84,63.6363636364,7,5,71.4285714286,4,2,50
04/20/2009--04/15/2010,9,7,15921.39,15016.52,17002.28,77.7777777778,6,5,83.3333333333,3,2,66.6666666667
08/08/2011--08/02/2012,8,5,7941.22,15560.8,15841.74,62.5,7,5,71.4285714286,1,0,0
01/05/2012--12/30/2012,11,8,4977.63,13524.76,15120.9,72.7272727273,8,7,87.5,3,1,33.3333333333
11/06/2011--10/31/2012,9,6,5058.8,13727.19,14315.05,66.6666666667,7,6,85.7142857143,2,0,0
05/10/2011--05/04/2012,7,5,4842.11,13565.14,13565.14,71.4285714286,5,5,100,2,0,0
07/09/2011--07/03/2012,5,4,5625.11,13525.63,13525.63,80,4,4,100,1,0,0
04/10/2011--04/04/2012,7,5,4149.12,12832.41,12832.41,71.4285714286,5,5,100,2,0,0
09/07/2011--09/01/2012,7,4,3830.54,11422.37,11702.12,57.1428571429,5,4,80,2,0,0
06/09/2011--06/03/2012,5,4,2872.96,11635.67,11635.67,80,4,4,100,1,0,0
01/20/2009--01/15/2010,7,6,5448.96,9440.64,11491.77,85.7142857143,5,5,100,2,1,50
03/11/2011--03/05/2012,6,4,2377.55,11060.84,11060.84,66.6666666667,4,4,100,2,0,0
12/06/2011--11/30/2012,13,9,-697.61,9085.01,10117.19,69.2307692308,10,8,80,3,1,33.3333333333
05/04/2012--04/29/2013,17,12,3415.1,8330.06,10101.15,70.5882352941,12,9,75,5,3,60
02/09/2011--02/04/2012,5,3,2321.88,9928.68,9928.68,60,3,3,100,2,0,0
04/04/2012--03/30/2013,16,10,3150.33,7997.39,9754.51,62.5,11,8,72.7272727273,5,2,40
01/10/2011--01/05/2012,6,4,3338.92,9648.76,9648.76,66.6666666667,4,4,100,2,0,0
03/21/2009--03/16/2010,9,7,8383.32,7477.73,9464.21,77.7777777778,6,5,83.3333333333,3,2,66.6666666667
08/23/2008--08/18/2009,3,3,1812.63,6602.53,6929.7,100,2,2,100,1,1,100
11/21/2008--11/16/2009,6,5,1223.68,4107.62,6340.75,83.3333333333,4,4,100,2,1,50
10/22/2008--10/17/2009,5,4,998.32,4376.37,6115.39,80,3,3,100,2,1,50
09/22/2008--09/17/2009,5,4,998.32,4022.57,6115.39,80,3,3,100,2,1,50
11/11/2010--11/06/2011,6,4,1330.43,5124.83,5905.82,66.6666666667,2,2,100,4,2,50
12/11/2010--12/06/2011,7,4,1230.54,5024.94,5805.93,57.1428571429,3,2,66.6666666667,4,2,50
07/24/2008--07/19/2009,3,2,655.3,5540.59,5720.75,66.6666666667,2,2,100,1,0,0
12/21/2008--12/16/2009,7,5,-439.41,3551.41,5603.4,71.4285714286,5,4,80,2,1,50
02/28/2013--02/23/2014,8,5,2413.8,4089.56,4621.18,62.5,6,3,50,2,2,100
10/31/2012--10/26/2013,14,10,-700.43,504.99,3375.11,71.4285714286,10,7,70,4,3,75
08/02/2012--07/28/2013,17,12,949.75,1485.41,2938.17,70.5882352941,11,8,72.7272727273,6,4,66.6666666667
12/25/2013--12/20/2014,11,8,548.84,370.07,2646.42,72.7272727273,7,6,85.7142857143,4,2,50
11/25/2013--11/20/2014,12,8,259.25,1183.75,2534.22,66.6666666667,8,6,75,4,2,50
11/30/2012--11/25/2013,13,9,-2046.3,865.3,2023.27,69.2307692308,9,6,66.6666666667,4,3,75
03/26/2008--03/21/2009,5,3,291.56,1807.86,1860.82,60,4,3,75,1,0,0
12/30/2012--12/25/2013,12,8,-2370.57,1098.73,1711.48,66.6666666667,9,6,66.6666666667,3,2,66.6666666667
08/27/2013--08/22/2014,8,6,283.52,61.33,1709.82,75,5,4,80,3,2,66.6666666667
04/25/2008--04/20/2009,3,2,196.52,1653.52,1706.48,66.6666666667,2,2,100,1,0,0
06/28/2013--06/23/2014,7,4,20.63,57.91,1163.58,57.1428571429,6,3,50,1,1,100
09/17/2009--09/12/2010,9,6,-31.57,294.71,1067.03,66.6666666667,6,4,66.6666666667,3,2,66.6666666667
