Period,# of trades,winning trades,Simulated PorL,PorL,Best_of_PorL,winning percent,# of long trades,long winning trades,long winning percent,# of short trades,short winning trades,short winning percent
11/16/2009--11/11/2010,3,3,37370.04,37432.7,37432.7,100,3,3,100,0,0,
10/17/2009--10/12/2010,3,3,29377.32,29427.8,29427.8,100,3,3,100,0,0,
02/14/2010--02/09/2011,3,3,23010.15,22714.64,23219,100,3,3,100,0,0,
01/01/2007--12/27/2007,1,1,1430.87,20327.36,20327.36,100,1,1,100,0,0,
03/16/2010--03/11/2011,3,3,20426.83,20131.32,20635.68,100,3,3,100,0,0,
08/18/2009--08/13/2010,3,2,11695.63,11630.66,11695.63,66.6666666667,3,2,66.6666666667,0,0,
04/20/2009--04/15/2010,2,2,11011.33,10946.2,11011.33,100,2,2,100,0,0,
07/19/2009--07/14/2010,3,2,10769.47,10704.5,10769.47,66.6666666667,3,2,66.6666666667,0,0,
06/30/2007--06/24/2008,2,2,2177,8784.76,8784.76,100,2,2,100,0,0,
05/01/2007--04/25/2008,2,2,2219.24,8159.78,8159.78,100,2,2,100,0,0,
04/10/2011--04/04/2012,4,4,3183.51,7835.45,8284.23,100,4,4,100,0,0,
06/09/2011--06/03/2012,3,3,1870.39,6459.99,6459.99,100,3,3,100,0,0,
02/09/2011--02/04/2012,2,2,1641.14,6073.32,6073.32,100,2,2,100,0,0,
03/11/2011--03/05/2012,2,2,1641.14,6073.32,6073.32,100,2,2,100,0,0,
01/10/2011--01/05/2012,1,1,1413.36,5810,5810,100,1,1,100,0,0,
08/13/2010--08/08/2011,3,3,1983.64,5397.46,7110.17,100,3,3,100,0,0,
09/12/2010--09/07/2011,3,3,1983.64,5397.46,7110.17,100,3,3,100,0,0,
07/30/2007--07/24/2008,2,2,1648.78,4710.22,4710.22,100,2,2,100,0,0,
10/12/2010--10/07/2011,2,2,1591.38,4230.38,5922.07,100,2,2,100,0,0,
11/11/2010--11/06/2011,2,2,1591.38,4230.38,5922.07,100,2,2,100,0,0,
12/11/2010--12/06/2011,2,2,1591.38,4230.38,5922.07,100,2,2,100,0,0,
03/21/2009--03/16/2010,2,2,3861.73,3796.6,3861.73,100,2,2,100,0,0,
05/10/2011--05/04/2012,4,4,3183.51,3289.99,7773.88,100,4,4,100,0,0,
