Period,# of trades,winning trades,Simulated PorL,PorL,Best_of_PorL,winning percent,# of long trades,long winning trades,long winning percent,# of short trades,short winning trades,short winning percent
12/21/2008--12/16/2009,5,5,74090.73,75046.19,75076.34,100,5,5,100,0,0,
09/22/2008--09/17/2009,4,4,64601.25,65586.86,65586.86,100,4,4,100,0,0,
08/23/2008--08/18/2009,4,4,49255.15,50240.76,50240.76,100,4,4,100,0,0,
06/24/2008--06/19/2009,6,5,32020.02,34065.85,34065.85,83.3333333333,5,4,80,1,1,100
02/14/2010--02/09/2011,7,6,27885.06,27109.04,27897.85,85.7142857143,5,5,100,2,1,50
06/30/2007--06/24/2008,4,3,27261.61,26460.61,27276.71,75,4,3,75,0,0,
05/25/2008--05/20/2009,5,5,24287.39,26333.22,26333.22,100,4,4,100,1,1,100
05/01/2007--04/25/2008,4,3,26446.5,25615.8,26446.5,75,4,3,75,0,0,
03/16/2010--03/11/2011,7,6,25158.48,24382.46,25171.27,85.7142857143,5,5,100,2,1,50
07/30/2007--07/24/2008,4,3,22931.53,22130.53,22946.63,75,4,3,75,0,0,
11/16/2009--11/11/2010,8,7,16507.87,16366.69,17281.3,87.5,5,5,100,3,2,66.6666666667
12/06/2011--11/30/2012,12,10,5649.1,15184.79,17469.95,83.3333333333,9,8,88.8888888889,3,2,66.6666666667
10/07/2011--10/01/2012,10,8,5067.62,14150.57,15825.15,80,8,7,87.5,2,1,50
01/29/2013--01/24/2014,11,7,-176.71,14148.06,16057.15,63.6363636364,7,4,57.1428571429,4,3,75
01/10/2011--01/05/2012,12,9,13724.9,12509.37,14581.41,75,9,8,88.8888888889,3,1,33.3333333333
11/06/2011--10/31/2012,9,7,3532.33,11379.95,13011.26,77.7777777778,7,6,85.7142857143,2,1,50
10/17/2009--10/12/2010,9,8,10943.98,10691.22,11718.21,88.8888888889,6,6,100,3,2,66.6666666667
04/01/2007--03/26/2008,2,2,9837.58,9021.48,9837.58,100,2,2,100,0,0,
08/08/2011--08/02/2012,10,7,3515.65,8951.15,9762.8,70,9,6,66.6666666667,1,1,100
