Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,Strategy,Current-Pos
NFLX,LONG,2011-12-13,76.01,1249,No-Exit,0.0,0.0,2011-12-19,68.83,-8967.82,-8967.82,BB 20 SMA Xover Mtm,[]
FFIV,LONG,2012-01-10,111.99,774,No-Exit,0.0,0.0,2012-01-18,106.61,-4164.12,-4164.12,BB 20 SMA Xover Mtm,['CRM']
CRM,LONG,2012-01-11,26.46,156,No-Exit,0.0,0.0,2012-01-27,28.81,366.99,366.99,BB 20 SMA Xover Mtm,[]
AGN,LONG,2012-02-15,60.79,1365,No-Exit,0.0,0.0,2012-02-27,57.49,-4504.50,-4504.50,BB 20 SMA Xover Mtm,[]
NFLX,LONG,2012-03-20,115.47,680,No-Exit,0.0,0.0,2012-03-28,120.25,3250.40,3250.40,BB 20 SMA Xover Mtm,[]
AAPL,SHORT,2012-04-16,85.60,954,No-Exit,0.0,0.0,2012-04-24,80.37,4986.69,4986.69,BB 20 SMA Xover Mtm,['CMG']
CMG,SHORT,2012-04-23,413.90,193,No-Exit,0.0,0.0,2012-05-01,421.41,-1449.43,-1449.43,BB 20 SMA Xover Mtm,[]
CTXS,SHORT,2012-05-11,77.57,977,No-Exit,0.0,0.0,2012-05-21,77.88,-302.87,-302.87,BB 20 SMA Xover Mtm,['DISCA']
AAPL,LONG,2012-05-24,82.32,936,No-Exit,0.0,0.0,2012-06-04,78.77,-3322.80,-3322.80,BB 20 SMA Xover Mtm,['DISCA']
DISCA,SHORT,2012-05-09,50.29,1691,No-Exit,0.0,0.0,2012-06-06,49.30,1674.09,1674.09,BB 20 SMA Xover Mtm,[]
AMZN,SHORT,2012-07-11,217.31,191,No-Exit,0.0,0.0,2012-07-19,227.30,-1908.09,-1908.09,BB 20 SMA Xover Mtm,['QCOM', 'PCLN', 'FFIV', 'CRM']
PCLN,SHORT,2012-07-11,642.16,64,No-Exit,0.0,0.0,2012-07-19,677.66,-2272.00,-2272.00,BB 20 SMA Xover Mtm,['QCOM', 'FFIV', 'CRM']
FFIV,LONG,2012-07-19,99.58,252,No-Exit,0.0,0.0,2012-07-23,90.84,-2202.48,-2202.48,BB 20 SMA Xover Mtm,['QCOM', 'CRM']
CRM,LONG,2012-07-19,34.06,793,No-Exit,0.0,0.0,2012-07-25,32.00,-1631.60,-1631.60,BB 20 SMA Xover Mtm,['QCOM']
NFLX,SHORT-SPY-NULL,2012-07-26,59.31,829,No-Exit,0.0,0.0,2012-08-06,54.82,3726.35,0.0,BB 20 SMA Xover Mtm,['QCOM']
QCOM,LONG,2012-07-19,58.85,466,No-Exit,0.0,0.0,2012-08-21,62.27,1593.72,1593.72,BB 20 SMA Xover Mtm,['NFLX', 'CRM']
CRM,LONG,2012-08-07,33.51,1583,No-Exit,0.0,0.0,2012-08-22,36.44,4638.19,4638.19,BB 20 SMA Xover Mtm,['NFLX']
NFLX,LONG,2012-08-16,63.89,41,No-Exit,0.0,0.0,2012-08-23,64.48,24.19,24.19,BB 20 SMA Xover Mtm,[]
FFIV,SHORT-SPY-NULL,2012-08-31,96.42,23,No-Exit,0.0,0.0,2012-09-07,99.73,-76.13,0.0,BB 20 SMA Xover Mtm,['NFLX', 'PCLN']
NFLX,SHORT-SPY-NULL,2012-08-31,59.88,38,No-Exit,0.0,0.0,2012-09-07,56.68,121.60,0.0,BB 20 SMA Xover Mtm,['PCLN']
PCLN,LONG,2012-08-30,609.24,139,No-Exit,0.0,0.0,2012-09-20,633.94,3433.30,3433.30,BB 20 SMA Xover Mtm,['PM']
PM,LONG,2012-09-18,91.60,50,No-Exit,0.0,0.0,2012-10-09,92.11,25.50,25.50,BB 20 SMA Xover Mtm,['AAPL']
AAPL,SHORT,2012-09-26,95.26,881,No-Exit,0.0,0.0,2012-10-11,92.36,2557.42,2557.42,BB 20 SMA Xover Mtm,[]
AAPL,LONG,2012-11-26,82.46,1101,No-Exit,0.0,0.0,2012-12-05,81.27,-1307.04,-1307.04,BB 20 SMA Xover Mtm,[]
