Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Profit-Exit-Date,Profit-Exit-Price,Profit-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,Current-Pos
GD,LONG,2008-07-24,76.01,1249,2008-07-24,73.35,-3322.34,No-Exit,0.0,0.0,2008-07-25,74.53,-1853.00,-3322.34,[]
AAPL,LONG,2009-03-18,13.52,6901,No-Exit,0.0,0.0,2009-03-18,13.79,1867.10,2009-03-20,13.81,2035.14,1867.10,[]
AMZN,LONG,2009-06-02,85.00,1119,No-Exit,0.0,0.0,2009-06-05,87.00,2238.00,2009-06-08,85.99,1107.81,2238.00,[]
MA,LONG,2009-07-16,16.99,5663,No-Exit,0.0,0.0,2009-07-16,17.19,1113.15,2009-07-22,17.59,3418.33,1113.15,[]
AAPL,LONG,2010-09-09,35.85,2787,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2010-09-10,35.60,-697.48,-697.48,[]
AMZN,LONG,2010-11-26,178.09,554,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2010-11-29,177.86,-127.42,-127.42,[]
MA,LONG,2011-02-04,24.36,4051,No-Exit,0.0,0.0,2011-02-04,24.56,799.44,2011-02-09,24.52,664.20,799.44,[]
AMZN,LONG,2011-06-28,202.78,489,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2011-06-29,201.29,-728.61,-728.61,[]
GOOGL,LONG,2011-07-06,267.06,369,No-Exit,0.0,0.0,2011-07-06,268.06,369.00,2011-07-08,266.48,-215.86,369.00,[]
MA,LONG,2011-12-02,37.92,2605,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2011-12-05,37.85,-182.78,-182.78,[]
NFLX,LONG,2012-01-05,81.17,1210,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2012-01-06,79.12,-2480.50,-2480.50,[]
NFLX,LONG,2012-03-22,121.09,791,No-Exit,0.0,0.0,2012-03-22,123.09,1582.00,2012-03-23,119.44,-1305.15,1582.00,[]
AMZN,LONG,2012-06-19,223.96,422,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2012-06-20,222.63,-561.26,-561.26,[]
MA,LONG,2012-09-07,42.86,2196,No-Exit,0.0,0.0,2012-09-07,43.05,434.81,2012-09-17,44.98,4658.98,434.81,[]
WHR,LONG,2013-01-03,103.50,952,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2013-01-04,102.90,-569.40,-569.40,[]
AMZN,LONG,2013-06-10,278.69,351,No-Exit,0.0,0.0,2013-06-10,280.69,702.00,2013-06-12,274.15,-1593.54,702.00,[]
MA,LONG,2013-09-10,63.97,1515,No-Exit,0.0,0.0,2013-09-10,64.17,300.98,2013-09-17,66.88,4413.80,300.98,[]
AAPL,LONG,2013-11-27,75.04,1341,No-Exit,0.0,0.0,2013-11-27,75.32,375.26,2013-12-03,78.12,4125.07,375.26,[]
V,LONG,2014-01-21,232.64,453,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2014-01-22,230.67,-894.75,-894.75,[]
AGN,LONG,2014-11-19,269.86,384,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2014-11-20,264.58,-2027.52,-2027.52,[]
