Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Profit-Exit-Date,Profit-Exit-Price,Profit-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,Strategy,Current-Pos
AAPL,SHORT,2007-11-09,23.15,4042,No-Exit,0.0,0.0,2007-11-09,22.92,935.83,2007-11-26,23.58,-1726.99,935.83,BB 20 SMA Xover Mtm,[]
AAPL,LONG,2007-11-29,24.62,3791,No-Exit,0.0,0.0,2007-11-29,24.87,945.11,2007-12-18,24.34,-1071.54,945.11,BB 20 SMA Xover Mtm,[]
AAPL,SHORT,2008-01-07,24.11,3829,No-Exit,0.0,0.0,2008-01-07,23.87,938.83,2008-02-28,17.21,26442.44,938.83,BB 20 SMA Xover Mtm,[]
AAPL,SHORT,2008-03-07,16.20,7252,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2008-03-11,16.92,-5289.81,-5289.81,BB 20 SMA Xover Mtm,[]
AAPL,LONG,2008-03-12,17.40,6461,No-Exit,0.0,0.0,2008-03-14,17.58,1135.19,2008-05-21,24.22,44042.53,1135.19,BB 20 SMA Xover Mtm,[]
AAPL,SHORT,2008-05-22,23.86,6464,No-Exit,0.0,0.0,2008-05-22,23.62,1566.81,2008-05-27,24.81,-6131.35,1566.81,BB 20 SMA Xover Mtm,[]
AAPL,SHORT,2008-06-10,24.32,6103,No-Exit,0.0,0.0,2008-06-12,24.08,1498.05,2008-06-17,24.50,-1065.19,1498.05,BB 20 SMA Xover Mtm,[]
AAPL,LONG,2008-08-07,22.43,6572,2008-08-07,21.99,-2943.88,No-Exit,0.0,0.0,2008-08-29,22.92,3180.28,-2943.88,BB 20 SMA Xover Mtm,[]
AAPL,SHORT,2008-09-02,22.70,6627,2008-09-02,23.47,-5065.66,2008-09-02,22.47,1545.54,2008-10-14,15.73,46235.80,-5065.66,BB 20 SMA Xover Mtm,[]
AAPL,LONG,2008-10-29,13.65,14239,No-Exit,0.0,0.0,2008-10-29,13.79,2013.86,2008-11-06,13.49,-2300.09,2013.86,BB 20 SMA Xover Mtm,[]
AAPL,SHORT,2008-11-07,13.27,14481,No-Exit,0.0,0.0,2008-11-07,13.14,1944.06,2008-11-26,12.87,5872.93,1944.06,BB 20 SMA Xover Mtm,[]
AAPL,LONG,2009-01-06,12.98,15305,No-Exit,0.0,0.0,2009-01-06,13.11,1925.90,2009-01-07,12.25,-11111.52,1925.90,BB 20 SMA Xover Mtm,[]
AAPL,SHORT,2009-01-08,12.19,15360,2009-01-08,12.44,-3853.80,No-Exit,0.0,0.0,2009-01-09,12.61,-6462.35,-3853.80,BB 20 SMA Xover Mtm,[]
AAPL,SHORT,2009-01-13,11.87,15250,No-Exit,0.0,0.0,2009-01-13,11.75,1820.37,2009-01-22,11.90,-467.47,1820.37,BB 20 SMA Xover Mtm,[]
