Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Profit-Exit-Date,Profit-Exit-Price,Profit-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,Strategy,Current-Pos
AAPL,SHORT,2007-11-09,171.15,542,No-Exit,0,0,2007-11-09,169.44,927.63,2007-11-29,179.43,-4487.76,927.63,BB 20 SMA Xover Mtm,[]
AAPL,SHORT,2008-01-07,179.6,505,No-Exit,0,0,2008-01-07,177.79,915.31,2008-02-22,122.48,28845.54,915.31,BB 20 SMA Xover Mtm,[]
AAPL,LONG,2008-03-05,124.93,945,2008-03-05,122.95,-1868.5,No-Exit,0,0,2008-03-06,122.95,-1868.5,-1868.5,BB 20 SMA Xover Mtm,[]
AAPL,SHORT,2008-03-07,120.41,964,No-Exit,0,0,2008-03-07,119.21,1160.75,2008-03-11,125.11,-4533.49,1160.75,BB 20 SMA Xover Mtm,[]
AAPL,LONG,2008-03-12,127.67,877,No-Exit,0,0,2008-03-14,128.97,1139.05,2008-04-29,171.11,38098.22,1139.05,BB 20 SMA Xover Mtm,[]
AAPL,SHORT,2008-05-22,177.74,834,No-Exit,0,0,2008-05-22,175.95,1494.36,2008-05-27,183.42,-4733.27,1494.36,BB 20 SMA Xover Mtm,[]
AAPL,LONG,2008-05-28,187.49,769,No-Exit,0,0,2008-05-30,189.37,1441.88,2008-06-05,186.25,-953.56,1441.88,BB 20 SMA Xover Mtm,[]
AAPL,SHORT,2008-06-10,180.33,788,No-Exit,0,0,2008-06-12,178.52,1429.83,2008-07-09,180.25,63.04,1429.83,BB 20 SMA Xover Mtm,[]
AAPL,LONG,2008-08-07,164.6,868,2008-08-07,162.52,-1805.33,No-Exit,0,0,2008-09-02,172.4,6769.99,-1805.33,BB 20 SMA Xover Mtm,[]
AAPL,LONG,2008-10-29,100.86,1491,No-Exit,0,0,2008-10-29,101.91,1558.84,2008-11-06,98.96,-2829.02,1558.84,BB 20 SMA Xover Mtm,[]
AAPL,SHORT,2008-11-07,98.85,1483,No-Exit,0,0,2008-11-07,97.86,1471.73,2008-12-04,94.43,6558.2,1471.73,BB 20 SMA Xover Mtm,[]
AAPL,SHORT,2008-12-18,88.94,1719,No-Exit,0,0,2008-12-22,88.04,1547.44,2009-01-05,93.6,-8008.82,1547.44,BB 20 SMA Xover Mtm,[]
AAPL,LONG,2009-01-06,95.95,1532,No-Exit,0,0,2009-01-06,96.88,1425.07,2009-01-07,90.58,-8221.94,1425.07,BB 20 SMA Xover Mtm,[]
AAPL,SHORT,2009-01-08,90.43,1514,2009-01-08,91.95,-2308.24,No-Exit,0,0,2009-01-09,93.21,-4208.92,-2308.24,BB 20 SMA Xover Mtm,[]
AAPL,SHORT,2009-01-13,88.24,1509,No-Exit,0,0,2009-01-13,87.36,1331.54,2009-01-23,86.81,2157.87,1331.54,BB 20 SMA Xover Mtm,[]
AAPL,SHORT,2009-02-20,89.4,1498,No-Exit,0,0,2009-02-23,88.48,1372.17,2009-03-12,92.97,-5348.31,1372.17,BB 20 SMA Xover Mtm,[]
