Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,Strategy,Current-Pos
EOG,LONG,2007-09-06,35.04,2711,No-Exit,0.0,0.0,2007-09-18,35.50,1245.57,1245.57,BB 20 SMA Xover Mtm,[]
EOG,LONG,2007-12-06,43.05,2234,No-Exit,0.0,0.0,2007-12-14,44.51,3271.36,3271.36,BB 20 SMA Xover Mtm,[]
EOG,LONG,2008-02-04,45.17,2198,No-Exit,0.0,0.0,2008-02-15,48.64,7622.11,7622.11,BB 20 SMA Xover Mtm,[]
EOG,SHORT,2008-05-27,66.81,1594,No-Exit,0.0,0.0,2008-06-05,63.98,4510.70,4510.70,BB 20 SMA Xover Mtm,[]
EOG,LONG,2009-01-05,35.55,3117,No-Exit,0.0,0.0,2009-01-12,32.13,-10659.67,-10659.67,BB 20 SMA Xover Mtm,[]
EOG,LONG,2009-04-24,31.30,3316,No-Exit,0.0,0.0,2009-05-12,37.06,19102.32,19102.32,BB 20 SMA Xover Mtm,[]
EOG,SHORT,2009-06-18,36.26,3277,No-Exit,0.0,0.0,2009-06-25,34.21,6709.00,6709.00,BB 20 SMA Xover Mtm,[]
EOG,LONG,2009-07-16,33.57,3729,No-Exit,0.0,0.0,2009-07-23,35.70,7933.82,7933.82,BB 20 SMA Xover Mtm,[]
EOG,LONG,2009-09-09,37.19,3569,No-Exit,0.0,0.0,2009-09-21,40.16,10588.51,10588.51,BB 20 SMA Xover Mtm,[]
EOG,LONG,2010-02-26,47.08,3033,No-Exit,0.0,0.0,2010-03-15,48.45,4169.47,4169.47,BB 20 SMA Xover Mtm,[]
EOG,LONG,2010-04-05,48.27,3040,No-Exit,0.0,0.0,2010-04-16,53.87,17025.98,17025.98,BB 20 SMA Xover Mtm,[]
EOG,LONG,2010-09-13,46.58,3499,No-Exit,0.0,0.0,2010-09-17,44.24,-8176.64,-8176.64,BB 20 SMA Xover Mtm,[]
EOG,LONG,2010-09-22,45.26,3428,No-Exit,0.0,0.0,2010-10-14,48.94,12604.41,12604.41,BB 20 SMA Xover Mtm,[]
EOG,LONG,2010-12-02,46.27,3612,No-Exit,0.0,0.0,2011-01-20,49.89,13064.06,13064.06,BB 20 SMA Xover Mtm,[]
EOG,SHORT,2011-08-01,50.49,3556,No-Exit,0.0,0.0,2011-08-05,50.12,1298.30,1298.30,BB 20 SMA Xover Mtm,[]
EOG,LONG,2011-08-31,46.56,3882,No-Exit,0.0,0.0,2011-09-02,44.67,-7321.45,-7321.45,BB 20 SMA Xover Mtm,[]
EOG,LONG,2011-09-08,45.79,3796,No-Exit,0.0,0.0,2011-09-12,42.13,-13868.12,-13868.12,BB 20 SMA Xover Mtm,[]
EOG,LONG,2011-10-12,40.47,3969,No-Exit,0.0,0.0,2011-10-25,44.03,14114.56,14114.56,BB 20 SMA Xover Mtm,[]
EOG,LONG,2012-10-17,57.44,3030,No-Exit,0.0,0.0,2012-11-08,59.94,7563.79,7563.79,BB 20 SMA Xover Mtm,[]
EOG,LONG,2013-05-06,62.61,2895,No-Exit,0.0,0.0,2013-05-10,67.33,13666.14,13666.14,BB 20 SMA Xover Mtm,[]
EOG,LONG,2013-12-20,83.49,2326,No-Exit,0.0,0.0,2014-01-24,83.73,563.36,563.36,BB 20 SMA Xover Mtm,[]
EOG,SHORT,2014-01-27,81.94,2377,No-Exit,0.0,0.0,2014-02-06,85.74,-9029.03,-9029.03,BB 20 SMA Xover Mtm,[]
EOG,LONG,2014-08-26,109.02,1707,No-Exit,0.0,0.0,2014-09-04,105.21,-6507.25,-6507.25,BB 20 SMA Xover Mtm,[]
EOG,LONG,2014-10-22,96.99,1856,No-Exit,0.0,0.0,2014-10-24,90.70,-11670.34,-11670.34,BB 20 SMA Xover Mtm,[]
