Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Profit-Exit-Date,Profit-Exit-Price,Profit-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,Strategy,Current-Pos
HK_0700,SHORT,2007-11-08,53.00,170,No-Exit,0.0,0.0,2007-11-08,52.47,90.10,2007-11-29,54.29,-219.55,90.10,BB 20 SMA Xover Mtm,[]
HK_0700,SHORT,2007-12-19,52.17,181,No-Exit,0.0,0.0,2007-12-19,51.64,96.29,2007-12-20,54.91,-494.85,96.29,BB 20 SMA Xover Mtm,[]
HK_0700,SHORT,2008-01-15,55.89,168,No-Exit,0.0,0.0,2008-01-15,55.31,95.84,2008-02-04,50.50,904.76,95.84,BB 20 SMA Xover Mtm,[]
HK_0700,SHORT,2008-07-15,60.98,156,No-Exit,0.0,0.0,2008-07-15,60.37,95.63,2008-07-18,63.00,-314.26,95.63,BB 20 SMA Xover Mtm,[]
HK_0700,SHORT,2008-08-13,64.00,147,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2008-08-14,67.50,-514.50,-514.50,BB 20 SMA Xover Mtm,[]
HK_0700,SHORT,2008-09-05,60.00,151,No-Exit,0.0,0.0,2008-09-05,59.40,90.60,2008-09-19,63.00,-453.00,90.60,BB 20 SMA Xover Mtm,[]
HK_0700,SHORT,2008-10-23,47.05,194,No-Exit,0.0,0.0,2008-10-23,46.58,91.28,2008-10-29,49.05,-388.39,91.28,BB 20 SMA Xover Mtm,[]
HK_0700,SHORT,2008-11-07,46.00,195,2008-11-07,50.51,-879.94,No-Exit,0.0,0.0,2008-11-10,54.90,-1735.50,-879.94,BB 20 SMA Xover Mtm,[]
HK_0700,SHORT,2008-11-19,46.73,196,No-Exit,0.0,0.0,2008-11-19,46.25,93.98,2008-12-03,45.61,219.13,93.98,BB 20 SMA Xover Mtm,[]
HK_0700,LONG,2008-12-09,48.95,190,No-Exit,0.0,0.0,2008-12-09,49.44,92.53,2009-01-08,46.59,-448.12,92.53,BB 20 SMA Xover Mtm,[]
HK_0700,SHORT,2009-02-05,45.34,202,No-Exit,0.0,0.0,2009-02-05,44.88,92.92,2009-02-06,46.47,-226.95,92.92,BB 20 SMA Xover Mtm,[]
HK_0700,LONG,2009-02-09,47.40,197,No-Exit,0.0,0.0,2009-02-11,47.87,92.10,2009-02-24,44.86,-499.59,92.10,BB 20 SMA Xover Mtm,[]
HK_0700,SHORT,2009-06-19,84.79,107,2009-06-19,86.66,-199.88,No-Exit,0.0,0.0,2009-06-22,91.00,-664.10,-199.88,BB 20 SMA Xover Mtm,[]
HK_0700,SHORT,2009-07-03,88.65,101,No-Exit,0.0,0.0,2009-07-06,87.76,90.39,2009-07-07,90.52,-188.47,90.39,BB 20 SMA Xover Mtm,[]
HK_0700,SHORT,2009-09-03,113.50,79,2009-09-03,115.96,-194.50,No-Exit,0.0,0.0,2009-09-04,115.96,-194.50,-194.50,BB 20 SMA Xover Mtm,[]
HK_0700,LONG,2009-11-11,145.00,51,No-Exit,0.0,0.0,2009-11-11,146.49,76.09,2009-11-27,139.86,-262.24,76.09,BB 20 SMA Xover Mtm,['HK_0700']
HK_0700,SHORT,2010-01-20,158.00,46,No-Exit,0.0,0.0,2010-01-20,156.42,72.68,2010-02-12,148.48,438.06,72.68,BB 20 SMA Xover Mtm,['HK_0700']
HK_0700,LONG,2010-04-12,163.01,45,No-Exit,0.0,0.0,2010-04-12,164.63,72.72,2010-04-16,157.89,-230.76,72.72,BB 20 SMA Xover Mtm,['HK_0700']
HK_0700,SHORT,2010-05-07,147.90,48,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2010-05-14,161.79,-666.53,-666.53,BB 20 SMA Xover Mtm,['HK_0700']
HK_0700,LONG,2009-10-08,128.90,63,No-Exit,0.0,0.0,2009-10-08,130.21,82.22,2010-06-17,125.07,-241.04,82.22,BB 20 SMA Xover Mtm,['HK_0700']
HK_0700,SHORT,2010-08-24,146.62,55,No-Exit,0.0,0.0,2010-08-24,145.15,80.85,2010-09-06,150.48,-212.41,80.85,BB 20 SMA Xover Mtm,['HK_0700']
HK_0700,SHORT,2010-10-29,174.74,46,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2010-11-01,186.00,-518.19,-518.19,BB 20 SMA Xover Mtm,['HK_0700']
HK_0700,SHORT,2010-12-17,172.06,46,No-Exit,0.0,0.0,2010-12-17,170.34,79.21,2010-12-23,177.00,-227.15,79.21,BB 20 SMA Xover Mtm,['HK_0700']
HK_0700,SHORT,2011-02-23,193.30,37,No-Exit,0.0,0.0,2011-02-23,191.37,71.52,2011-02-28,201.89,-317.90,71.52,BB 20 SMA Xover Mtm,['HK_0700']
HK_0700,LONG,2011-03-01,210.00,34,No-Exit,0.0,0.0,2011-03-01,212.11,71.81,2011-03-17,198.00,-408.00,71.81,BB 20 SMA Xover Mtm,['HK_0700']
HK_0700,SHORT,2011-03-18,191.27,37,No-Exit,0.0,0.0,2011-03-23,189.36,70.49,2011-04-20,212.06,-769.19,70.49,BB 20 SMA Xover Mtm,['HK_0700']
HK_0700,LONG,2011-01-05,179.68,44,No-Exit,0.0,0.0,2011-01-12,181.48,79.42,2011-08-19,173.43,-274.91,79.42,BB 20 SMA Xover Mtm,['HK_0700']
HK_0700,LONG,2011-09-01,190.00,45,No-Exit,0.0,0.0,2011-09-01,191.88,84.42,2011-09-06,180.00,-450.00,84.42,BB 20 SMA Xover Mtm,['HK_0700']
HK_0700,SHORT,2011-09-14,174.64,48,No-Exit,0.0,0.0,2011-09-14,172.84,86.40,2011-10-07,168.58,290.50,86.40,BB 20 SMA Xover Mtm,['HK_0700']
HK_0700,LONG,2011-10-25,176.20,48,No-Exit,0.0,0.0,2011-10-27,178.00,86.40,2011-11-08,171.00,-249.60,86.40,BB 20 SMA Xover Mtm,['HK_0700']
HK_0700,SHORT-SPY-NULL,2011-12-12,147.31,57,No-Exit,0.0,0.0,2011-12-12,145.80,86.07,2011-12-21,157.50,-580.72,0.0,BB 20 SMA Xover Mtm,['HK_0700']
HK_0700,SHORT,2011-06-08,214.83,32,No-Exit,0.0,0.0,2011-06-09,212.67,69.12,2012-03-16,219.72,-156.48,69.12,BB 20 SMA Xover Mtm,['HK_0700']
HK_0700,SHORT,2012-07-12,224.40,34,No-Exit,0.0,0.0,2012-07-12,222.16,76.30,2012-07-20,231.32,-235.35,76.30,BB 20 SMA Xover Mtm,['HK_0700']
HK_0700,SHORT,2012-11-15,255.00,28,No-Exit,0.0,0.0,2012-11-15,252.45,71.40,2013-01-21,272.96,-502.82,71.40,BB 20 SMA Xover Mtm,['HK_0700']
HK_0700,LONG,2013-01-03,261.00,32,No-Exit,0.0,0.0,2013-01-16,263.60,83.33,2013-03-21,247.88,-419.97,83.33,BB 20 SMA Xover Mtm,['HK_0700']
HK_0700,SHORT,2013-03-19,260.57,26,No-Exit,0.0,0.0,2013-03-19,257.88,69.78,2013-05-03,282.00,-557.23,69.78,BB 20 SMA Xover Mtm,['HK_0700']
HK_0700,SHORT,2013-08-22,353.00,21,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2013-08-27,364.82,-248.22,-248.22,BB 20 SMA Xover Mtm,['HK_0700']
HK_0700,LONG,2013-11-18,429.00,16,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2013-11-19,415.33,-218.66,-218.66,BB 20 SMA Xover Mtm,['HK_0700']
HK_0700,SHORT,2014-02-05,505.39,13,2014-02-05,522.00,-215.87,No-Exit,0.0,0.0,2014-02-07,517.00,-150.86,-215.87,BB 20 SMA Xover Mtm,['HK_0700']
HK_0700,SHORT,2014-03-14,581.00,11,No-Exit,0.0,0.0,2014-03-14,575.19,63.91,2014-04-10,548.88,353.32,63.91,BB 20 SMA Xover Mtm,['HK_0700']
HK_0700,LONG,2009-09-07,123.52,72,No-Exit,0.0,0.0,2009-09-07,124.80,92.16,2014-05-15,102.80,-1492.06,92.16,BB 20 SMA Xover Mtm,['HK_0700']
HK_0700,LONG,2013-09-03,380.16,19,No-Exit,0.0,0.0,2013-09-03,383.96,72.16,2014-05-15,102.80,-5269.92,72.16,BB 20 SMA Xover Mtm,[]
HK_0700,LONG,2014-06-12,117.56,65,No-Exit,0.0,0.0,2014-06-12,118.72,75.14,2014-09-11,120.50,190.84,75.14,BB 20 SMA Xover Mtm,[]
