Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Profit-Exit-Date,Profit-Exit-Price,Profit-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,Strategy,Current-Pos
LON_ARM,SHORT,2009-01-12,84.89,111,No-Exit,0.0,0.0,2009-01-13,84.03,95.74,2009-01-27,89.08,-465.09,95.74,BB 20 SMA Xover Mtm,[]
LON_ARM,LONG,2009-01-28,90.39,104,No-Exit,0.0,0.0,2009-01-28,91.33,97.50,2009-02-02,85.94,-463.06,97.50,BB 20 SMA Xover Mtm,[]
LON_ARM,SHORT,2009-02-20,88.00,105,No-Exit,0.0,0.0,2009-02-20,87.12,92.40,2009-02-25,93.18,-543.38,92.40,BB 20 SMA Xover Mtm,[]
LON_ARM,LONG,2009-02-26,94.44,99,No-Exit,0.0,0.0,2009-02-26,95.40,95.29,2009-03-03,91.94,-247.01,95.29,BB 20 SMA Xover Mtm,[]
LON_ARM,SHORT,2009-03-04,92.07,101,No-Exit,0.0,0.0,2009-03-04,91.14,94.18,2009-03-10,94.61,-256.03,94.18,BB 20 SMA Xover Mtm,[]
LON_ARM,SHORT,2009-05-07,113.60,74,No-Exit,0.0,0.0,2009-05-07,112.45,85.47,2009-05-19,116.25,-195.91,85.47,BB 20 SMA Xover Mtm,['LON_ARM']
LON_ARM,LONG,2009-03-11,96.00,97,No-Exit,0.0,0.0,2009-03-13,96.99,96.03,2009-06-10,109.00,1261.00,96.03,BB 20 SMA Xover Mtm,['LON_ARM']
LON_ARM,SHORT,2009-05-22,110.88,75,No-Exit,0.0,0.0,2009-05-26,109.78,82.69,2009-06-26,116.00,-384.00,82.69,BB 20 SMA Xover Mtm,['LON_ARM']
LON_ARM,SHORT,2009-08-06,124.15,68,No-Exit,0.0,0.0,2009-08-07,122.90,84.66,2009-08-21,128.29,-281.55,84.66,BB 20 SMA Xover Mtm,['LON_ARM']
LON_ARM,LONG,2009-06-19,108.83,86,No-Exit,0.0,0.0,2009-06-19,109.95,96.96,2009-09-18,134.80,2233.64,96.96,BB 20 SMA Xover Mtm,[]
LON_ARM,SHORT,2009-10-29,144.84,66,No-Exit,0.0,0.0,2009-10-29,143.39,95.70,2009-10-30,150.93,-402.34,95.70,BB 20 SMA Xover Mtm,[]
LON_ARM,SHORT,2009-11-27,152.40,62,2009-11-27,156.84,-275.34,No-Exit,0.0,0.0,2009-11-30,158.30,-365.80,-275.34,BB 20 SMA Xover Mtm,[]
LON_ARM,SHORT,2010-05-06,242.70,38,2010-05-06,248.67,-226.75,No-Exit,0.0,0.0,2010-05-10,248.67,-226.75,-226.75,BB 20 SMA Xover Mtm,[]
LON_ARM,SHORT,2010-05-17,239.00,39,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2010-05-18,250.60,-452.40,-452.40,BB 20 SMA Xover Mtm,[]
LON_ARM,LONG,2010-06-01,248.66,37,No-Exit,0.0,0.0,2010-06-01,251.19,93.43,2010-09-01,362.00,4193.51,93.43,BB 20 SMA Xover Mtm,[]
LON_ARM,SHORT,2010-10-07,385.41,25,No-Exit,0.0,0.0,2010-10-07,381.51,97.32,2010-10-18,401.25,-396.09,97.32,BB 20 SMA Xover Mtm,[]
LON_ARM,SHORT,2010-12-16,386.60,22,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2010-12-21,397.53,-240.58,-240.58,BB 20 SMA Xover Mtm,['LON_ARM']
LON_ARM,LONG,2010-11-19,374.31,26,No-Exit,0.0,0.0,2010-11-19,378.16,100.07,2011-02-18,630.00,6648.04,100.07,BB 20 SMA Xover Mtm,[]
LON_ARM,SHORT,2011-02-23,573.50,17,No-Exit,0.0,0.0,2011-02-23,567.76,97.50,2011-02-25,592.97,-330.91,97.50,BB 20 SMA Xover Mtm,[]
LON_ARM,LONG,2011-02-28,614.08,16,No-Exit,0.0,0.0,2011-02-28,620.25,98.72,2011-03-01,589.64,-390.96,98.72,BB 20 SMA Xover Mtm,[]
LON_ARM,SHORT,2011-03-02,588.50,17,No-Exit,0.0,0.0,2011-03-02,582.62,100.04,2011-03-28,560.91,468.94,100.04,BB 20 SMA Xover Mtm,[]
LON_ARM,SHORT,2011-05-16,578.65,17,No-Exit,0.0,0.0,2011-05-16,572.87,98.43,2011-05-19,595.05,-278.63,98.43,BB 20 SMA Xover Mtm,[]
LON_ARM,SHORT,2011-06-17,555.00,18,No-Exit,0.0,0.0,2011-06-20,549.50,99.00,2011-06-24,584.50,-531.00,99.00,BB 20 SMA Xover Mtm,[]
LON_ARM,SHORT,2011-07-15,562.50,18,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2011-07-20,600.00,-675.00,-675.00,BB 20 SMA Xover Mtm,[]
LON_ARM,LONG,2011-07-21,618.00,16,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2011-07-26,588.54,-471.36,-471.36,BB 20 SMA Xover Mtm,[]
LON_ARM,SHORT,2011-07-27,589.54,17,No-Exit,0.0,0.0,2011-07-27,583.63,100.47,2011-08-24,525.38,1090.89,100.47,BB 20 SMA Xover Mtm,[]
LON_ARM,LONG,2011-08-25,535.30,19,No-Exit,0.0,0.0,2011-08-25,540.58,100.41,2011-09-20,517.97,-329.27,100.41,BB 20 SMA Xover Mtm,[]
LON_ARM,SHORT,2011-09-26,557.50,18,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2011-09-27,581.72,-435.96,-435.96,BB 20 SMA Xover Mtm,[]
LON_ARM,LONG,2011-09-28,598.93,17,2011-09-28,574.22,-420.07,No-Exit,0.0,0.0,2011-09-29,574.22,-420.07,-420.07,BB 20 SMA Xover Mtm,[]
LON_ARM,SHORT,2011-09-30,550.00,17,No-Exit,0.0,0.0,2011-10-03,544.57,92.31,2011-10-10,587.33,-634.61,92.31,BB 20 SMA Xover Mtm,[]
LON_ARM,LONG,2011-10-11,596.91,16,No-Exit,0.0,0.0,2011-10-17,602.91,96.08,2011-10-20,573.44,-375.52,96.08,BB 20 SMA Xover Mtm,[]
LON_ARM,SHORT,2011-10-21,559.70,18,No-Exit,0.0,0.0,2011-10-21,554.01,102.42,2011-10-24,581.40,-390.59,102.42,BB 20 SMA Xover Mtm,[]
LON_ARM,LONG,2011-10-26,595.90,16,No-Exit,0.0,0.0,2011-10-26,601.75,93.68,2011-11-01,562.00,-542.40,93.68,BB 20 SMA Xover Mtm,[]
LON_ARM,SHORT,2011-11-21,589.50,16,No-Exit,0.0,0.0,2011-11-21,583.61,94.32,2012-01-05,615.13,-410.08,94.32,BB 20 SMA Xover Mtm,[]
LON_ARM,LONG,2012-03-13,578.23,17,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2012-03-14,565.28,-220.15,-220.15,BB 20 SMA Xover Mtm,[]
LON_ARM,SHORT,2012-04-11,575.00,17,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2012-04-16,594.90,-338.30,-338.30,BB 20 SMA Xover Mtm,[]
LON_ARM,SHORT,2012-04-23,578.00,16,No-Exit,0.0,0.0,2012-04-23,572.22,92.48,2012-05-25,503.30,1195.20,92.48,BB 20 SMA Xover Mtm,[]
LON_ARM,LONG,2012-05-29,506.51,19,No-Exit,0.0,0.0,2012-05-31,511.62,97.00,2012-06-12,490.79,-298.68,97.00,BB 20 SMA Xover Mtm,[]
LON_ARM,LONG,2012-06-20,513.08,19,No-Exit,0.0,0.0,2012-06-20,518.28,98.71,2012-06-26,494.21,-358.53,98.71,BB 20 SMA Xover Mtm,['LON_ARM']
LON_ARM,SHORT,2012-06-26,494.70,18,No-Exit,0.0,0.0,2012-06-26,489.74,89.37,2012-07-02,509.13,-259.63,89.37,BB 20 SMA Xover Mtm,['LON_ARM']
LON_ARM,LONG,2012-07-02,510.56,19,No-Exit,0.0,0.0,2012-07-04,515.70,97.66,2012-07-09,497.92,-240.16,97.66,BB 20 SMA Xover Mtm,[]
LON_ARM,SHORT,2012-07-10,490.94,20,No-Exit,0.0,0.0,2012-07-10,486.02,98.32,2012-07-25,509.80,-377.26,98.32,BB 20 SMA Xover Mtm,[]
LON_ARM,LONG,2012-07-26,531.76,18,No-Exit,0.0,0.0,2012-07-26,537.21,97.92,2012-10-25,669.50,2479.23,97.92,BB 20 SMA Xover Mtm,[]
LON_ARM,SHORT,2012-12-14,743.49,13,No-Exit,0.0,0.0,2012-12-17,736.10,96.07,2012-12-19,763.00,-253.63,96.07,BB 20 SMA Xover Mtm,['LON_ARM']
LON_ARM,LONG,2012-12-19,764.57,13,No-Exit,0.0,0.0,2012-12-19,772.32,100.75,2013-03-20,903.50,1806.09,100.75,BB 20 SMA Xover Mtm,[]
LON_ARM,LONG,2013-04-24,1010.00,10,No-Exit,0.0,0.0,2013-05-01,1019.99,99.90,2013-05-22,1019.82,98.15,99.90,BB 20 SMA Xover Mtm,[]
LON_ARM,SHORT,2013-07-26,850.41,11,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2013-07-31,876.98,-292.28,-292.28,BB 20 SMA Xover Mtm,['LON_ARM']
