Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Profit-Exit-Date,Profit-Exit-Price,Profit-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,Strategy,Current-Pos
L_TSCO,LONG,2007-08-08,423.95,22,No-Exit,0.0,0.0,2007-08-08,428.26,94.88,2007-08-16,411.31,-277.91,94.88,BB 20 SMA Xover Mtm,[]
L_TSCO,SHORT,2007-08-17,399.96,23,No-Exit,0.0,0.0,2007-08-17,395.95,92.29,2007-08-23,417.94,-413.54,92.29,BB 20 SMA Xover Mtm,[]
L_TSCO,LONG,2007-08-24,420.16,22,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2007-08-29,407.55,-277.37,-277.37,BB 20 SMA Xover Mtm,['L_TSCO']
L_TSCO,SHORT,2007-08-29,409.37,20,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2007-08-30,417.75,-167.65,-167.65,BB 20 SMA Xover Mtm,[]
L_TSCO,LONG,2007-08-31,426.98,21,No-Exit,0.0,0.0,2007-09-04,431.27,90.04,2007-10-22,410.47,-346.61,90.04,BB 20 SMA Xover Mtm,[]
L_TSCO,SHORT,2007-11-08,460.00,20,2007-11-08,476.06,-321.20,No-Exit,0.0,0.0,2007-11-13,476.06,-321.20,-321.20,BB 20 SMA Xover Mtm,[]
L_TSCO,LONG,2007-11-14,488.00,19,No-Exit,0.0,0.0,2007-11-14,492.92,93.48,2007-11-19,466.89,-401.04,93.48,BB 20 SMA Xover Mtm,[]
L_TSCO,LONG,2008-02-19,412.08,22,2008-02-19,403.71,-184.19,2008-02-19,416.23,91.30,2008-02-22,403.71,-184.19,-184.19,BB 20 SMA Xover Mtm,['L_TSCO']
L_TSCO,LONG,2008-03-07,407.03,23,2008-03-07,397.10,-228.50,No-Exit,0.0,0.0,2008-03-13,397.10,-228.50,-228.50,BB 20 SMA Xover Mtm,['L_TSCO']
L_TSCO,SHORT,2008-01-03,467.03,19,2008-01-03,478.37,-215.36,2008-01-03,462.34,89.16,2008-04-03,408.50,1112.12,-215.36,BB 20 SMA Xover Mtm,['L_TSCO']
L_TSCO,LONG,2008-04-02,413.25,22,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2008-04-11,387.03,-576.73,-576.73,BB 20 SMA Xover Mtm,['L_TSCO']
L_TSCO,SHORT,2008-04-11,387.83,21,2008-04-11,395.83,-167.95,No-Exit,0.0,0.0,2008-04-15,400.00,-255.52,-167.95,BB 20 SMA Xover Mtm,[]
L_TSCO,SHORT,2008-05-21,418.77,22,No-Exit,0.0,0.0,2008-05-21,414.52,93.39,2008-06-20,431.62,-282.70,93.39,BB 20 SMA Xover Mtm,[]
L_TSCO,LONG,2008-07-17,384.10,24,No-Exit,0.0,0.0,2008-07-17,387.99,93.31,2008-07-31,362.01,-530.09,93.31,BB 20 SMA Xover Mtm,[]
L_TSCO,SHORT,2008-08-14,373.13,24,2008-08-14,382.59,-226.99,No-Exit,0.0,0.0,2008-08-15,388.30,-364.06,-226.99,BB 20 SMA Xover Mtm,[]
L_TSCO,SHORT,2008-08-20,374.42,24,2008-08-20,383.29,-212.86,2008-08-20,370.64,90.72,2008-08-22,383.29,-212.86,-212.86,BB 20 SMA Xover Mtm,[]
L_TSCO,SHORT,2008-08-28,375.70,24,2008-08-28,384.11,-201.84,No-Exit,0.0,0.0,2008-08-29,384.80,-218.28,-201.84,BB 20 SMA Xover Mtm,[]
L_TSCO,SHORT,2008-09-05,373.33,24,No-Exit,0.0,0.0,2008-09-05,369.59,89.71,2008-09-08,387.76,-346.25,89.71,BB 20 SMA Xover Mtm,[]
L_TSCO,LONG,2008-09-09,387.84,23,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2008-09-10,378.85,-206.66,-206.66,BB 20 SMA Xover Mtm,[]
L_TSCO,SHORT,2008-09-11,377.98,24,No-Exit,0.0,0.0,2008-09-11,374.16,91.68,2008-09-18,386.09,-194.66,91.68,BB 20 SMA Xover Mtm,[]
L_TSCO,LONG,2008-09-19,391.27,23,2008-09-19,376.26,-345.30,2008-09-19,395.22,90.69,2008-09-25,376.26,-345.30,-345.30,BB 20 SMA Xover Mtm,[]
L_TSCO,SHORT,2008-09-26,366.00,24,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2008-09-30,384.08,-434.04,-434.04,BB 20 SMA Xover Mtm,[]
L_TSCO,LONG,2008-10-01,391.48,22,No-Exit,0.0,0.0,2008-10-01,395.42,86.79,2008-10-08,374.56,-372.17,86.79,BB 20 SMA Xover Mtm,[]
L_TSCO,LONG,2008-11-05,344.51,25,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2008-11-06,334.13,-259.43,-259.43,BB 20 SMA Xover Mtm,[]
L_TSCO,SHORT,2008-11-11,319.50,27,2008-11-11,336.28,-453.19,2008-11-11,316.31,86.26,2008-11-14,336.28,-453.19,-453.19,BB 20 SMA Xover Mtm,[]
L_TSCO,LONG,2008-12-03,328.65,27,No-Exit,0.0,0.0,2008-12-03,332.00,90.42,2008-12-19,310.61,-487.16,90.42,BB 20 SMA Xover Mtm,[]
L_TSCO,SHORT,2009-01-15,343.13,25,No-Exit,0.0,0.0,2009-01-15,339.69,86.20,2009-01-19,355.84,-317.67,86.20,BB 20 SMA Xover Mtm,[]
L_TSCO,LONG,2009-01-26,360.06,24,No-Exit,0.0,0.0,2009-01-28,363.68,86.71,2009-01-30,350.88,-220.44,86.71,BB 20 SMA Xover Mtm,[]
L_TSCO,SHORT,2009-02-16,355.11,24,No-Exit,0.0,0.0,2009-02-16,351.54,85.80,2009-03-16,335.53,469.99,85.80,BB 20 SMA Xover Mtm,['L_TSCO']
L_TSCO,LONG,2009-03-16,331.18,26,No-Exit,0.0,0.0,2009-03-16,334.55,87.54,2009-03-20,324.38,-176.88,87.54,BB 20 SMA Xover Mtm,[]
L_TSCO,SHORT,2009-03-30,314.32,28,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2009-03-31,325.54,-314.16,-314.16,BB 20 SMA Xover Mtm,[]
L_TSCO,LONG,2009-04-17,339.90,26,No-Exit,0.0,0.0,2009-04-21,343.28,87.88,2009-05-01,326.08,-359.19,87.88,BB 20 SMA Xover Mtm,[]
L_TSCO,SHORT,2009-05-01,333.83,23,2009-05-01,342.07,-189.61,2009-05-01,330.46,77.46,2009-05-05,342.50,-199.46,-189.61,BB 20 SMA Xover Mtm,[]
L_TSCO,LONG,2009-06-05,364.70,23,No-Exit,0.0,0.0,2009-06-05,368.33,83.60,2009-06-17,352.47,-281.36,83.60,BB 20 SMA Xover Mtm,[]
L_TSCO,LONG,2009-07-13,360.97,24,2009-07-13,351.71,-222.43,2009-07-13,364.60,87.10,2009-08-27,351.71,-222.43,-222.43,BB 20 SMA Xover Mtm,[]
L_TSCO,LONG,2010-03-02,437.38,19,No-Exit,0.0,0.0,2010-03-09,441.80,83.93,2010-05-06,419.06,-348.05,83.93,BB 20 SMA Xover Mtm,[]
L_TSCO,LONG,2010-07-08,396.07,21,No-Exit,0.0,0.0,2010-07-13,400.04,83.26,2010-10-07,442.45,973.95,83.26,BB 20 SMA Xover Mtm,[]
L_TSCO,SHORT,2010-12-31,425.25,20,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2011-01-04,434.55,-185.82,-185.82,BB 20 SMA Xover Mtm,[]
L_TSCO,SHORT,2011-03-02,396.54,21,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2011-03-04,406.32,-205.19,-205.19,BB 20 SMA Xover Mtm,[]
L_TSCO,LONG,2011-03-04,406.02,21,No-Exit,0.0,0.0,2011-03-04,410.04,84.37,2011-03-08,397.80,-172.72,84.37,BB 20 SMA Xover Mtm,[]
L_TSCO,LONG,2011-04-04,392.84,22,No-Exit,0.0,0.0,2011-04-07,396.77,86.58,2011-07-05,405.15,270.83,86.58,BB 20 SMA Xover Mtm,[]
L_TSCO,SHORT,2011-08-19,367.83,23,No-Exit,0.0,0.0,2011-08-19,364.14,85.05,2011-08-22,382.78,-343.82,85.05,BB 20 SMA Xover Mtm,[]
L_TSCO,LONG,2011-08-23,381.48,22,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2011-08-25,372.99,-186.70,-186.70,BB 20 SMA Xover Mtm,[]
L_TSCO,SHORT,2011-08-26,364.12,23,No-Exit,0.0,0.0,2011-08-26,360.45,84.46,2011-08-31,377.84,-315.41,84.46,BB 20 SMA Xover Mtm,[]
L_TSCO,LONG,2011-09-01,382.39,22,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2011-09-05,368.60,-303.20,-303.20,BB 20 SMA Xover Mtm,[]
L_TSCO,SHORT,2011-09-12,361.95,23,No-Exit,0.0,0.0,2011-09-22,358.37,82.45,2011-09-27,380.50,-426.65,82.45,BB 20 SMA Xover Mtm,['L_TSCO']
L_TSCO,SHORT,2011-11-01,397.50,19,No-Exit,0.0,0.0,2011-11-01,393.52,75.53,2011-11-03,407.48,-189.71,75.53,BB 20 SMA Xover Mtm,['L_TSCO']
L_TSCO,SHORT,2011-11-10,397.73,19,No-Exit,0.0,0.0,2011-11-21,393.80,74.80,2011-12-01,408.71,-208.67,74.80,BB 20 SMA Xover Mtm,['L_TSCO']
L_TSCO,SHORT,2011-12-08,392.93,19,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2011-12-09,401.83,-169.11,-169.11,BB 20 SMA Xover Mtm,['L_TSCO']
L_TSCO,LONG,2011-09-27,380.50,22,No-Exit,0.0,0.0,2011-09-27,384.35,84.59,2011-12-28,392.95,273.90,84.59,BB 20 SMA Xover Mtm,[]
L_TSCO,SHORT,2012-01-09,386.99,22,No-Exit,0.0,0.0,2012-01-12,383.50,76.78,2012-02-07,326.01,1341.54,76.78,BB 20 SMA Xover Mtm,[]
L_TSCO,SHORT,2012-04-05,322.69,24,No-Exit,0.0,0.0,2012-04-10,319.46,77.56,2012-04-18,334.00,-271.43,77.56,BB 20 SMA Xover Mtm,['L_TSCO']
L_TSCO,LONG,2012-03-12,321.48,26,No-Exit,0.0,0.0,2012-03-14,324.71,83.95,2012-04-23,314.02,-193.92,83.95,BB 20 SMA Xover Mtm,[]
L_TSCO,LONG,2013-01-03,346.18,24,No-Exit,0.0,0.0,2013-01-03,349.68,84.00,2013-04-04,377.30,746.94,84.00,BB 20 SMA Xover Mtm,[]
L_TSCO,SHORT,2013-04-18,366.05,23,No-Exit,0.0,0.0,2013-04-19,362.37,84.67,2013-05-20,382.70,-382.89,84.67,BB 20 SMA Xover Mtm,[]
L_TSCO,SHORT,2013-05-30,368.00,23,No-Exit,0.0,0.0,2013-05-30,364.32,84.64,2013-07-26,380.55,-288.65,84.64,BB 20 SMA Xover Mtm,['L_TSCO']
L_TSCO,LONG,2013-07-05,343.30,25,No-Exit,0.0,0.0,2013-07-10,346.78,87.05,2013-10-04,365.90,565.03,87.05,BB 20 SMA Xover Mtm,[]
L_TSCO,SHORT,2014-01-09,323.00,26,No-Exit,0.0,0.0,2014-01-09,319.77,83.98,2014-01-16,334.00,-286.01,83.98,BB 20 SMA Xover Mtm,[]
L_TSCO,LONG,2014-04-23,295.32,29,No-Exit,0.0,0.0,2014-04-25,298.32,87.03,2014-05-01,287.15,-237.09,87.03,BB 20 SMA Xover Mtm,[]
L_TSCO,SHORT,2014-06-03,297.54,26,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2014-06-04,305.00,-193.84,-193.84,BB 20 SMA Xover Mtm,['L_TSCO']
L_TSCO,LONG,2014-05-09,297.95,28,No-Exit,0.0,0.0,2014-05-15,300.92,83.05,2014-06-06,288.47,-265.30,83.05,BB 20 SMA Xover Mtm,[]
L_TSCO,SHORT,2014-07-08,286.31,29,No-Exit,0.0,0.0,2014-07-08,283.41,84.10,2014-07-21,294.10,-225.97,84.10,BB 20 SMA Xover Mtm,[]
L_TSCO,SHORT,2014-08-29,227.00,35,No-Exit,0.0,0.0,2014-08-29,224.73,79.45,2014-10-21,182.22,1567.41,79.45,BB 20 SMA Xover Mtm,[]
L_TSCO,SHORT,2014-10-24,169.29,51,No-Exit,0.0,0.0,2014-10-24,167.58,86.96,2014-11-06,182.39,-667.97,86.96,BB 20 SMA Xover Mtm,[]
L_TSCO,SHORT,2014-11-28,183.79,42,No-Exit,0.0,0.0,2014-11-28,181.93,78.10,2014-12-03,189.23,-228.50,78.10,BB 20 SMA Xover Mtm,['L_TSCO']
L_TSCO,LONG,2014-11-07,183.31,47,No-Exit,0.0,0.0,2014-11-07,185.16,86.69,2014-12-09,163.55,-928.95,86.69,BB 20 SMA Xover Mtm,[]
L_TSCO,LONG,2014-12-22,187.25,45,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2014-12-31,189.60,105.57,105.57,BB 20 SMA Xover Mtm,[]
