Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Profit-Exit-Date,Profit-Exit-Price,Profit-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,Strategy,Current-Pos
L_VOD,LONG,2007-08-08,91.56,103,No-Exit,0.0,0.0,2007-08-08,92.48,95.36,2007-08-10,88.44,-321.42,95.36,BB 20 SMA Xover Mtm,[]
L_VOD,SHORT,2007-08-17,84.23,112,2007-08-17,89.22,-559.39,No-Exit,0.0,0.0,2007-08-21,89.22,-559.39,-559.39,BB 20 SMA Xover Mtm,[]
L_VOD,LONG,2007-08-21,89.20,105,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2007-08-22,87.16,-215.06,-215.06,BB 20 SMA Xover Mtm,[]
L_VOD,LONG,2007-12-21,107.37,88,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2007-12-27,103.30,-358.38,-358.38,BB 20 SMA Xover Mtm,[]
L_VOD,SHORT,2008-01-14,104.89,89,2008-01-14,107.24,-208.58,2008-01-14,103.84,93.79,2008-01-31,107.24,-208.58,-208.58,BB 20 SMA Xover Mtm,[]
L_VOD,SHORT,2008-02-15,97.91,95,2008-02-15,99.95,-194.10,2008-02-15,96.92,94.01,2008-04-22,99.95,-194.10,-194.10,BB 20 SMA Xover Mtm,[]
L_VOD,LONG,2008-04-25,90.41,103,No-Exit,0.0,0.0,2008-04-30,91.31,92.55,2008-06-05,87.10,-341.15,92.55,BB 20 SMA Xover Mtm,[]
L_VOD,LONG,2008-07-03,87.54,106,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2008-07-04,84.36,-336.61,-336.61,BB 20 SMA Xover Mtm,[]
L_VOD,LONG,2008-07-18,86.13,107,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2008-07-21,83.69,-260.82,-260.82,BB 20 SMA Xover Mtm,[]
L_VOD,SHORT,2008-07-22,76.49,109,No-Exit,0.0,0.0,2008-07-22,75.73,83.38,2008-10-14,70.24,681.80,83.38,BB 20 SMA Xover Mtm,[]
L_VOD,LONG,2008-10-30,69.55,135,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2008-10-31,65.13,-597.14,-597.14,BB 20 SMA Xover Mtm,[]
L_VOD,SHORT,2008-11-07,60.75,152,No-Exit,0.0,0.0,2008-11-07,60.13,94.14,2008-11-11,65.04,-651.41,94.14,BB 20 SMA Xover Mtm,[]
L_VOD,LONG,2008-11-12,67.68,138,No-Exit,0.0,0.0,2008-11-12,68.37,95.75,2008-11-21,63.21,-616.91,95.75,BB 20 SMA Xover Mtm,[]
L_VOD,SHORT,2008-12-24,72.23,126,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2008-12-29,74.00,-224.01,-224.01,BB 20 SMA Xover Mtm,[]
L_VOD,LONG,2008-12-30,74.87,121,No-Exit,0.0,0.0,2008-12-30,75.65,93.66,2009-01-23,72.75,-256.83,93.66,BB 20 SMA Xover Mtm,[]
L_VOD,LONG,2009-02-04,79.05,115,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2009-02-05,75.98,-353.62,-353.62,BB 20 SMA Xover Mtm,[]
