Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,Strategy,Current-Pos
PCLN,SHORT,2007-09-10,77.13,1231,No-Exit,0.0,0.0,2007-09-12,83.26,-7550.34,-7550.34,BB 20 SMA Xover Mtm,[]
PCLN,SHORT,2007-10-17,89.46,981,No-Exit,0.0,0.0,2007-10-29,89.73,-269.87,-269.87,BB 20 SMA Xover Mtm,[]
PCLN,SHORT,2008-01-02,113.71,770,No-Exit,0.0,0.0,2008-01-11,103.88,7571.33,7571.33,BB 20 SMA Xover Mtm,[]
PCLN,LONG,2008-01-25,111.74,864,No-Exit,0.0,0.0,2008-02-25,122.47,9273.23,9273.23,BB 20 SMA Xover Mtm,[]
PCLN,SHORT,2008-04-14,118.92,870,No-Exit,0.0,0.0,2008-04-18,127.00,-7028.38,-7028.38,BB 20 SMA Xover Mtm,[]
PCLN,SHORT,2008-04-29,121.70,796,No-Exit,0.0,0.0,2008-05-01,129.66,-6338.63,-6338.63,BB 20 SMA Xover Mtm,[]
PCLN,SHORT,2008-05-20,127.52,708,No-Exit,0.0,0.0,2008-06-16,128.65,-802.73,-802.73,BB 20 SMA Xover Mtm,[]
PCLN,LONG,2008-07-30,108.94,828,No-Exit,0.0,0.0,2008-08-04,111.90,2451.29,2451.29,BB 20 SMA Xover Mtm,[]
PCLN,SHORT,2009-01-14,70.24,1316,No-Exit,0.0,0.0,2009-01-23,68.68,2053.62,2053.62,BB 20 SMA Xover Mtm,[]
PCLN,LONG,2009-02-05,71.47,1320,No-Exit,0.0,0.0,2009-02-10,72.28,1066.16,1066.16,BB 20 SMA Xover Mtm,[]
PCLN,LONG,2009-04-02,82.14,1167,No-Exit,0.0,0.0,2009-04-08,86.79,5425.15,5425.15,BB 20 SMA Xover Mtm,[]
PCLN,SHORT,2009-05-22,99.45,1011,No-Exit,0.0,0.0,2009-05-26,106.06,-6685.64,-6685.64,BB 20 SMA Xover Mtm,[]
PCLN,SHORT,2009-06-17,108.26,870,No-Exit,0.0,0.0,2009-06-26,115.18,-6023.88,-6023.88,BB 20 SMA Xover Mtm,[]
PCLN,LONG,2009-07-15,112.81,794,No-Exit,0.0,0.0,2009-07-28,120.77,6317.14,6317.14,BB 20 SMA Xover Mtm,[]
PCLN,SHORT,2009-10-02,159.36,589,No-Exit,0.0,0.0,2009-10-06,169.31,-5859.49,-5859.49,BB 20 SMA Xover Mtm,[]
PCLN,SHORT,2009-10-29,162.83,546,No-Exit,0.0,0.0,2009-11-06,170.63,-4259.29,-4259.29,BB 20 SMA Xover Mtm,[]
PCLN,LONG,2009-11-09,175.20,488,No-Exit,0.0,0.0,2009-11-19,203.16,13643.06,13643.06,BB 20 SMA Xover Mtm,[]
PCLN,SHORT,2009-12-18,213.33,458,No-Exit,0.0,0.0,2009-12-23,223.72,-4758.53,-4758.53,BB 20 SMA Xover Mtm,[]
PCLN,SHORT,2010-01-07,216.89,430,No-Exit,0.0,0.0,2010-01-20,210.86,2593.54,2593.54,BB 20 SMA Xover Mtm,[]
