Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Profit-Exit-Date,Profit-Exit-Price,Profit-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,Current-Pos
UNP,LONG,2007-09-04,24.37,194,2007-09-04,24.18,-36.80,No-Exit,0.0,0.0,2007-09-05,24.21,-32.40,-36.80,[]
UNP,LONG,2007-09-14,24.61,192,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2007-09-18,24.37,-46.47,-46.47,[]
UNP,SHORT,2007-11-12,27.14,174,2007-11-12,27.36,-37.84,No-Exit,0.0,0.0,2007-11-13,27.36,-37.84,-37.84,[]
UNP,SHORT,2008-02-22,26.92,176,2008-02-22,27.15,-41.08,No-Exit,0.0,0.0,2008-02-25,27.23,-55.08,-41.08,[]
UNP,SHORT,2008-03-03,27.09,173,No-Exit,0.0,0.0,2008-03-03,26.65,75.72,2008-03-05,27.48,-67.46,75.72,[]
UNP,LONG,2008-03-19,28.44,166,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2008-03-20,27.13,-217.79,-217.79,[]
UNP,SHORT,2008-06-24,33.09,142,No-Exit,0.0,0.0,2008-06-26,32.21,125.10,2008-07-23,33.56,-67.90,125.10,[]
UNP,LONG,2008-08-25,35.22,134,2008-08-25,34.79,-58.05,No-Exit,0.0,0.0,2008-08-27,35.86,85.00,-58.05,[]
UNP,SHORT,2008-09-05,33.25,141,No-Exit,0.0,0.0,2008-09-05,32.37,124.63,2008-09-19,35.17,-269.82,124.63,[]
UNP,SHORT,2008-11-13,26.41,178,2008-11-13,27.02,-108.52,2008-11-13,25.52,157.33,2008-12-19,21.10,944.84,-108.52,[]
UNP,LONG,2009-01-02,21.33,223,No-Exit,0.0,0.0,2009-01-02,22.22,198.16,2009-01-06,23.34,449.82,198.16,[]
UNP,SHORT,2009-01-13,19.98,237,No-Exit,0.0,0.0,2009-01-14,19.09,210.60,2009-02-03,20.05,-18.37,210.60,[]
UNP,SHORT,2009-02-13,19.17,249,No-Exit,0.0,0.0,2009-02-17,18.28,221.26,2009-03-18,17.81,338.81,221.26,[]
