Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Profit-Exit-Date,Profit-Exit-Price,Profit-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,Current-Pos
WHR,SHORT,2007-08-29,76.95,493,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2007-08-31,79.59,-1302.11,-1302.11,[]
WHR,SHORT,2007-12-18,66.85,561,2007-12-18,67.60,-423.06,No-Exit,0.0,0.0,2007-12-19,68.04,-668.48,-423.06,[]
WHR,SHORT,2008-06-03,59.96,621,No-Exit,0.0,0.0,2008-06-06,58.28,1046.15,2008-07-23,62.09,-1318.15,1046.15,[]
WHR,SHORT,2008-12-24,33.78,1087,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2008-12-31,35.02,-1345.23,-1345.23,[]
WHR,SHORT,2009-01-15,34.60,1047,No-Exit,0.0,0.0,2009-01-15,32.89,1793.39,2009-04-27,38.75,-4344.73,1793.39,[]
WHR,LONG,2009-10-09,61.93,558,2009-10-09,61.17,-424.00,No-Exit,0.0,0.0,2009-10-13,62.78,470.28,-424.00,[]
WHR,LONG,2010-04-06,81.57,426,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2010-04-08,79.54,-863.55,-863.55,[]
WHR,LONG,2010-06-16,92.50,372,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2010-06-18,91.88,-231.22,-231.22,[]
WHR,SHORT,2012-06-04,54.85,626,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2012-06-06,57.76,-1815.95,-1815.95,[]
WHR,LONG,2013-04-11,114.37,294,No-Exit,0.0,0.0,2013-04-11,116.31,569.14,2013-04-15,114.24,-36.99,569.14,[]
WHR,LONG,2013-05-06,114.82,293,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2013-05-08,118.72,1142.92,1142.92,[]
WHR,SHORT,2013-06-21,116.81,291,No-Exit,0.0,0.0,2013-06-21,114.86,566.05,2013-07-18,117.92,-322.65,566.05,[]
WHR,LONG,2013-09-10,133.27,255,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2013-09-12,132.70,-144.54,-144.54,[]
WHR,LONG,2013-10-23,143.07,236,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2013-10-25,144.25,279.08,279.08,[]
