Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Profit-Exit-Date,Profit-Exit-Price,Profit-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,Current-Pos
WHR,LONG,2007-09-19,78.32,60,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2007-09-20,76.51,-108.96,-108.96,[]
WHR,LONG,2007-10-02,76.48,62,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2007-10-04,77.35,54.47,54.47,[]
WHR,LONG,2008-03-19,72.06,66,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2008-03-24,74.52,162.47,162.47,[]
WHR,LONG,2008-08-25,68.78,69,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2008-08-26,66.96,-125.54,-125.54,[]
WHR,LONG,2009-02-09,31.38,151,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2009-02-10,30.41,-146.15,-146.15,[]
WHR,LONG,2009-08-21,54.09,87,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2009-08-25,56.87,242.22,242.22,[]
WHR,LONG,2009-09-08,57.36,83,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2009-09-10,59.44,173.04,173.04,[]
WHR,LONG,2009-10-09,61.98,76,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2009-10-13,62.78,60.68,60.68,[]
WHR,LONG,2009-11-25,66.22,72,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2009-11-30,66.35,8.99,8.99,[]
WHR,LONG,2010-04-06,81.61,58,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2010-04-08,79.54,-120.17,-120.17,[]
WHR,LONG,2010-12-03,72.04,66,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2010-12-07,77.32,348.79,348.79,[]
WHR,LONG-SPY-NULL,2011-03-09,76.59,62,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2011-03-11,75.28,-80.64,0.0,[]
WHR,LONG,2012-01-04,45.75,104,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2012-01-06,47.17,147.35,147.35,[]
WHR,LONG,2012-04-26,65.30,73,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2012-04-27,62.97,-170.30,-170.30,[]
WHR,LONG,2012-06-19,57.59,82,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2012-06-21,58.77,96.82,96.82,[]
WHR,LONG,2012-07-02,58.49,81,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2012-07-05,59.89,113.38,113.38,[]
WHR,LONG,2013-01-24,104.02,45,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2013-01-28,106.79,124.88,124.88,[]
WHR,LONG,2013-02-13,107.02,44,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2013-02-15,107.13,5.09,5.09,[]
WHR,LONG,2013-07-11,118.64,41,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2013-07-15,120.35,70.18,70.18,[]
WHR,LONG,2013-10-23,143.12,33,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2013-10-25,144.25,37.41,37.41,[]
WHR,LONG,2013-11-15,147.13,32,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2013-11-19,145.88,-40.20,-40.20,[]
WHR,LONG,2014-08-15,149.23,32,No-Exit,0.0,0.0,2014-08-19,151.21,63.42,2014-08-21,151.23,64.06,63.42,[]
