Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Profit-Exit-Date,Profit-Exit-Price,Profit-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,Strategy,Current-Pos
LON_ARM,LONG,2009-02-12,97.21,97,No-Exit,0.0,0.0,2009-02-12,98.19,94.82,2009-02-18,92.70,-437.79,94.82,EMA 10 Xover Mtm,[]
LON_ARM,LONG,2009-03-18,107.06,88,No-Exit,0.0,0.0,2009-04-01,108.08,89.98,2009-06-17,107.50,38.72,89.98,EMA 10 Xover Mtm,[]
LON_ARM,LONG,2009-07-22,129.78,72,No-Exit,0.0,0.0,2009-07-27,131.06,92.16,2009-08-07,123.71,-437.74,92.16,EMA 10 Xover Mtm,[]
LON_ARM,LONG,2009-09-10,135.44,69,No-Exit,0.0,0.0,2009-09-10,136.79,93.01,2009-12-10,170.60,2425.97,93.01,EMA 10 Xover Mtm,[]
LON_ARM,LONG,2009-12-15,171.50,56,No-Exit,0.0,0.0,2009-12-21,173.21,95.65,2010-03-16,223.00,2884.11,95.65,EMA 10 Xover Mtm,[]
LON_ARM,LONG,2010-06-14,294.50,33,No-Exit,0.0,0.0,2010-07-12,297.48,98.34,2010-09-14,403.00,3580.50,98.34,EMA 10 Xover Mtm,[]
LON_ARM,LONG,2010-09-17,397.50,26,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2010-09-23,379.90,-457.57,-457.57,EMA 10 Xover Mtm,[]
LON_ARM,SHORT,2010-11-01,359.67,28,No-Exit,0.0,0.0,2010-11-02,356.09,100.10,2010-11-19,378.85,-537.00,100.10,EMA 10 Xover Mtm,[]
LON_ARM,SHORT,2011-03-22,510.84,18,No-Exit,0.0,0.0,2011-03-23,505.80,90.63,2011-03-25,537.70,-483.42,90.63,EMA 10 Xover Mtm,['LON_ARM']
LON_ARM,LONG,2011-01-11,480.10,21,No-Exit,0.0,0.0,2011-01-11,485.08,104.48,2011-04-12,574.00,1971.90,104.48,EMA 10 Xover Mtm,[]
LON_ARM,LONG,2011-07-04,599.43,17,No-Exit,0.0,0.0,2011-07-04,605.53,103.62,2011-07-14,576.89,-383.32,103.62,EMA 10 Xover Mtm,[]
LON_ARM,SHORT,2011-08-08,495.60,20,No-Exit,0.0,0.0,2011-08-08,490.64,99.12,2011-08-31,563.66,-1361.20,99.12,EMA 10 Xover Mtm,[]
LON_ARM,LONG,2011-09-15,604.49,16,No-Exit,0.0,0.0,2011-09-15,610.59,97.60,2011-09-20,566.64,-605.57,97.60,EMA 10 Xover Mtm,[]
LON_ARM,LONG,2011-11-14,640.85,15,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2011-11-18,609.08,-476.55,-476.55,EMA 10 Xover Mtm,[]
LON_ARM,SHORT,2012-03-06,538.07,18,No-Exit,0.0,0.0,2012-03-06,532.64,97.74,2012-03-09,571.22,-596.77,97.74,EMA 10 Xover Mtm,[]
LON_ARM,SHORT,2012-05-08,501.93,19,No-Exit,0.0,0.0,2012-05-08,496.88,95.95,2012-07-26,536.55,-657.83,95.95,EMA 10 Xover Mtm,[]
LON_ARM,LONG,2012-08-06,575.70,17,No-Exit,0.0,0.0,2012-08-09,581.45,97.75,2012-09-04,537.33,-652.34,97.75,EMA 10 Xover Mtm,[]
LON_ARM,SHORT,2012-09-05,521.00,18,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2012-09-14,572.50,-927.00,-927.00,EMA 10 Xover Mtm,[]
LON_ARM,LONG,2012-10-31,682.25,14,No-Exit,0.0,0.0,2012-11-02,689.18,96.95,2013-01-30,872.00,2656.43,96.95,EMA 10 Xover Mtm,[]
LON_ARM,LONG,2013-01-31,882.24,11,No-Exit,0.0,0.0,2013-02-04,891.24,99.00,2013-05-02,1020.00,1515.41,99.00,EMA 10 Xover Mtm,[]
LON_ARM,LONG,2013-05-07,1042.32,9,No-Exit,0.0,0.0,2013-05-09,1052.94,95.58,2013-05-29,974.83,-607.42,95.58,EMA 10 Xover Mtm,[]
LON_ARM,LONG,2013-07-16,917.08,11,No-Exit,0.0,0.0,2013-07-24,926.35,101.97,2013-07-25,854.49,-688.51,101.97,EMA 10 Xover Mtm,['LON_ARM']
LON_ARM,SHORT,2013-06-05,914.76,11,No-Exit,0.0,0.0,2013-06-05,905.57,101.09,2013-09-04,884.00,338.36,101.09,EMA 10 Xover Mtm,[]
LON_ARM,LONG,2013-09-11,996.00,10,No-Exit,0.0,0.0,2013-09-19,1005.97,99.65,2013-12-11,994.00,-20.00,99.65,EMA 10 Xover Mtm,[]
LON_ARM,LONG,2013-12-23,1095.00,9,No-Exit,0.0,0.0,2013-12-23,1106.10,99.90,2014-01-09,1011.18,-754.40,99.90,EMA 10 Xover Mtm,[]
LON_ARM,LONG,2014-02-28,1001.92,9,No-Exit,0.0,0.0,2014-02-28,1012.02,90.90,2014-03-14,958.04,-394.88,90.90,EMA 10 Xover Mtm,[]
LON_ARM,SHORT,2014-07-18,825.00,12,No-Exit,0.0,0.0,2014-07-18,816.75,99.00,2014-07-22,866.19,-494.24,99.00,EMA 10 Xover Mtm,[]
LON_ARM,LONG,2014-08-15,913.04,10,No-Exit,0.0,0.0,2014-08-19,922.39,93.50,2014-10-07,872.53,-405.10,93.50,EMA 10 Xover Mtm,['LON_ARM']
LON_ARM,SHORT,2014-10-01,896.94,10,No-Exit,0.0,0.0,2014-10-01,887.89,90.50,2014-12-05,933.87,-369.32,90.50,EMA 10 Xover Mtm,[]
