Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,Portfolio-Value-Pre,Portfolio-Cash-Pre,Portfolio-Value-Post,Portfolio-Cash-Post,Intra-Day-Exit-PorL,Intra-Day-Exit-Date,Exit-Date,Exit-Price,Portfolio-Value-Pre,Portfolio-Cash-Pre,Portfolio-Value-Post,Portfolio-Cash-Post,PorL,Current-Pos
UNP,LONG,2007-09-19,25.58,3737,100000.00,100000.00,97979.06,4404.45,0.0,2007-09-19,2007-09-20,24.93,97979.06,4404.45,97567.86,97567.86,-2432.14,[]
UNP,LONG,2008-02-04,28.13,3295,97567.86,97567.86,95516.09,4879.51,53.7051380296,2008-02-04,2008-02-05,26.97,95516.09,4879.51,93749.50,93749.50,-3818.36,[]
ODFL,LONG,2008-03-25,14.69,303,97976.06,4694.66,98926.26,243.59,76.4233333333,2008-03-25,2008-03-26,14.38,98926.26,243.59,101579.16,4600.73,-93.93,['AAPL']
AAPL,LONG,2008-03-19,18.02,4942,93749.50,93749.50,91384.26,4694.66,723.408459624,2008-03-19,2008-03-27,18.99,101579.16,4600.73,98449.31,98449.31,4793.74,[]
WHR,LONG,2008-04-02,77.08,1213,98449.31,98449.31,97702.00,4951.27,542.58765161,2008-04-02,2008-04-03,75.63,97702.00,4951.27,96686.34,96686.34,-1762.98,[]
CF,LONG,2008-06-06,144.27,636,96686.34,96686.34,92957.72,4930.62,502.590783397,2008-06-06,2008-06-10,140.44,95628.48,4930.62,94248.09,94248.09,-2438.25,[]
UNP,LONG,2008-07-24,34.54,1307,94248.09,94248.09,92268.57,4410.86,794.513803785,2008-07-24,2008-07-25,33.87,92268.57,4410.86,93163.83,48678.95,-875.26,['GD']
GD,LONG,2008-07-24,76.01,588,94248.09,94248.09,92976.73,49554.21,274.811512863,2008-07-24,2008-07-29,74.31,92525.41,48678.95,92373.23,92373.23,-999.60,[]
CF,LONG,2008-07-31,158.21,554,92373.23,92373.23,90180.24,4724.89,253.619544863,2008-07-31,2008-08-01,153.78,90180.24,4724.89,89919.01,89919.01,-2454.22,[]
AAPL,LONG,2008-08-13,24.11,3543,89919.01,89919.01,90433.48,4497.28,849.972938299,2008-08-13,2008-08-15,24.06,90443.06,4497.28,89741.86,89741.86,-177.15,[]
IWM,SHORT,2008-09-18,62.79,1357,89741.86,89741.86,83980.34,83980.34,-2714.0,2008-09-18,2008-09-19,73.68,83980.34,83980.34,74959.60,74959.60,-14782.26,[]
GILD,SHORT,2008-10-07,40.11,1582,79268.87,79268.87,81867.18,81867.18,-3164.0,2008-10-07,2008-10-08,41.58,81867.18,81867.18,79351.44,79351.44,-2325.54,['WHR']
WHR,SHORT,2008-10-03,63.62,1012,74959.60,74959.60,78386.18,78386.18,-2024.0,2008-10-03,2008-10-13,58.63,79685.66,79685.66,77688.90,77688.90,5054.84,[]
ALL,SHORT,2008-11-20,16.36,3303,77688.90,77688.90,81365.60,81365.60,0.0,2008-11-20,-1288.17,2008-11-20,2008-11-21,16.75,81365.60,81365.60,76400.73,76400.73,-1288.17,[]
CF,LONG,2008-12-17,52.39,346,76400.73,76400.73,76226.92,40130.57,565.826890024,2008-12-17,2008-12-18,50.24,76226.92,40130.57,75866.13,57513.61,-743.90,['GILD']
GILD,LONG,2008-12-17,47.62,381,76400.73,76400.73,76184.89,58257.51,243.156985478,2008-12-17,2008-12-22,48.73,76193.45,57513.61,76079.74,76079.74,422.91,[]
FDX,SHORT,2009-01-15,55.30,651,76079.74,76079.74,75318.11,75318.11,0.0,2009-01-15,-950.46,2009-01-15,2009-01-16,57.26,75318.11,75318.11,74803.34,74803.34,-1276.40,[]
AAPL,LONG,2009-02-06,13.29,2373,74803.34,74803.34,75277.57,43266.17,564.11752667,2009-02-06,2009-02-10,13.62,76173.20,43266.17,75586.43,75586.43,783.09,[]
AMZN,LONG,2009-03-12,69.57,464,75586.43,75586.43,75591.07,43305.95,139.1536,2009-03-12,2009-03-13,68.05,75591.07,43305.95,74881.15,74881.15,-705.28,[]
AAPL,LONG,2009-03-18,13.52,1169,74881.15,74881.15,75135.75,59081.47,564.556537184,2009-03-18,2009-03-20,13.68,75351.77,43300.32,75327.49,59292.24,192.24,['NFLX']
NFLX,LONG,2009-03-18,40.99,385,74881.15,74881.15,75378.30,43300.32,562.1,2009-03-18,2009-03-20,41.34,75351.77,43300.32,75208.14,75208.14,134.75,[]
MA,LONG,2009-04-30,17.76,1816,75208.14,75208.14,75664.63,42952.68,1405.12486764,2009-04-30,2009-05-01,17.23,75664.63,42952.68,74248.81,74248.81,-959.34,[]
CP,LONG,2009-05-04,35.26,879,74248.81,74248.81,75253.30,43255.27,1240.49524751,2009-05-04,2009-05-07,35.87,75017.31,43255.27,74785.00,74785.00,536.19,[]
NFLX,SHORT,2009-05-08,39.13,805,74785.00,74785.00,73907.55,73907.55,0.0,2009-05-08,-1014.3,2009-05-08,2009-05-12,39.77,74406.65,74406.65,74269.80,74269.80,-515.20,[]
MA,LONG,2009-07-16,16.99,794,74269.80,74269.80,74691.33,60779.74,615.8426339,2009-07-16,2009-07-21,17.69,75464.73,47281.69,75447.09,61327.55,555.80,['UNP']
UNP,LONG,2009-07-16,25.23,535,74269.80,74269.80,74807.18,47281.69,226.608911704,2009-07-16,2009-07-22,26.17,75447.09,61327.55,75329.11,75329.11,503.51,[]
CF,LONG,2009-09-08,82.81,338,75329.11,75329.11,75259.88,47339.33,158.810802014,2009-09-08,2009-09-10,82.49,75629.24,47339.33,75220.95,75220.95,-108.16,[]
AAPL,LONG,2009-09-17,24.75,1127,75220.95,75220.95,75463.72,47327.70,584.275635226,2009-09-17,2009-09-21,24.93,75535.37,47327.70,75424.08,75424.08,203.13,[]
FDX,LONG,2009-10-15,78.26,359,75424.08,75424.08,75535.88,47328.74,185.002456444,2009-10-15,2009-10-16,77.21,75535.88,47328.74,75047.13,75047.13,-376.95,[]
CP,SHORT,2009-10-28,40.17,690,75047.13,75047.13,75674.93,75674.93,0.0,2009-10-28,-1007.4,2009-10-28,2009-10-30,40.75,74762.74,74762.74,74646.93,74646.93,-400.20,[]
AAPL,LONG,2009-12-28,28.64,843,74646.93,74646.93,74634.38,50502.65,254.30631862,2009-12-28,2009-12-29,28.54,74634.38,50502.65,74561.87,74561.87,-85.06,[]
