Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Profit-Exit-Date,Profit-Exit-Price,Profit-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,Strategy,Current-Pos
AAPL,LONG,2007-10-15,22.85,4157,No-Exit,0.0,0.0,2007-10-17,23.09,971.12,2007-11-01,24.39,6379.48,971.12,EMA 10 Xover Mtm,[]
AAPL,LONG,2007-11-06,25.44,3972,No-Exit,0.0,0.0,2007-11-06,25.70,1030.53,2007-11-08,24.69,-2963.37,1030.53,EMA 10 Xover Mtm,[]
AAPL,LONG,2007-12-14,26.21,3748,No-Exit,0.0,0.0,2007-12-14,26.47,965.31,2007-12-17,25.13,-4058.65,965.31,EMA 10 Xover Mtm,[]
AAPL,SHORT,2008-01-16,22.35,4169,No-Exit,0.0,0.0,2008-01-16,22.13,931.85,2008-02-11,17.51,20167.64,931.85,EMA 10 Xover Mtm,[]
AAPL,SHORT,2008-02-19,16.69,6802,No-Exit,0.0,0.0,2008-02-19,16.52,1159.30,2008-02-21,17.05,-2453.41,1159.30,EMA 10 Xover Mtm,[]
AAPL,SHORT,2008-02-22,16.28,6832,No-Exit,0.0,0.0,2008-02-22,16.11,1131.98,2008-02-27,16.46,-1219.31,1131.98,EMA 10 Xover Mtm,[]
AAPL,LONG,2008-03-24,18.21,6044,No-Exit,0.0,0.0,2008-03-24,18.40,1140.82,2008-04-11,20.06,11160.16,1140.82,EMA 10 Xover Mtm,[]
AAPL,LONG,2008-05-12,25.06,4814,No-Exit,0.0,0.0,2008-05-12,25.32,1225.34,2008-05-19,24.79,-1333.26,1225.34,EMA 10 Xover Mtm,[]
AAPL,SHORT,2008-08-04,20.98,5690,No-Exit,0.0,0.0,2008-08-04,20.77,1205.24,2008-08-05,21.34,-2061.29,1205.24,EMA 10 Xover Mtm,[]
AAPL,SHORT,2008-09-09,21.15,5552,No-Exit,0.0,0.0,2008-09-09,20.94,1178.11,2008-09-19,19.44,9493.14,1178.11,EMA 10 Xover Mtm,[]
AAPL,SHORT,2008-09-22,18.87,6700,No-Exit,0.0,0.0,2008-09-22,18.68,1268.36,2008-10-13,14.14,31678.01,1268.36,EMA 10 Xover Mtm,[]
AAPL,SHORT,2008-12-31,11.56,13546,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2009-01-02,11.74,-2426.02,-2426.02,EMA 10 Xover Mtm,[]
AAPL,LONG,2009-02-12,13.23,11660,No-Exit,0.0,0.0,2009-02-12,13.36,1565.82,2009-02-17,12.98,-2919.53,1565.82,EMA 10 Xover Mtm,[]
AAPL,LONG,2009-04-16,16.12,9423,No-Exit,0.0,0.0,2009-04-16,16.29,1548.14,2009-05-08,17.11,9321.02,1548.14,EMA 10 Xover Mtm,[]
AAPL,LONG,2009-09-28,24.92,6434,No-Exit,0.0,0.0,2009-09-28,25.17,1620.22,2009-10-01,24.48,-2792.90,1620.22,EMA 10 Xover Mtm,[]
AAPL,LONG,2010-03-23,30.71,5134,No-Exit,0.0,0.0,2010-03-25,31.02,1600.56,2010-04-20,33.62,14961.55,1600.56,EMA 10 Xover Mtm,[]
AAPL,SHORT,2010-05-25,32.38,5201,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2010-05-26,33.99,-8384.77,-8384.77,EMA 10 Xover Mtm,[]
AAPL,SHORT,2010-08-24,32.83,4979,No-Exit,0.0,0.0,2010-08-24,32.50,1634.49,2010-08-26,33.22,-1963.78,1634.49,EMA 10 Xover Mtm,[]
AAPL,SHORT,2010-08-27,32.18,5036,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2010-08-30,32.91,-3684.14,-3684.14,EMA 10 Xover Mtm,[]
AAPL,LONG,2010-10-21,42.43,3737,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2010-10-28,40.75,-6282.22,-6282.22,EMA 10 Xover Mtm,[]
AAPL,SHORT,2011-03-23,45.70,3339,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2011-03-24,46.69,-3338.83,-3338.83,EMA 10 Xover Mtm,[]
