Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Profit-Exit-Date,Profit-Exit-Price,Profit-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,Strategy,Current-Pos
AGN,SHORT,2010-05-10,41.67,2279,2010-05-10,43.68,-4579.06,No-Exit,0.0,0.0,2010-05-13,43.81,-4883.99,-4579.06,BB Spread,[]
AGN,SHORT,2011-07-29,67.00,1335,No-Exit,0.0,0.0,2011-07-29,66.33,894.45,2011-08-01,67.80,-1069.74,894.45,BB Spread,[]
AGN,LONG,2011-08-31,67.96,1314,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2011-09-02,65.86,-2753.25,-2753.25,BB Spread,[]
AGN,LONG,2012-02-15,60.79,1429,No-Exit,0.0,0.0,2012-02-15,61.39,852.97,2012-02-21,59.58,-1731.66,852.97,BB Spread,[]
AGN,LONG,2012-06-29,72.87,1174,No-Exit,0.0,0.0,2012-06-29,73.61,868.64,2012-07-06,74.66,2106.51,868.64,BB Spread,[]
AGN,SHORT,2012-11-09,85.16,1022,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2012-11-12,86.26,-1127.68,-1127.68,BB Spread,[]
AGN,SHORT-SPY-NULL,2013-01-02,85.10,1010,No-Exit,0.0,0.0,2013-01-02,84.23,874.46,2013-01-08,86.52,-1430.77,0.0,BB Spread,[]
AGN,LONG,2013-03-11,88.48,956,No-Exit,0.0,0.0,2013-03-13,89.38,859.92,2013-03-19,89.95,1404.33,859.92,BB Spread,[]
AGN,LONG,2013-07-26,130.01,661,No-Exit,0.0,0.0,2013-07-26,131.34,877.21,2013-08-07,135.12,3378.37,877.21,BB Spread,[]
AGN,SHORT,2013-12-12,159.97,557,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2013-12-16,161.47,-832.87,-832.87,BB Spread,[]
AGN,LONG,2014-08-19,223.68,395,No-Exit,0.0,0.0,2014-08-21,225.95,896.65,2014-08-27,225.06,547.21,896.65,BB Spread,[]
AGN,SHORT,2014-10-14,221.35,401,No-Exit,0.0,0.0,2014-10-14,219.11,899.76,2014-10-16,219.41,776.98,899.76,BB Spread,[]
AGN,LONG,2014-11-19,269.86,332,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2014-11-20,264.58,-1752.96,-1752.96,BB Spread,[]
