Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Profit-Exit-Date,Profit-Exit-Price,Profit-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,Current-Pos
CF,SHORT,2008-01-18,83.97,452,No-Exit,0.0,0.0,2008-01-22,82.09,851.78,2008-01-24,91.92,-3594.51,851.78,[]
CF,LONG,2008-04-07,121.35,305,No-Exit,0.0,0.0,2008-04-07,123.24,575.22,2008-04-18,141.45,6128.93,575.22,[]
CF,LONG,2008-12-17,51.28,759,No-Exit,0.0,0.0,2008-12-17,53.17,1436.26,2008-12-18,48.01,-2482.34,1436.26,[]
CF,LONG,2009-05-04,72.02,529,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2009-05-07,69.77,-1188.38,-1188.38,[]
CF,SHORT,2009-10-27,79.82,463,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2009-10-29,82.13,-1069.12,-1069.12,[]
CF,LONG,2009-12-01,82.97,454,No-Exit,0.0,0.0,2009-12-02,84.88,863.89,2009-12-07,82.00,-440.59,863.89,[]
CF,LONG,2010-10-11,106.43,347,No-Exit,0.0,0.0,2010-10-11,108.34,662.63,2010-10-22,112.51,2110.48,662.63,[]
CF,LONG,2011-05-10,137.29,275,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2011-05-11,133.50,-1043.06,-1043.06,[]
CF,SHORT,2011-08-05,134.98,277,2011-08-05,143.39,-2329.92,2011-08-05,133.07,530.13,2011-08-09,141.02,-1671.23,-2329.92,[]
CF,LONG,2012-01-04,150.54,247,No-Exit,0.0,0.0,2012-01-04,152.46,475.01,2012-01-18,164.90,3545.94,475.01,[]
CF,LONG,2012-06-20,174.94,217,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2012-06-21,172.86,-450.65,-450.65,[]
CF,LONG,2013-01-10,209.52,181,No-Exit,0.0,0.0,2013-01-10,211.46,351.06,2013-01-18,210.22,127.26,351.06,[]
CF,SHORT,2013-06-12,182.44,208,No-Exit,0.0,0.0,2013-06-12,180.49,405.02,2013-06-19,184.45,-417.17,405.02,[]
CF,LONG,2014-01-09,230.83,163,No-Exit,0.0,0.0,2014-01-09,232.79,319.53,2014-01-22,241.00,1659.16,319.53,[]
CF,SHORT,2014-01-30,224.71,171,2014-01-30,228.66,-675.45,No-Exit,0.0,0.0,2014-01-31,228.66,-675.45,-675.45,[]
