Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Profit-Exit-Date,Profit-Exit-Price,Profit-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,Strategy,Current-Pos
GOOGL,SHORT,2008-01-07,326.97,290,No-Exit,0.0,0.0,2008-01-07,323.70,948.21,2008-01-10,326.91,16.68,948.21,BB Spread,[]
GOOGL,SHORT,2008-03-04,225.47,416,No-Exit,0.0,0.0,2008-03-04,223.22,937.98,2008-03-12,220.23,2180.90,937.98,BB Spread,[]
GOOGL,LONG,2008-04-02,234.95,416,No-Exit,0.0,0.0,2008-04-02,237.28,968.66,2008-04-03,226.87,-3363.36,968.66,BB Spread,[]
GOOGL,SHORT,2008-07-21,239.00,392,No-Exit,0.0,0.0,2008-07-21,236.59,941.66,2008-07-23,246.50,-2941.96,941.66,BB Spread,[]
GOOGL,SHORT,2008-09-04,228.85,398,No-Exit,0.0,0.0,2008-09-04,226.55,915.40,2008-09-12,217.19,4640.06,915.40,BB Spread,[]
GOOGL,SHORT-SPY-NULL,2008-11-10,162.01,589,No-Exit,0.0,0.0,2008-11-10,160.37,965.96,2008-11-18,151.81,6004.80,0.0,BB Spread,[]
GOOGL,LONG,2010-06-17,252.88,400,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2010-06-21,249.70,-1272.44,-1272.44,BB Spread,[]
GOOGL,SHORT,2010-06-25,236.12,423,No-Exit,0.0,0.0,2010-06-29,233.81,980.18,2010-07-08,226.78,3954.25,980.18,BB Spread,[]
GOOGL,SHORT,2010-08-20,233.53,444,No-Exit,0.0,0.0,2010-08-20,231.19,1038.89,2010-09-01,227.49,2679.54,1038.89,BB Spread,[]
GOOGL,LONG,2010-09-20,246.25,432,No-Exit,0.0,0.0,2010-09-20,248.79,1097.88,2010-09-28,264.11,7716.19,1097.88,BB Spread,[]
GOOGL,LONG,2010-10-18,300.92,377,No-Exit,0.0,0.0,2010-10-18,304.01,1164.38,2010-10-22,305.44,1704.98,1164.38,BB Spread,[]
GOOGL,SHORT,2011-05-17,257.71,446,2011-05-17,263.78,-2704.99,No-Exit,0.0,0.0,2011-05-19,266.37,-3857.90,-2704.99,BB Spread,[]
GOOGL,SHORT,2011-05-23,258.30,428,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2011-05-26,260.15,-790.73,-790.73,BB Spread,[]
GOOGL,LONG,2011-07-06,267.06,415,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2011-07-08,266.48,-242.78,-242.78,BB Spread,[]
GOOGL,SHORT,2011-09-23,258.20,428,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2011-09-26,263.62,-2322.68,-2322.68,BB Spread,[]
GOOGL,LONG,2011-11-14,306.30,353,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2011-11-17,305.02,-450.23,-450.23,BB Spread,[]
GOOGL,SHORT,2011-11-22,287.88,375,No-Exit,0.0,0.0,2011-11-25,285.05,1059.73,2011-11-29,294.41,-2449.04,1059.73,BB Spread,[]
GOOGL,LONG,2012-07-20,304.38,354,No-Exit,0.0,0.0,2012-07-24,307.45,1088.55,2012-07-25,303.47,-321.25,1088.55,BB Spread,[]
GOOGL,LONG,2012-11-29,346.63,303,No-Exit,0.0,0.0,2012-12-03,350.14,1063.89,2012-12-14,349.58,894.74,1063.89,BB Spread,[]
GOOGL,SHORT,2013-10-04,435.26,243,No-Exit,0.0,0.0,2013-10-08,430.94,1051.36,2013-10-11,434.43,201.54,1051.36,BB Spread,[]
GOOGL,LONG,2013-10-21,507.83,209,No-Exit,0.0,0.0,2013-10-23,512.84,1046.04,2013-10-28,507.29,-113.38,1046.04,BB Spread,[]
GOOGL,LONG,2014-05-22,552.20,193,No-Exit,0.0,0.0,2014-05-22,557.75,1072.02,2014-06-02,565.92,2648.64,1072.02,BB Spread,[]
GOOGL,LONG,2014-06-26,589.30,185,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2014-07-03,590.15,158.18,158.18,BB Spread,[]
GOOGL,LONG,2014-09-19,601.30,181,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2014-09-22,593.80,-1357.22,-1357.22,BB Spread,[]
GOOGL,SHORT,2014-10-08,573.90,187,No-Exit,0.0,0.0,2014-10-08,568.15,1074.86,2014-10-16,527.00,8770.30,1074.86,BB Spread,[]
