Period,Period#,# of trades,winning trades,winning percent,PorL,StrategyReturn,MarketReturn,# of long trades,long winning trades,long winning percent,# of short trades,short winning trades,short winning percent
01/01/2007--12/27/2007,1,9.0,4.0,44.44444444444444,19022.73,19.02273,4.456391030628834,3.0,1.0,33.33333333333333,6.0,3.0,50.0
01/31/2007--01/26/2008,2,7.0,1.0,14.285714285714285,-22175.929999999997,-22.175929999999997,-7.450434782608702,3.0,0.0,0.0,4.0,1.0,25.0
03/02/2007--02/25/2008,3,7.0,1.0,14.285714285714285,-22175.929999999997,-22.175929999999997,-0.9663229249296712,3.0,0.0,0.0,4.0,1.0,25.0
04/01/2007--03/26/2008,4,10.0,3.0,30.0,-27075.289999999994,-27.075289999999995,-6.302757456387176,4.0,0.0,0.0,6.0,3.0,50.0
05/01/2007--04/25/2008,5,10.0,2.0,20.0,-10910.869999999995,-10.910869999999996,-6.100760072644107,4.0,0.0,0.0,6.0,2.0,33.33333333333333
05/31/2007--05/25/2008,6,7.0,1.0,14.285714285714285,-22175.929999999997,-22.175929999999997,-10.226976258805118,3.0,0.0,0.0,4.0,1.0,25.0
06/30/2007--06/24/2008,7,10.0,3.0,30.0,-16233.789999999995,-16.233789999999996,-13.571381513933723,4.0,0.0,0.0,6.0,3.0,50.0
07/30/2007--07/24/2008,8,10.0,3.0,30.0,-20000.23,-20.00023,-14.839191206405205,4.0,0.0,0.0,6.0,3.0,50.0
08/29/2007--08/23/2008,9,7.0,1.0,14.285714285714285,-22175.929999999997,-22.175929999999997,-11.621400300259316,3.0,0.0,0.0,4.0,1.0,25.0
09/28/2007--09/22/2008,10,2.0,0.0,0.0,-13859.130000000001,-13.85913,-20.605583955957538,1.0,0.0,0.0,1.0,0.0,0.0
10/28/2007--10/22/2008,11,35.0,12.0,34.285714285714285,-31890.690000000002,-31.890690000000006,-41.250892104067994,14.0,2.0,14.285714285714285,21.0,10.0,47.61904761904761
11/27/2007--11/21/2008,12,40.0,13.0,32.5,-44611.340000000004,-44.611340000000006,-44.223890018938064,19.0,2.0,10.526315789473683,21.0,11.0,52.38095238095239
12/27/2007--12/21/2008,13,34.0,10.0,29.411764705882355,65625.57999999999,65.62557999999999,-40.27900047402993,19.0,2.0,10.526315789473683,15.0,8.0,53.333333333333336
01/26/2008--01/20/2009,14,35.0,10.0,28.57142857142857,53047.68,53.04768,-40.42443064182196,21.0,2.0,9.523809523809524,14.0,8.0,57.14285714285714
02/25/2008--02/19/2009,15,36.0,9.0,25.0,36964.66000000001,36.96466000000001,-43.07070559965048,19.0,1.0,5.263157894736842,17.0,8.0,47.05882352941176
03/26/2008--03/21/2009,16,38.0,9.0,23.684210526315788,24118.060000000012,24.118060000000014,-42.409909909909906,20.0,1.0,5.0,18.0,8.0,44.44444444444444
04/25/2008--04/20/2009,17,34.0,8.0,23.52941176470588,35740.61000000001,35.740610000000004,-40.236389684813744,16.0,0.0,0.0,18.0,8.0,44.44444444444444
05/25/2008--05/20/2009,18,28.0,7.0,25.0,58876.24000000002,58.876240000000024,-34.72522717438338,13.0,1.0,7.6923076923076925,15.0,6.0,40.0
06/24/2008--06/19/2009,19,29.0,7.0,24.137931034482758,6595.299999999988,6.595299999999988,-29.842213583352382,15.0,1.0,6.666666666666667,14.0,6.0,42.857142857142854
07/24/2008--07/19/2009,20,31.0,6.0,19.35483870967742,1510.3699999999944,1.5103699999999944,-25.001991873157525,15.0,1.0,6.666666666666667,16.0,5.0,31.25
08/23/2008--08/18/2009,21,30.0,6.0,20.0,-25873.5,-25.8735,-21.957942821138847,16.0,2.0,12.5,14.0,4.0,28.57142857142857
09/22/2008--09/17/2009,22,32.0,8.0,25.0,-11121.69000000001,-11.12169000000001,-11.961367013372953,18.0,5.0,27.77777777777778,14.0,3.0,21.428571428571427
10/22/2008--10/17/2009,23,30.0,6.0,20.0,-39951.03999999999,-39.95103999999999,20.254003313086695,17.0,4.0,23.52941176470588,13.0,2.0,15.384615384615385
11/21/2008--11/16/2009,24,26.0,7.0,26.923076923076923,-37287.75000000001,-37.28775000000001,39.851609657947684,13.0,5.0,38.46153846153847,13.0,2.0,15.384615384615385
12/21/2008--12/16/2009,25,21.0,6.0,28.57142857142857,-31331.81,-31.331809999999997,28.095566276131397,12.0,5.0,41.66666666666667,9.0,1.0,11.11111111111111
01/20/2009--01/15/2010,26,23.0,8.0,34.78260869565217,-14220.589999999998,-14.22059,41.04505399031899,13.0,6.0,46.15384615384615,10.0,2.0,20.0
02/19/2009--02/14/2010,27,19.0,7.0,36.84210526315789,-21691.47,-21.691470000000002,38.19214387127308,12.0,6.0,50.0,7.0,1.0,14.285714285714285
