Period,Period#,# of trades,winning trades,winning percent,PorL,StrategyReturn,MarketReturn,# of long trades,long winning trades,long winning percent,# of short trades,short winning trades,short winning percent
01/01/2007--12/27/2007,1,7.0,4.0,57.14285714285714,-12393.600000000002,-12.393600000000001,4.456391030628834,1.0,1.0,100.0,6.0,3.0,50.0
01/31/2007--01/26/2008,2,11.0,8.0,72.72727272727273,15772.810000000001,15.772810000000002,-7.450434782608702,2.0,2.0,100.0,9.0,6.0,66.66666666666666
03/02/2007--02/25/2008,3,14.0,10.0,71.42857142857143,14850.44,14.85044,-0.9663229249296712,3.0,3.0,100.0,11.0,7.0,63.63636363636363
04/01/2007--03/26/2008,4,17.0,11.0,64.70588235294117,6290.800000000001,6.290800000000001,-6.302757456387176,5.0,3.0,60.0,12.0,8.0,66.66666666666666
05/01/2007--04/25/2008,5,18.0,11.0,61.111111111111114,5942.680000000001,5.942680000000001,-6.100760072644107,6.0,3.0,50.0,12.0,8.0,66.66666666666666
05/31/2007--05/25/2008,6,19.0,11.0,57.89473684210527,5941.000000000001,5.941000000000001,-10.226976258805118,7.0,3.0,42.857142857142854,12.0,8.0,66.66666666666666
06/30/2007--06/24/2008,7,24.0,14.0,58.333333333333336,8908.01,8.908009999999999,-13.571381513933723,11.0,5.0,45.45454545454545,13.0,9.0,69.23076923076923
07/30/2007--07/24/2008,8,24.0,14.0,58.333333333333336,8908.01,8.908009999999999,-14.839191206405205,11.0,5.0,45.45454545454545,13.0,9.0,69.23076923076923
08/29/2007--08/23/2008,9,25.0,14.0,56.00000000000001,3645.6100000000006,3.6456100000000005,-11.621400300259316,12.0,5.0,41.66666666666667,13.0,9.0,69.23076923076923
09/28/2007--09/22/2008,10,24.0,11.0,45.83333333333333,-15695.97,-15.695969999999997,-20.605583955957538,11.0,4.0,36.36363636363637,13.0,7.0,53.84615384615385
10/28/2007--10/22/2008,11,22.0,10.0,45.45454545454545,-1845.7700000000023,-1.8457700000000021,-41.250892104067994,10.0,3.0,30.0,12.0,7.0,58.333333333333336
11/27/2007--11/21/2008,12,26.0,11.0,42.30769230769231,14200.619999999997,14.200619999999997,-44.223890018938064,14.0,3.0,21.428571428571427,12.0,8.0,66.66666666666666
12/27/2007--12/21/2008,13,23.0,7.0,30.434782608695656,30066.43,30.06643,-40.27900047402993,15.0,3.0,20.0,8.0,4.0,50.0
01/26/2008--01/20/2009,14,26.0,8.0,30.76923076923077,-403.5900000000063,-0.4035900000000063,-40.42443064182196,17.0,4.0,23.52941176470588,9.0,4.0,44.44444444444444
02/25/2008--02/19/2009,15,26.0,8.0,30.76923076923077,10209.720000000003,10.209720000000003,-43.07070559965048,15.0,3.0,20.0,11.0,5.0,45.45454545454545
03/26/2008--03/21/2009,16,26.0,8.0,30.76923076923077,6750.120000000001,6.750120000000001,-42.409909909909906,15.0,3.0,20.0,11.0,5.0,45.45454545454545
04/25/2008--04/20/2009,17,25.0,7.0,28.000000000000004,475.0599999999995,0.4750599999999995,-40.236389684813744,13.0,2.0,15.384615384615385,12.0,5.0,41.66666666666667
05/25/2008--05/20/2009,18,19.0,5.0,26.31578947368421,5393.310000000001,5.393310000000001,-34.72522717438338,9.0,1.0,11.11111111111111,10.0,4.0,40.0
06/24/2008--06/19/2009,19,20.0,5.0,25.0,-2291.3499999999985,-2.2913499999999987,-29.842213583352382,10.0,1.0,10.0,10.0,4.0,40.0
07/24/2008--07/19/2009,20,20.0,5.0,25.0,-6210.949999999999,-6.2109499999999995,-25.001991873157525,10.0,1.0,10.0,10.0,4.0,40.0
08/23/2008--08/18/2009,21,18.0,6.0,33.33333333333333,7904.18,7.904180000000001,-21.957942821138847,10.0,2.0,20.0,8.0,4.0,50.0
09/22/2008--09/17/2009,22,18.0,6.0,33.33333333333333,28650.67,28.65067,-11.961367013372953,11.0,3.0,27.27272727272727,7.0,3.0,42.857142857142854
10/22/2008--10/17/2009,23,17.0,4.0,23.52941176470588,-3436.280000000001,-3.4362800000000013,20.254003313086695,11.0,2.0,18.181818181818183,6.0,2.0,33.33333333333333
11/21/2008--11/16/2009,24,13.0,5.0,38.46153846153847,-5358.750000000002,-5.3587500000000015,39.851609657947684,7.0,3.0,42.857142857142854,6.0,2.0,33.33333333333333
12/21/2008--12/16/2009,25,9.0,5.0,55.55555555555556,11647.46,11.64746,28.095566276131397,7.0,4.0,57.14285714285714,2.0,1.0,50.0
01/20/2009--01/15/2010,26,9.0,4.0,44.44444444444444,18501.97,18.50197,41.04505399031899,6.0,3.0,50.0,3.0,1.0,33.33333333333333
02/19/2009--02/14/2010,27,8.0,3.0,37.5,-16099.22,-16.09922,38.19214387127308,4.0,2.0,50.0,4.0,1.0,25.0
03/21/2009--03/16/2010,28,12.0,6.0,50.0,21584.96,21.58496,41.54912451361868,8.0,5.0,62.5,4.0,1.0,25.0
04/20/2009--04/15/2010,29,13.0,7.0,53.84615384615385,35765.61,35.76561,45.379359942466735,9.0,6.0,66.66666666666666,4.0,1.0,25.0
05/20/2009--05/15/2010,30,17.0,7.0,41.17647058823529,3260.3900000000012,3.260390000000001,25.831399845320952,11.0,5.0,45.45454545454545,6.0,2.0,33.33333333333333
06/19/2009--06/14/2010,31,13.0,7.0,53.84615384615385,-143.65999999999994,-0.14365999999999995,18.979791395045627,8.0,5.0,62.5,5.0,2.0,40.0
07/19/2009--07/14/2010,32,17.0,9.0,52.94117647058824,46780.54,46.780539999999995,15.263163427273966,12.0,7.0,58.333333333333336,5.0,2.0,40.0
08/18/2009--08/13/2010,33,19.0,9.0,47.368421052631575,28819.24,28.81924,9.304672519931374,13.0,7.0,53.84615384615385,6.0,2.0,33.33333333333333
09/17/2009--09/12/2010,34,18.0,7.0,38.88888888888889,14597.750000000005,14.597750000000007,4.53070792311298,13.0,5.0,38.46153846153847,5.0,2.0,40.0
10/17/2009--10/12/2010,35,19.0,8.0,42.10526315789473,88724.6,88.72460000000001,6.576190909918934,14.0,6.0,42.857142857142854,5.0,2.0,40.0
11/16/2009--11/11/2010,36,19.0,7.0,36.84210526315789,56475.37,56.475370000000005,9.374157000269772,13.0,5.0,38.46153846153847,6.0,2.0,33.33333333333333
12/16/2009--12/11/2010,37,16.0,6.0,37.5,-580.49,-0.58049,11.621233859397426,12.0,4.0,33.33333333333333,4.0,2.0,50.0
01/15/2010--01/10/2011,38,14.0,5.0,35.714285714285715,140.92000000000002,0.14092000000000002,11.738824357620558,12.0,4.0,33.33333333333333,2.0,1.0,50.0
02/14/2010--02/09/2011,39,15.0,6.0,40.0,111833.81,111.83380999999999,20.529433205759076,13.0,5.0,38.46153846153847,2.0,1.0,50.0
03/16/2010--03/11/2011,40,12.0,3.0,25.0,92884.38,92.88438,12.395842281590935,9.0,2.0,22.22222222222222,3.0,1.0,33.33333333333333
04/15/2010--04/10/2011,41,6.0,1.0,16.666666666666664,3236.26,3.2362600000000006,9.539121114683821,6.0,1.0,16.666666666666664,0.0,0.0
