Period,Period#,# of trades,winning trades,winning percent,PorL,StrategyReturn,MarketReturn,# of long trades,long winning trades,long winning percent,# of short trades,short winning trades,short winning percent
01/01/2007--12/21/2008,1,10.0,6.0,60.0,-11745.320000000002,-11.745320000000001,-37.61759920775271,7.0,5.0,71.42857142857143,3.0,1.0,33.33333333333333
01/31/2007--01/20/2009,2,10.0,6.0,60.0,-11745.320000000002,-11.745320000000001,-43.951304347826095,7.0,5.0,71.42857142857143,3.0,1.0,33.33333333333333
03/02/2007--02/19/2009,3,10.0,6.0,60.0,-11745.320000000002,-11.745320000000001,-43.620826422441766,7.0,5.0,71.42857142857143,3.0,1.0,33.33333333333333
04/01/2007--03/21/2009,4,13.0,7.0,53.84615384615385,-15087.04,-15.087040000000002,-46.03967360720315,8.0,6.0,75.0,5.0,1.0,20.0
05/01/2007--04/20/2009,5,13.0,7.0,53.84615384615385,-15087.04,-15.087040000000002,-43.882424160893244,8.0,6.0,75.0,5.0,1.0,20.0
05/31/2007--05/20/2009,6,14.0,8.0,57.14285714285714,4962.98,4.962979999999999,-40.96660579180798,9.0,7.0,77.77777777777779,5.0,1.0,20.0
06/30/2007--06/19/2009,7,16.0,9.0,56.25,4270.07,4.27007,-39.3635944396864,10.0,8.0,80.0,6.0,1.0,16.666666666666664
07/30/2007--07/19/2009,8,16.0,9.0,56.25,4270.07,4.27007,-36.13108970009499,10.0,8.0,80.0,6.0,1.0,16.666666666666664
08/29/2007--08/18/2009,9,17.0,9.0,52.94117647058824,-842.1500000000005,-0.8421500000000005,-32.38023747782175,11.0,8.0,72.72727272727273,6.0,1.0,16.666666666666664
09/28/2007--09/17/2009,10,17.0,9.0,52.94117647058824,1726.1199999999994,1.7261199999999994,-30.102241447109712,12.0,9.0,75.0,5.0,0.0,0.0
10/28/2007--10/17/2009,11,18.0,10.0,55.55555555555556,7242.059999999998,7.242059999999998,-29.351845844417046,14.0,10.0,71.42857142857143,4.0,0.0,0.0
11/27/2007--11/16/2009,12,18.0,10.0,55.55555555555556,17892.460000000003,17.892460000000003,-21.996212386897664,13.0,10.0,76.92307692307693,5.0,0.0,0.0
12/27/2007--12/16/2009,13,18.0,10.0,55.55555555555556,21794.889999999996,21.794889999999995,-24.480260039276764,13.0,10.0,76.92307692307693,5.0,0.0,0.0
01/26/2008--01/15/2010,14,18.0,10.0,55.55555555555556,19170.049999999996,19.170049999999996,-15.971606033717839,13.0,10.0,76.92307692307693,5.0,0.0,0.0
02/25/2008--02/14/2010,15,18.0,10.0,55.55555555555556,22401.020000000004,22.401020000000006,-21.328187577368386,12.0,9.0,75.0,6.0,1.0,16.666666666666664
03/26/2008--03/16/2010,16,17.0,9.0,52.94117647058824,20513.969999999998,20.513969999999997,-12.6051051051051,11.0,8.0,72.72727272727273,6.0,1.0,16.666666666666664
04/25/2008--04/15/2010,17,15.0,7.0,46.666666666666664,14540.829999999998,14.54083,-13.116045845272199,9.0,6.0,66.66666666666666,6.0,1.0,16.666666666666664
05/25/2008--05/15/2010,18,16.0,7.0,43.75,10945.309999999998,10.945309999999997,-17.863839607673444,9.0,6.0,66.66666666666666,7.0,1.0,14.285714285714285
06/24/2008--06/14/2010,19,16.0,7.0,43.75,11627.720000000001,11.627720000000002,-16.526412074091013,10.0,6.0,60.0,6.0,1.0,16.666666666666664
07/24/2008--07/14/2010,20,18.0,8.0,44.44444444444444,20386.100000000006,20.386100000000006,-12.635646562026936,12.0,7.0,58.333333333333336,6.0,1.0,16.666666666666664
08/23/2008--08/13/2010,21,19.0,10.0,52.63157894736842,32021.690000000002,32.02169,-14.696384972828225,13.0,9.0,69.23076923076923,6.0,1.0,16.666666666666664
09/22/2008--09/12/2010,22,20.0,10.0,50.0,24138.610000000004,24.138610000000003,-7.972593693247483,13.0,9.0,69.23076923076923,7.0,1.0,14.285714285714285
10/22/2008--10/12/2010,23,21.0,11.0,52.38095238095239,28723.150000000005,28.723150000000004,29.22142462727776,14.0,10.0,71.42857142857143,7.0,1.0,14.285714285714285
11/21/2008--11/11/2010,24,22.0,12.0,54.54545454545454,40586.420000000006,40.586420000000004,52.96151911468814,15.0,11.0,73.33333333333333,7.0,1.0,14.285714285714285
12/21/2008--12/11/2010,25,23.0,12.0,52.17391304347826,38787.98,38.787980000000005,42.981851596600045,15.0,11.0,73.33333333333333,8.0,1.0,12.5
01/20/2009--01/10/2011,26,23.0,12.0,52.17391304347826,38787.98,38.787980000000005,57.60208514335362,15.0,11.0,73.33333333333333,8.0,1.0,12.5
02/19/2009--02/09/2011,27,22.0,13.0,59.09090909090909,39410.100000000006,39.4101,69.18304959005386,16.0,12.0,75.0,6.0,1.0,16.666666666666664
03/21/2009--03/11/2011,28,22.0,12.0,54.54545454545454,41844.59,41.84459,59.09533073929963,16.0,11.0,68.75,6.0,1.0,16.666666666666664
04/20/2009--04/10/2011,29,24.0,14.0,58.333333333333336,47534.24,47.53424,59.24727316313078,17.0,12.0,70.58823529411765,7.0,2.0,28.57142857142857
05/20/2009--05/10/2011,30,23.0,14.0,60.86956521739131,19487.4,19.4874,50.11600928074246,17.0,12.0,70.58823529411765,6.0,2.0,33.33333333333333
06/19/2009--06/09/2011,31,23.0,13.0,56.52173913043478,15155.790000000008,15.155790000000009,40.59104737070838,15.0,11.0,73.33333333333333,8.0,2.0,25.0
07/19/2009--07/09/2011,32,23.0,13.0,56.52173913043478,15155.790000000008,15.155790000000009,41.27886808716402,15.0,11.0,73.33333333333333,8.0,2.0,25.0
08/18/2009--08/08/2011,33,22.0,13.0,59.09090909090909,21095.800000000003,21.095800000000004,13.290947623372693,14.0,11.0,78.57142857142857,8.0,2.0,25.0
09/17/2009--09/07/2011,34,21.0,11.0,52.38095238095239,6895.8899999999985,6.895889999999999,12.789498359118612,13.0,9.0,69.23076923076923,8.0,2.0,25.0
10/17/2009--10/07/2011,35,20.0,11.0,55.00000000000001,6895.8899999999985,6.895889999999999,5.39211221422715,13.0,9.0,69.23076923076923,7.0,2.0,28.57142857142857
11/16/2009--11/06/2011,36,24.0,15.0,62.5,17463.480000000003,17.463480000000004,12.832479093606691,17.0,13.0,76.47058823529412,7.0,2.0,28.57142857142857
12/16/2009--12/06/2011,37,24.0,14.0,58.333333333333336,13366.299999999997,13.366299999999997,13.217360114777627,17.0,12.0,70.58823529411765,7.0,2.0,28.57142857142857
01/15/2010--01/05/2012,38,23.0,13.0,56.52173913043478,13366.299999999997,13.366299999999997,12.671594508975707,17.0,12.0,70.58823529411765,6.0,1.0,16.666666666666664
02/14/2010--02/04/2012,39,24.0,15.0,62.5,31173.529999999995,31.173529999999992,22.598870056497173,18.0,14.0,77.77777777777779,6.0,1.0,16.666666666666664
03/16/2010--03/05/2012,40,25.0,15.0,60.0,26623.139999999996,26.623139999999996,17.472725710849588,19.0,14.0,73.68421052631578,6.0,1.0,16.666666666666664
04/15/2010--04/04/2012,41,26.0,16.0,61.53846153846154,31392.61,31.392609999999998,15.310413059609207,21.0,15.0,71.42857142857143,5.0,1.0,20.0
05/15/2010--05/04/2012,42,27.0,16.0,59.25925925925925,32533.219999999998,32.53321999999999,20.228170250109695,21.0,15.0,71.42857142857143,6.0,1.0,16.666666666666664
06/14/2010--06/03/2012,43,28.0,16.0,57.14285714285714,26503.369999999995,26.503369999999993,17.03147686491521,21.0,15.0,71.42857142857143,7.0,1.0,14.285714285714285
07/14/2010--07/03/2012,44,30.0,16.0,53.333333333333336,22205.579999999994,22.205579999999994,25.317598562712618,22.0,15.0,68.18181818181817,8.0,1.0,12.5
08/13/2010--08/02/2012,45,28.0,14.0,50.0,20373.939999999995,20.373939999999997,26.156402917551457,20.0,13.0,65.0,8.0,1.0,12.5
09/12/2010--09/01/2012,46,29.0,14.0,48.275862068965516,16885.43,16.88543,25.23066004258339,21.0,13.0,61.904761904761905,8.0,1.0,12.5
10/12/2010--10/01/2012,47,30.0,14.0,46.666666666666664,10981.16,10.98116,23.36125117511323,21.0,13.0,61.904761904761905,9.0,1.0,11.11111111111111
11/11/2010--10/31/2012,48,31.0,14.0,45.16129032258064,1616.2400000000002,1.6162400000000003,16.20832819500965,21.0,12.0,57.14285714285714,10.0,2.0,20.0
12/11/2010--11/30/2012,49,31.0,15.0,48.38709677419355,14115.98,14.11598,14.1257225433526,20.0,12.0,60.0,11.0,3.0,27.27272727272727
01/10/2011--12/30/2012,50,31.0,15.0,48.38709677419355,15230.380000000001,15.230380000000002,10.2772090092928,20.0,12.0,60.0,11.0,3.0,27.27272727272727
