Ticker,Details,Date,Open,High,Low,Close,Volume
AMZN,"Amazon.com, Inc. @ NASDAQ",06/13/2005,34.67,35.41,34.65,34.87,3912430
AMZN,"Amazon.com, Inc. @ NASDAQ",06/14/2005,34.82,35.17,34.79,35.04,3637109
AMZN,"Amazon.com, Inc. @ NASDAQ",06/15/2005,35.34,35.41,34.52,35.24,5167600
AMZN,"Amazon.com, Inc. @ NASDAQ",06/16/2005,35.2,35.81,35.16,35.58,4366897
AMZN,"Amazon.com, Inc. @ NASDAQ",06/17/2005,35.89,36.07,35.16,35.31,4826500
AMZN,"Amazon.com, Inc. @ NASDAQ",06/20/2005,35.05,35.97,35.04,35.69,5100500
AMZN,"Amazon.com, Inc. @ NASDAQ",06/21/2005,35.6,35.81,35.28,35.38,4461312
AMZN,"Amazon.com, Inc. @ NASDAQ",06/22/2005,35.5,35.85,35.14,35.22,2508089
AMZN,"Amazon.com, Inc. @ NASDAQ",06/23/2005,35.14,35.56,35.1,35.43,5319700
AMZN,"Amazon.com, Inc. @ NASDAQ",06/24/2005,35.3,35.44,34.88,35.02,3689230
AMZN,"Amazon.com, Inc. @ NASDAQ",06/27/2005,34.91,35.05,34.17,34.5,4576399
AMZN,"Amazon.com, Inc. @ NASDAQ",06/28/2005,34.6,34.63,33.59,33.71,7035222
AMZN,"Amazon.com, Inc. @ NASDAQ",06/29/2005,33.7,34.07,33.27,33.35,4854000
AMZN,"Amazon.com, Inc. @ NASDAQ",06/30/2005,33.47,33.56,32.93,33.09,5725000
AMZN,"Amazon.com, Inc. @ NASDAQ",07/01/2005,33.24,33.27,32.79,32.91,2934200
AMZN,"Amazon.com, Inc. @ NASDAQ",07/05/2005,33.5,34.48,33.45,34.08,7384000
AMZN,"Amazon.com, Inc. @ NASDAQ",07/06/2005,34.01,34.4,33.86,34.06,4397981
AMZN,"Amazon.com, Inc. @ NASDAQ",07/07/2005,33.8,34.51,33.8,33.96,4252757
AMZN,"Amazon.com, Inc. @ NASDAQ",07/08/2005,34.11,34.75,33.85,34.74,4258666
AMZN,"Amazon.com, Inc. @ NASDAQ",07/11/2005,34.72,35.68,34.6,35.59,5230300
AMZN,"Amazon.com, Inc. @ NASDAQ",07/12/2005,35.49,36.54,35.46,36.31,5877255
AMZN,"Amazon.com, Inc. @ NASDAQ",07/13/2005,36.27,36.55,36.19,36.51,3203600
AMZN,"Amazon.com, Inc. @ NASDAQ",07/14/2005,37.19,37.42,36.88,37.19,5865700
AMZN,"Amazon.com, Inc. @ NASDAQ",07/15/2005,37.35,37.5,36.75,37.15,5215400
AMZN,"Amazon.com, Inc. @ NASDAQ",07/18/2005,36.95,37.19,36.76,37.19,2973488
AMZN,"Amazon.com, Inc. @ NASDAQ",07/19/2005,37.38,38.17,36.69,38.17,5856700
AMZN,"Amazon.com, Inc. @ NASDAQ",07/20/2005,37.49,38.25,37.3,38.17,6390800
AMZN,"Amazon.com, Inc. @ NASDAQ",07/21/2005,38.96,39.75,37.76,37.95,11073300
AMZN,"Amazon.com, Inc. @ NASDAQ",07/22/2005,37.89,38.23,37.24,37.95,5874900
AMZN,"Amazon.com, Inc. @ NASDAQ",07/25/2005,38,39.04,37.85,37.95,5470700
AMZN,"Amazon.com, Inc. @ NASDAQ",07/26/2005,38.22,38.75,37.72,37.74,15672500
AMZN,"Amazon.com, Inc. @ NASDAQ",07/27/2005,42.01,43.74,41.84,43.65,46095000
AMZN,"Amazon.com, Inc. @ NASDAQ",07/28/2005,43.54,45.81,43.37,45.68,25157500
AMZN,"Amazon.com, Inc. @ NASDAQ",07/29/2005,45.31,45.75,44.61,45.15,10541700
AMZN,"Amazon.com, Inc. @ NASDAQ",08/01/2005,44.88,45.19,44.35,44.93,7129240
AMZN,"Amazon.com, Inc. @ NASDAQ",08/02/2005,44.9,46.97,44.88,46.51,10848400
AMZN,"Amazon.com, Inc. @ NASDAQ",08/03/2005,46.01,46.18,45.84,46.11,4846600
AMZN,"Amazon.com, Inc. @ NASDAQ",08/04/2005,45.55,45.77,45.42,45.46,4978190
AMZN,"Amazon.com, Inc. @ NASDAQ",08/05/2005,45.25,45.71,45.17,45.27,4955000
AMZN,"Amazon.com, Inc. @ NASDAQ",08/08/2005,45.32,45.9,45.26,45.66,4456700
AMZN,"Amazon.com, Inc. @ NASDAQ",08/09/2005,45.76,46.44,45.75,45.93,4645200
AMZN,"Amazon.com, Inc. @ NASDAQ",08/10/2005,45.39,45.57,44.59,44.76,10166000
AMZN,"Amazon.com, Inc. @ NASDAQ",08/11/2005,44.62,45.21,44.5,45.21,5858388
AMZN,"Amazon.com, Inc. @ NASDAQ",08/12/2005,44.63,45.72,44.05,44.2,6613000
AMZN,"Amazon.com, Inc. @ NASDAQ",08/15/2005,43.93,45.35,43.88,45.04,5536300
AMZN,"Amazon.com, Inc. @ NASDAQ",08/16/2005,44.9,44.94,44.2,44.27,3625055
AMZN,"Amazon.com, Inc. @ NASDAQ",08/17/2005,44.19,44.43,44.12,44.12,3050300
AMZN,"Amazon.com, Inc. @ NASDAQ",08/18/2005,43.88,43.9,43.51,43.73,3604200
AMZN,"Amazon.com, Inc. @ NASDAQ",08/19/2005,43.6,43.77,43.33,43.72,3561680
AMZN,"Amazon.com, Inc. @ NASDAQ",08/22/2005,43.61,44.27,42.94,43.77,5378649
AMZN,"Amazon.com, Inc. @ NASDAQ",08/23/2005,43.74,43.97,43.22,43.42,3519300
AMZN,"Amazon.com, Inc. @ NASDAQ",08/24/2005,43.32,43.32,42.27,42.37,5871800
AMZN,"Amazon.com, Inc. @ NASDAQ",08/25/2005,42.54,42.8,42.08,42.31,3092200
AMZN,"Amazon.com, Inc. @ NASDAQ",08/26/2005,42.3,42.63,42.26,42.37,2860700
AMZN,"Amazon.com, Inc. @ NASDAQ",08/29/2005,41.91,43,41.91,42.79,3653900
AMZN,"Amazon.com, Inc. @ NASDAQ",08/30/2005,42.39,42.71,41.96,42.49,3875300
AMZN,"Amazon.com, Inc. @ NASDAQ",08/31/2005,42.44,42.81,42.04,42.7,3434200
AMZN,"Amazon.com, Inc. @ NASDAQ",09/01/2005,42.52,42.97,41.75,41.84,4343470
AMZN,"Amazon.com, Inc. @ NASDAQ",09/02/2005,42,42.05,41.04,41.51,4027100
AMZN,"Amazon.com, Inc. @ NASDAQ",09/06/2005,41.55,43.65,41.51,43.62,7941966
AMZN,"Amazon.com, Inc. @ NASDAQ",09/07/2005,43.5,44.3,43.45,43.73,6141500
AMZN,"Amazon.com, Inc. @ NASDAQ",09/08/2005,43.45,43.49,42.83,42.96,3888600
AMZN,"Amazon.com, Inc. @ NASDAQ",09/09/2005,42.99,43.2,42.81,42.95,3440400
AMZN,"Amazon.com, Inc. @ NASDAQ",09/12/2005,42.72,44.96,42.69,44.5,8780500
AMZN,"Amazon.com, Inc. @ NASDAQ",09/13/2005,44.17,44.38,43.44,43.93,4505300
AMZN,"Amazon.com, Inc. @ NASDAQ",09/14/2005,43.88,44.73,42.82,43.1,6318000
AMZN,"Amazon.com, Inc. @ NASDAQ",09/15/2005,43.2,43.59,42.65,42.71,4588200
AMZN,"Amazon.com, Inc. @ NASDAQ",09/16/2005,42.8,42.92,42.12,42.8,4111784
AMZN,"Amazon.com, Inc. @ NASDAQ",09/19/2005,42.63,43.43,42.17,42.75,3444200
AMZN,"Amazon.com, Inc. @ NASDAQ",09/20/2005,42.65,43.01,41.77,41.87,3473400
AMZN,"Amazon.com, Inc. @ NASDAQ",09/21/2005,41.85,42.64,41.25,41.25,5313800
AMZN,"Amazon.com, Inc. @ NASDAQ",09/22/2005,41.2,42.27,40.5,42.08,5838000
AMZN,"Amazon.com, Inc. @ NASDAQ",09/23/2005,41.97,42.62,41.55,42.19,3146400
