Ticker,Details,Date,Open,High,Low,Close,Volume
CP,Canadian Pacific Railway Limit @ NYSE,06/13/2005,30.03,30.68,30.03,30.33,281000
CP,Canadian Pacific Railway Limit @ NYSE,06/14/2005,30.52,30.7,30.43,30.5,350600
CP,Canadian Pacific Railway Limit @ NYSE,06/15/2005,30.75,30.89,30.36,30.68,205800
CP,Canadian Pacific Railway Limit @ NYSE,06/16/2005,30.69,31.91,30.69,31.81,316100
CP,Canadian Pacific Railway Limit @ NYSE,06/17/2005,31.95,32.18,31.91,32.1,204800
CP,Canadian Pacific Railway Limit @ NYSE,06/20/2005,31.97,31.97,31.29,31.52,172700
CP,Canadian Pacific Railway Limit @ NYSE,06/21/2005,31.51,31.67,30.79,30.8,291800
CP,Canadian Pacific Railway Limit @ NYSE,06/22/2005,30.88,31.14,30.69,30.88,165900
CP,Canadian Pacific Railway Limit @ NYSE,06/23/2005,30.51,30.56,29.98,30.15,390000
CP,Canadian Pacific Railway Limit @ NYSE,06/24/2005,30.04,30.04,29.18,29.44,399300
CP,Canadian Pacific Railway Limit @ NYSE,06/27/2005,29.38,29.65,29.13,29.58,241600
CP,Canadian Pacific Railway Limit @ NYSE,06/28/2005,29.72,30.55,29.68,30.5,297300
CP,Canadian Pacific Railway Limit @ NYSE,06/29/2005,30.35,30.61,29.94,30.56,214200
CP,Canadian Pacific Railway Limit @ NYSE,06/30/2005,30.54,30.75,29.85,29.92,248200
CP,Canadian Pacific Railway Limit @ NYSE,07/01/2005,29.92,30.21,29.71,30,123700
CP,Canadian Pacific Railway Limit @ NYSE,07/05/2005,29.5,29.57,29.21,29.44,445600
CP,Canadian Pacific Railway Limit @ NYSE,07/06/2005,29.55,30.14,29.47,29.82,193100
CP,Canadian Pacific Railway Limit @ NYSE,07/07/2005,29.65,29.87,29.45,29.64,159900
CP,Canadian Pacific Railway Limit @ NYSE,07/08/2005,29.83,30.28,29.79,30.21,192100
CP,Canadian Pacific Railway Limit @ NYSE,07/11/2005,30.39,31.01,30.39,30.8,183300
CP,Canadian Pacific Railway Limit @ NYSE,07/12/2005,31.11,31.12,30.57,30.76,180000
CP,Canadian Pacific Railway Limit @ NYSE,07/13/2005,30.8,30.82,30.02,30.02,175300
CP,Canadian Pacific Railway Limit @ NYSE,07/14/2005,30.82,30.82,30.48,30.49,247900
CP,Canadian Pacific Railway Limit @ NYSE,07/15/2005,30.32,30.52,30.17,30.24,260000
CP,Canadian Pacific Railway Limit @ NYSE,07/18/2005,30.35,30.47,30.06,30.1,381100
CP,Canadian Pacific Railway Limit @ NYSE,07/19/2005,30.14,30.41,29.9,30.41,348600
CP,Canadian Pacific Railway Limit @ NYSE,07/20/2005,30.32,31.68,30.27,31.49,602100
CP,Canadian Pacific Railway Limit @ NYSE,07/21/2005,31.67,31.75,31.28,31.43,298700
CP,Canadian Pacific Railway Limit @ NYSE,07/22/2005,31.48,31.88,31.37,31.52,157900
CP,Canadian Pacific Railway Limit @ NYSE,07/25/2005,31.82,31.82,31.34,31.58,409900
CP,Canadian Pacific Railway Limit @ NYSE,07/26/2005,31.73,31.82,31.08,31.37,532500
CP,Canadian Pacific Railway Limit @ NYSE,07/27/2005,31.4,31.69,31.01,31.69,560600
CP,Canadian Pacific Railway Limit @ NYSE,07/28/2005,31.8,33.12,31.63,33.05,570900
CP,Canadian Pacific Railway Limit @ NYSE,07/29/2005,33.04,34.04,33.04,33.68,528600
CP,Canadian Pacific Railway Limit @ NYSE,08/01/2005,33.68,34.06,33.56,34.04,136900
CP,Canadian Pacific Railway Limit @ NYSE,08/02/2005,34.04,34.34,33.69,33.8,201900
CP,Canadian Pacific Railway Limit @ NYSE,08/03/2005,33.73,34.03,33.47,33.74,163600
CP,Canadian Pacific Railway Limit @ NYSE,08/04/2005,33.64,33.76,33.43,33.43,190900
CP,Canadian Pacific Railway Limit @ NYSE,08/05/2005,32.93,33.07,32.39,32.8,234500
CP,Canadian Pacific Railway Limit @ NYSE,08/08/2005,33,33.53,32.67,32.95,306800
CP,Canadian Pacific Railway Limit @ NYSE,08/09/2005,33.08,33.24,32.86,33.23,206500
CP,Canadian Pacific Railway Limit @ NYSE,08/10/2005,33.43,33.64,33.25,33.64,134300
CP,Canadian Pacific Railway Limit @ NYSE,08/11/2005,33.68,33.73,33.17,33.28,149100
CP,Canadian Pacific Railway Limit @ NYSE,08/12/2005,33.27,34.11,33.18,33.97,367000
CP,Canadian Pacific Railway Limit @ NYSE,08/15/2005,33.86,34.34,33.69,34.26,239900
CP,Canadian Pacific Railway Limit @ NYSE,08/16/2005,34.21,34.61,33.78,33.95,193700
CP,Canadian Pacific Railway Limit @ NYSE,08/17/2005,33.69,33.78,33.43,33.48,156800
CP,Canadian Pacific Railway Limit @ NYSE,08/18/2005,33.42,33.42,32.64,32.8,188700
CP,Canadian Pacific Railway Limit @ NYSE,08/19/2005,32.8,33.47,32.8,33.44,75900
CP,Canadian Pacific Railway Limit @ NYSE,08/22/2005,33.43,34.08,33.43,34.03,146600
CP,Canadian Pacific Railway Limit @ NYSE,08/23/2005,33.99,33.99,33.36,33.48,183900
CP,Canadian Pacific Railway Limit @ NYSE,08/24/2005,33.43,33.88,33.19,33.6,194900
CP,Canadian Pacific Railway Limit @ NYSE,08/25/2005,33.77,33.92,33.64,33.78,303500
CP,Canadian Pacific Railway Limit @ NYSE,08/26/2005,33.77,33.77,33.24,33.25,228700
CP,Canadian Pacific Railway Limit @ NYSE,08/29/2005,33.25,33.33,32.84,33.32,145900
CP,Canadian Pacific Railway Limit @ NYSE,08/30/2005,32.97,33.23,32.89,33.11,151300
CP,Canadian Pacific Railway Limit @ NYSE,08/31/2005,33.05,33.16,32.77,32.8,214500
CP,Canadian Pacific Railway Limit @ NYSE,09/01/2005,32.71,33.03,32.58,32.69,348400
CP,Canadian Pacific Railway Limit @ NYSE,09/02/2005,32.48,33.15,32.43,32.88,213800
CP,Canadian Pacific Railway Limit @ NYSE,09/06/2005,32.99,33.16,32.92,33.07,197900
CP,Canadian Pacific Railway Limit @ NYSE,09/07/2005,33.11,33.11,32.71,32.94,174100
