Ticker,Details,Date,Open,High,Low,Close,Volume
GOOGL,"Google, Inc @ NASDAQ",06/13/2005,140.05,142.23,138.39,141.51,12808100
GOOGL,"Google, Inc @ NASDAQ",06/14/2005,139.43,140.76,139.01,139.31,10113200
GOOGL,"Google, Inc @ NASDAQ",06/15/2005,137.63,138.78,133.84,137.53,20885300
GOOGL,"Google, Inc @ NASDAQ",06/16/2005,137.26,139.28,136.67,138.85,12462400
GOOGL,"Google, Inc @ NASDAQ",06/17/2005,139.64,140.29,138.08,140.29,10438200
GOOGL,"Google, Inc @ NASDAQ",06/20/2005,138.18,143.97,136,143.49,21043400
GOOGL,"Google, Inc @ NASDAQ",06/21/2005,144.17,145.29,142.62,144.06,15138500
GOOGL,"Google, Inc @ NASDAQ",06/22/2005,144.98,146.3,144.47,144.79,10517400
GOOGL,"Google, Inc @ NASDAQ",06/23/2005,144.14,147.55,143.39,145,14063100
GOOGL,"Google, Inc @ NASDAQ",06/24/2005,145.59,149.14,144.93,148.77,18231800
GOOGL,"Google, Inc @ NASDAQ",06/27/2005,149.59,152.38,147.07,152.2,17829200
GOOGL,"Google, Inc @ NASDAQ",06/28/2005,153.29,154.77,151.15,151.15,19064400
GOOGL,"Google, Inc @ NASDAQ",06/29/2005,151.4,152.34,146.22,146.5,18307100
GOOGL,"Google, Inc @ NASDAQ",06/30/2005,147.31,149.61,145.66,147.22,15099100
GOOGL,"Google, Inc @ NASDAQ",07/01/2005,147.66,148.26,144.75,145.77,9231200
GOOGL,"Google, Inc @ NASDAQ",07/05/2005,146.19,148.13,145.26,148,7496250
GOOGL,"Google, Inc @ NASDAQ",07/06/2005,148.79,148.94,145.83,145.91,8006842
GOOGL,"Google, Inc @ NASDAQ",07/07/2005,144.84,148.04,144.39,147.91,10672100
GOOGL,"Google, Inc @ NASDAQ",07/08/2005,148.27,148.89,147.17,148.26,7457523
GOOGL,"Google, Inc @ NASDAQ",07/11/2005,148.34,148.44,145.65,146.82,8408700
GOOGL,"Google, Inc @ NASDAQ",07/12/2005,146.84,147.34,145.61,146.03,5868856
GOOGL,"Google, Inc @ NASDAQ",07/13/2005,146.4,149.76,146.19,149.57,11442600
GOOGL,"Google, Inc @ NASDAQ",07/14/2005,152.82,153.52,150.18,150.59,10672600
GOOGL,"Google, Inc @ NASDAQ",07/15/2005,150.77,151.85,150.04,150.74,8447400
GOOGL,"Google, Inc @ NASDAQ",07/18/2005,150.15,151.1,149.02,149.92,6210202
GOOGL,"Google, Inc @ NASDAQ",07/19/2005,151.2,155.33,151.05,155.1,12679900
GOOGL,"Google, Inc @ NASDAQ",07/20/2005,152.93,156.46,151.05,156.15,14337400
GOOGL,"Google, Inc @ NASDAQ",07/21/2005,157.18,159.05,155.76,157.12,20555100
GOOGL,"Google, Inc @ NASDAQ",07/22/2005,153.33,154.77,148.31,151.35,23392900
GOOGL,"Google, Inc @ NASDAQ",07/25/2005,151.34,151.79,147.62,148.07,9659400
GOOGL,"Google, Inc @ NASDAQ",07/26/2005,147.65,149.14,146.19,148.19,9832100
GOOGL,"Google, Inc @ NASDAQ",07/27/2005,149.01,149.26,146.34,148.61,7368176
GOOGL,"Google, Inc @ NASDAQ",07/28/2005,148.85,148.85,146.78,146.89,5928807
GOOGL,"Google, Inc @ NASDAQ",07/29/2005,146.21,146.56,143.63,144.02,8367168
GOOGL,"Google, Inc @ NASDAQ",08/01/2005,144.2,146.39,144.19,145.95,5663487
GOOGL,"Google, Inc @ NASDAQ",08/02/2005,145.94,149.91,145.7,149.74,7292337
GOOGL,"Google, Inc @ NASDAQ",08/03/2005,149.14,150.01,147.94,148.79,5935761
GOOGL,"Google, Inc @ NASDAQ",08/04/2005,147.92,149.64,147.77,149.01,5271476
GOOGL,"Google, Inc @ NASDAQ",08/05/2005,148.89,149.4,145.8,146.32,5943130
GOOGL,"Google, Inc @ NASDAQ",08/08/2005,146.94,147.97,145.39,145.77,4484370
GOOGL,"Google, Inc @ NASDAQ",08/09/2005,146.12,146.48,144.39,145.93,5780710
GOOGL,"Google, Inc @ NASDAQ",08/10/2005,145.79,146.31,142.58,142.98,6998818
GOOGL,"Google, Inc @ NASDAQ",08/11/2005,143.08,143.43,140.45,142.16,7515471
GOOGL,"Google, Inc @ NASDAQ",08/12/2005,141.82,145.24,140.96,145,6588431
GOOGL,"Google, Inc @ NASDAQ",08/15/2005,145.04,146.53,142.02,142.14,8175900
GOOGL,"Google, Inc @ NASDAQ",08/16/2005,142.58,144.03,141.81,142.96,7111508
GOOGL,"Google, Inc @ NASDAQ",08/17/2005,142.89,143.42,142.14,142.69,3884676
GOOGL,"Google, Inc @ NASDAQ",08/18/2005,138.09,140.39,137.63,140.13,11905600
GOOGL,"Google, Inc @ NASDAQ",08/19/2005,140.63,140.86,139.95,140.14,5609779
GOOGL,"Google, Inc @ NASDAQ",08/22/2005,140.76,140.87,136.81,137.14,6873406
GOOGL,"Google, Inc @ NASDAQ",08/23/2005,138.21,140.01,137.19,139.93,5843910
GOOGL,"Google, Inc @ NASDAQ",08/24/2005,138.92,142.51,138.36,141.42,8594700
GOOGL,"Google, Inc @ NASDAQ",08/25/2005,141.41,142.14,140.12,141.43,4376611
GOOGL,"Google, Inc @ NASDAQ",08/26/2005,141.88,142.65,141.47,141.93,3755650
GOOGL,"Google, Inc @ NASDAQ",08/29/2005,141.26,144.7,141.26,144.36,5905200
GOOGL,"Google, Inc @ NASDAQ",08/30/2005,143.83,144.9,143.08,143.77,4792200
GOOGL,"Google, Inc @ NASDAQ",08/31/2005,144.25,144.39,142.32,143.14,5035250
GOOGL,"Google, Inc @ NASDAQ",09/01/2005,143.09,143.89,142.64,143.26,2742450
GOOGL,"Google, Inc @ NASDAQ",09/02/2005,143.39,145.14,143.36,144.36,3434850
GOOGL,"Google, Inc @ NASDAQ",09/06/2005,144.64,144.84,143.54,143.69,4213650
GOOGL,"Google, Inc @ NASDAQ",09/07/2005,143.08,147.89,142.78,147.58,7500500
GOOGL,"Google, Inc @ NASDAQ",09/08/2005,147.56,149.79,146.82,147.84,6614050
GOOGL,"Google, Inc @ NASDAQ",09/09/2005,148.78,149.69,148.42,149.69,4390974
GOOGL,"Google, Inc @ NASDAQ",09/12/2005,151.02,155.86,150.65,155.02,10389300
GOOGL,"Google, Inc @ NASDAQ",09/13/2005,154.65,157.92,153.23,155.99,10303700
GOOGL,"Google, Inc @ NASDAQ",09/14/2005,154.51,156.79,150.3,151.65,11281000
GOOGL,"Google, Inc @ NASDAQ",09/15/2005,149.91,153.52,149.1,151.46,15469300
GOOGL,"Google, Inc @ NASDAQ",09/16/2005,152.16,152.4,150.08,150.25,7580900
GOOGL,"Google, Inc @ NASDAQ",09/19/2005,150.65,153.15,150.5,152.04,5761948
GOOGL,"Google, Inc @ NASDAQ",09/20/2005,153.22,155.8,152.76,154.1,9397500
GOOGL,"Google, Inc @ NASDAQ",09/21/2005,154.35,157.03,153.13,156.1,10123600
GOOGL,"Google, Inc @ NASDAQ",09/22/2005,155.9,159.76,155.24,155.84,13008400
GOOGL,"Google, Inc @ NASDAQ",09/23/2005,156.65,158.76,156.45,157.83,8485000
GOOGL,"Google, Inc @ NASDAQ",09/26/2005,159.9,160.63,156.43,157.29,9895400
GOOGL,"Google, Inc @ NASDAQ",09/27/2005,157.63,159.36,156.84,157.12,6874950
GOOGL,"Google, Inc @ NASDAQ",09/28/2005,157.26,157.7,152.95,153.15,7999350
GOOGL,"Google, Inc @ NASDAQ",09/29/2005,153.49,155.51,153.19,154.96,5615000
GOOGL,"Google, Inc @ NASDAQ",09/30/2005,157.26,158.9,156.3,158.38,9161300
