Ticker,Details,Date,Open,High,Low,Close,Volume
NXPI,NXP Semiconductors N.V. @ NASDAQ,08/06/2010,13,14.08,12.99,14,10676400
NXPI,NXP Semiconductors N.V. @ NASDAQ,08/09/2010,14,14,13.7,14,1819535
NXPI,NXP Semiconductors N.V. @ NASDAQ,08/10/2010,13.77,13.84,13.58,13.6,1579300
NXPI,NXP Semiconductors N.V. @ NASDAQ,08/11/2010,13.25,13.38,12.45,12.75,2587711
NXPI,NXP Semiconductors N.V. @ NASDAQ,08/12/2010,12.26,12.51,12.1,12.39,1780340
NXPI,NXP Semiconductors N.V. @ NASDAQ,08/13/2010,12.25,12.53,11.85,12,957600
NXPI,NXP Semiconductors N.V. @ NASDAQ,08/16/2010,11.79,12.23,11.69,11.78,551620
NXPI,NXP Semiconductors N.V. @ NASDAQ,08/17/2010,11.86,12.3,11.75,12.22,1086700
NXPI,NXP Semiconductors N.V. @ NASDAQ,08/18/2010,12.08,12.6,12,12,1010606
NXPI,NXP Semiconductors N.V. @ NASDAQ,08/19/2010,11.95,12.1,11.31,11.55,746000
NXPI,NXP Semiconductors N.V. @ NASDAQ,08/20/2010,11.45,11.5,11.03,11.15,450646
NXPI,NXP Semiconductors N.V. @ NASDAQ,08/23/2010,11.28,11.5,10.46,10.98,761813
NXPI,NXP Semiconductors N.V. @ NASDAQ,08/24/2010,10.76,11.3,10.5,10.68,746734
NXPI,NXP Semiconductors N.V. @ NASDAQ,08/25/2010,10.5,11.13,10.23,10.75,1112200
NXPI,NXP Semiconductors N.V. @ NASDAQ,08/26/2010,10.94,11.15,10.8,11,581400
NXPI,NXP Semiconductors N.V. @ NASDAQ,08/27/2010,11.15,11.49,10.99,11.11,370900
NXPI,NXP Semiconductors N.V. @ NASDAQ,08/30/2010,11.01,11.27,11.01,11.1,226900
NXPI,NXP Semiconductors N.V. @ NASDAQ,08/31/2010,11.01,11.23,10.87,11.08,236017
NXPI,NXP Semiconductors N.V. @ NASDAQ,09/01/2010,11.08,11.95,10.76,11.73,412800
NXPI,NXP Semiconductors N.V. @ NASDAQ,09/02/2010,11.08,11.91,11.08,11.87,98504
NXPI,NXP Semiconductors N.V. @ NASDAQ,09/03/2010,11.9,12.32,11.58,11.89,231400
NXPI,NXP Semiconductors N.V. @ NASDAQ,09/07/2010,12,12.36,11.78,12.03,468400
NXPI,NXP Semiconductors N.V. @ NASDAQ,09/08/2010,11.49,12.18,11.42,12.16,1483732
