Company Name,Stock Symbol,DPM,Cycle,Traded at C2,LEAPS 2015,LEAPS 2016,LEAPS 2017,Product Types,
21VIANET GROUP INC.,VNET,CITADEL,3,,,,Y,L,
22ND CENTURY GROUP INC.,XXII,CITADEL,1,,,,,,
3-D SYSTEMS CORP,DDD,SIG,2,Y,,,Y,L,W
3M COMPANY,MMM,SIG:MMM,1,Y,,,Y,L,W
500.COM LTD,WBAI,WOLVERINE,3,,,,,,
51JOB INC,JOBS,SIG,1,,,,,,
58.COM  INC.,WUBA,CITADEL,1,,,,Y,L,
8X8 INC-NEW,EGHT,SIG,2,,,,,,
A A R CORP,AIR,CITADEL,2,,,,,,
A V HOMES  INC,AVHI,WOLVERINE,3,,,,,,
A.M.  CASTLE & CO,CAS,CITADEL,3,,,,,,
A10 NETWORKS INC.,ATEN,CITADEL,2,,,,,,
AARON''S  INC,AAN,CITADEL,2,,,,,,
ABAXIS INC,ABAX,SIG:MU,2,,,,,,
ABB LTD ADS ( 1 REG SHS),ABB,GROUP ONE:HGSI,3,,,,,,
ABBOTT LABORATORIES,ABT,SIG:MMM,2,Y,,,Y,L,
ABBVIE INC.,ABBV,SIG:MMM,2,Y,,,Y,L,W
ABENGOA YIELD PLC,ABY,GROUP ONE:AMGN,2,,,,,,
ABERCROMBIE & FITCH CO CL-A,ANF,BARCLAYS,2,Y,,,Y,L,W
ABIOMED  INC.,ABMD,CITADEL,3,,,,,,
ABRAXAS PETROLEUM CORP.,AXAS,GROUP ONE:HGSI,3,,,,,,
ACACIA RESEARCH,ACTG,GROUP ONE:HGSI,2,,,,,,
ACADIA HEALTHCARE COMPANY INC,ACHC,GROUP ONE:AMGN,3,,,,,,
ACADIA PHARMACEUTICALS INC,ACAD,SIG,3,,,,Y,L,
