Ticker,Details,Date,Open,High,Low,Close,Volume
SPY,SPDR S&P 500 ETF Trust @ NYSE,06/13/2005,98.4,99.34,98.3,98.93,49471300
SPY,SPDR S&P 500 ETF Trust @ NYSE,06/14/2005,98.82,99.44,98.76,99.16,33997200
SPY,SPDR S&P 500 ETF Trust @ NYSE,06/15/2005,99.4,99.47,98.64,99.35,53823800
SPY,SPDR S&P 500 ETF Trust @ NYSE,06/16/2005,99.35,99.8,99.21,99.6,46626100
SPY,SPDR S&P 500 ETF Trust @ NYSE,06/17/2005,100.12,100.41,99.25,99.97,53729900
SPY,SPDR S&P 500 ETF Trust @ NYSE,06/20/2005,99.74,100.36,99.62,100,42193500
SPY,SPDR S&P 500 ETF Trust @ NYSE,06/21/2005,100.08,100.21,99.7,100.06,40058100
SPY,SPDR S&P 500 ETF Trust @ NYSE,06/22/2005,100.23,100.45,99.73,100.14,46569900
SPY,SPDR S&P 500 ETF Trust @ NYSE,06/23/2005,99.94,100.17,98.71,98.73,62805000
SPY,SPDR S&P 500 ETF Trust @ NYSE,06/24/2005,98.75,98.86,97.89,98.01,59185900
SPY,SPDR S&P 500 ETF Trust @ NYSE,06/27/2005,98,98.36,97.82,98.15,51160500
SPY,SPDR S&P 500 ETF Trust @ NYSE,06/28/2005,98.35,99.05,98.33,98.97,42613400
SPY,SPDR S&P 500 ETF Trust @ NYSE,06/29/2005,99.15,99.18,98.65,98.71,43009100
SPY,SPDR S&P 500 ETF Trust @ NYSE,06/30/2005,99.03,99.11,97.98,98.17,62297200
SPY,SPDR S&P 500 ETF Trust @ NYSE,07/01/2005,98.4,98.68,98.2,98.46,49786600
SPY,SPDR S&P 500 ETF Trust @ NYSE,07/05/2005,98.23,99.38,98.18,99.25,51549700
SPY,SPDR S&P 500 ETF Trust @ NYSE,07/06/2005,99.17,99.38,98.36,98.42,54063200
SPY,SPDR S&P 500 ETF Trust @ NYSE,07/07/2005,97.44,98.81,97.42,98.81,103246000
SPY,SPDR S&P 500 ETF Trust @ NYSE,07/08/2005,98.82,99.94,98.62,99.94,64545500
SPY,SPDR S&P 500 ETF Trust @ NYSE,07/11/2005,99.94,100.58,99.93,100.45,49734700
SPY,SPDR S&P 500 ETF Trust @ NYSE,07/12/2005,100.41,101.01,100.2,100.71,52156900
SPY,SPDR S&P 500 ETF Trust @ NYSE,07/13/2005,100.72,100.92,100.49,100.85,41264600
SPY,SPDR S&P 500 ETF Trust @ NYSE,07/14/2005,101.3,101.68,100.9,101.25,64763400
SPY,SPDR S&P 500 ETF Trust @ NYSE,07/15/2005,101.15,101.35,100.79,101.19,56137600
SPY,SPDR S&P 500 ETF Trust @ NYSE,07/18/2005,100.91,101.01,100.54,100.78,56739600
SPY,SPDR S&P 500 ETF Trust @ NYSE,07/19/2005,101.08,101.41,100.83,101.34,59495200
