Ticker,Details,Date,Open,High,Low,Close,Volume
WHR,Whirlpool Corporation @ NYSE,06/13/2005,52.7,53.01,52.58,52.82,911200
WHR,Whirlpool Corporation @ NYSE,06/14/2005,52.86,54.07,52.81,53.57,589200
WHR,Whirlpool Corporation @ NYSE,06/15/2005,53.69,54.26,53.24,53.55,1116700
WHR,Whirlpool Corporation @ NYSE,06/16/2005,53.56,55.79,53.56,55.73,1613100
WHR,Whirlpool Corporation @ NYSE,06/17/2005,56.05,57.12,55.31,57.12,2285000
WHR,Whirlpool Corporation @ NYSE,06/20/2005,57.08,57.37,56.64,57.16,1577400
WHR,Whirlpool Corporation @ NYSE,06/21/2005,57.16,58.34,57.16,57.86,1602000
WHR,Whirlpool Corporation @ NYSE,06/22/2005,58.04,58.12,55.8,56.26,1484500
WHR,Whirlpool Corporation @ NYSE,06/23/2005,56.32,56.85,55.75,55.75,551900
WHR,Whirlpool Corporation @ NYSE,06/24/2005,55.54,55.54,54.36,54.83,757200
WHR,Whirlpool Corporation @ NYSE,06/27/2005,54.84,55.01,54.56,54.77,420300
WHR,Whirlpool Corporation @ NYSE,06/28/2005,54.91,55.41,54.72,55.39,890700
WHR,Whirlpool Corporation @ NYSE,06/29/2005,55.39,55.52,54.99,55.22,854400
WHR,Whirlpool Corporation @ NYSE,06/30/2005,55.3,55.57,54.85,55.23,675300
WHR,Whirlpool Corporation @ NYSE,07/01/2005,55.38,55.52,54.58,54.83,478100
WHR,Whirlpool Corporation @ NYSE,07/05/2005,54.84,55.98,54.58,55.83,473400
WHR,Whirlpool Corporation @ NYSE,07/06/2005,55.93,55.94,55.07,55.15,527700
WHR,Whirlpool Corporation @ NYSE,07/07/2005,54.81,54.95,54.37,54.83,529400
WHR,Whirlpool Corporation @ NYSE,07/08/2005,54.87,55.19,54.63,55.15,844600
WHR,Whirlpool Corporation @ NYSE,07/11/2005,55.11,56.09,55.11,56.05,935200
WHR,Whirlpool Corporation @ NYSE,07/12/2005,55.85,55.89,55.15,55.44,494700
WHR,Whirlpool Corporation @ NYSE,07/13/2005,55.47,55.78,55.26,55.54,428500
WHR,Whirlpool Corporation @ NYSE,07/14/2005,55.74,56.33,55.73,55.81,413800
WHR,Whirlpool Corporation @ NYSE,07/15/2005,55.96,55.96,54.95,55.14,662100
WHR,Whirlpool Corporation @ NYSE,07/18/2005,56.28,58.24,56.28,57.75,2596400
WHR,Whirlpool Corporation @ NYSE,07/19/2005,57.75,59.53,57.35,59.42,1738000
WHR,Whirlpool Corporation @ NYSE,07/20/2005,59.42,60.73,58.71,60.68,1710600
WHR,Whirlpool Corporation @ NYSE,07/21/2005,60.66,61.45,60.46,61.37,1293700
WHR,Whirlpool Corporation @ NYSE,07/22/2005,61.33,61.8,60.6,60.8,1503500
WHR,Whirlpool Corporation @ NYSE,07/25/2005,61.41,65.15,61.41,65.13,3110000
WHR,Whirlpool Corporation @ NYSE,07/26/2005,65.23,65.23,62.63,63.24,2052400
WHR,Whirlpool Corporation @ NYSE,07/27/2005,63.81,63.83,62.12,62.78,1485500
WHR,Whirlpool Corporation @ NYSE,07/28/2005,62.98,63.09,62.12,62.98,1307100
WHR,Whirlpool Corporation @ NYSE,07/29/2005,63.05,63.18,62.89,63.01,1013300
WHR,Whirlpool Corporation @ NYSE,08/01/2005,63.02,63.08,62.63,62.82,903700
WHR,Whirlpool Corporation @ NYSE,08/02/2005,62.87,62.87,61.84,62,1062300
WHR,Whirlpool Corporation @ NYSE,08/03/2005,62,62.2,61.2,62.15,672700
WHR,Whirlpool Corporation @ NYSE,08/04/2005,62.15,62.41,61.89,62.23,756500
WHR,Whirlpool Corporation @ NYSE,08/05/2005,62.27,63.46,62.22,62.79,1674300
WHR,Whirlpool Corporation @ NYSE,08/08/2005,64.6,67.51,63.94,64.96,4067800
WHR,Whirlpool Corporation @ NYSE,08/09/2005,64.96,65.69,64.83,65.4,1264200
WHR,Whirlpool Corporation @ NYSE,08/10/2005,65.39,65.54,63.85,64.23,1741600
WHR,Whirlpool Corporation @ NYSE,08/11/2005,64.12,64.24,63.34,63.57,1153500
WHR,Whirlpool Corporation @ NYSE,08/12/2005,63.56,66.76,63.49,66.49,2221300
WHR,Whirlpool Corporation @ NYSE,08/15/2005,66.5,66.5,64.75,64.75,1120600
WHR,Whirlpool Corporation @ NYSE,08/16/2005,64.87,64.87,63.18,63.21,1142300
WHR,Whirlpool Corporation @ NYSE,08/17/2005,63.57,63.69,62.76,63.02,1082600
WHR,Whirlpool Corporation @ NYSE,08/18/2005,62.97,63.16,61.78,62.63,899800
WHR,Whirlpool Corporation @ NYSE,08/19/2005,63.77,64.72,63.02,64.46,1775400
WHR,Whirlpool Corporation @ NYSE,08/22/2005,64.52,64.92,63.5,64.19,1211300
WHR,Whirlpool Corporation @ NYSE,08/23/2005,63.89,64.24,62.12,62.93,1718500
WHR,Whirlpool Corporation @ NYSE,08/24/2005,62.63,62.64,61.23,61.3,2229400
WHR,Whirlpool Corporation @ NYSE,08/25/2005,61.33,61.76,60.9,61.57,1053900
WHR,Whirlpool Corporation @ NYSE,08/26/2005,61.68,61.81,61.04,61.12,877600
WHR,Whirlpool Corporation @ NYSE,08/29/2005,61,61.01,60.12,60.64,890400
WHR,Whirlpool Corporation @ NYSE,08/30/2005,60.52,60.6,59.74,60.05,876800
WHR,Whirlpool Corporation @ NYSE,08/31/2005,59.73,60.28,58.72,60.24,1996600
WHR,Whirlpool Corporation @ NYSE,09/01/2005,60.12,60.45,59.09,60.17,990100
WHR,Whirlpool Corporation @ NYSE,09/02/2005,60.37,60.8,60.19,60.44,599500
WHR,Whirlpool Corporation @ NYSE,09/06/2005,60.68,61.91,60.61,61.79,820300
WHR,Whirlpool Corporation @ NYSE,09/07/2005,62.05,62.58,61.89,62.48,709100
WHR,Whirlpool Corporation @ NYSE,09/08/2005,61.87,62.21,61.34,61.73,715200
WHR,Whirlpool Corporation @ NYSE,09/09/2005,61.87,62.62,61.8,62.43,454900
WHR,Whirlpool Corporation @ NYSE,09/12/2005,62.18,62.83,61.81,62.66,418600
WHR,Whirlpool Corporation @ NYSE,09/13/2005,62.78,62.78,61.72,61.72,502100
WHR,Whirlpool Corporation @ NYSE,09/14/2005,61.6,61.86,60.69,61.76,820000
WHR,Whirlpool Corporation @ NYSE,09/15/2005,61.76,62.19,61.16,61.28,433400
WHR,Whirlpool Corporation @ NYSE,09/16/2005,61.68,61.7,60.81,61.41,833300
WHR,Whirlpool Corporation @ NYSE,09/19/2005,61.05,61.23,59.64,60.4,533100
WHR,Whirlpool Corporation @ NYSE,09/20/2005,59.65,59.65,57.53,57.91,1976600
WHR,Whirlpool Corporation @ NYSE,09/21/2005,57.83,57.83,56.8,56.86,1688400
WHR,Whirlpool Corporation @ NYSE,09/22/2005,57.03,58.2,56.73,57.64,908100
WHR,Whirlpool Corporation @ NYSE,09/23/2005,57.51,58.42,57.51,57.94,827600
WHR,Whirlpool Corporation @ NYSE,09/26/2005,58.06,58.34,57.5,57.82,483900
WHR,Whirlpool Corporation @ NYSE,09/27/2005,57.83,58.41,57.48,58.15,374400
WHR,Whirlpool Corporation @ NYSE,09/28/2005,58.82,59.78,58.67,58.72,869900
WHR,Whirlpool Corporation @ NYSE,09/29/2005,58.94,59.32,58.65,59.11,503700
WHR,Whirlpool Corporation @ NYSE,09/30/2005,59.2,61.23,59.2,60.02,1250400
WHR,Whirlpool Corporation @ NYSE,10/03/2005,59.89,59.89,59.1,59.5,731400
WHR,Whirlpool Corporation @ NYSE,10/04/2005,59.65,60.08,59.18,59.25,488800
WHR,Whirlpool Corporation @ NYSE,10/05/2005,58.93,59.07,57.93,58.19,746500
WHR,Whirlpool Corporation @ NYSE,10/06/2005,58.37,59.09,57.72,58.06,742200
WHR,Whirlpool Corporation @ NYSE,10/07/2005,58.42,59.36,57.99,58.38,476800
WHR,Whirlpool Corporation @ NYSE,10/10/2005,58.06,58.33,57.52,57.72,437800
WHR,Whirlpool Corporation @ NYSE,10/11/2005,57.65,57.65,55.29,55.31,1515800
WHR,Whirlpool Corporation @ NYSE,10/12/2005,55.43,56.29,55.13,55.64,1333400
WHR,Whirlpool Corporation @ NYSE,10/13/2005,55.37,55.69,53.78,55.52,1140900
WHR,Whirlpool Corporation @ NYSE,10/14/2005,55.6,57.07,55.52,56.5,951900
WHR,Whirlpool Corporation @ NYSE,10/17/2005,56.56,57.33,55.94,56.69,528000
WHR,Whirlpool Corporation @ NYSE,10/18/2005,56.69,57.34,55.58,56.58,1004000
